"","FeatureCode","CAName"
"1","S12000005","Clackmannanshire"
"2","S12000006","Dumfries and Galloway"
"3","S12000008","East Ayrshire"
"4","S12000010","East Lothian"
"5","S12000011","East Renfrewshire"
"6","S12000011","East Renfrewshire"
"7","S12000013","Na h-Eileanan Siar"
"8","S12000014","Falkirk"
"9","S12000015","Fife"
"10","S12000017","Highland"
"11","S12000018","Inverclyde"
"12","S12000018","Inverclyde"
"13","S12000019","Midlothian"
"14","S12000020","Moray"
"15","S12000021","North Ayrshire"
"16","S12000023","Orkney Islands"
"17","S12000024","Perth and Kinross"
"18","S12000026","Scottish Borders"
"19","S12000027","Shetland Islands"
"20","S12000028","South Ayrshire"
"21","S12000029","South Lanarkshire"
"22","S12000029","South Lanarkshire"
"23","S12000030","Stirling"
"24","S12000033","Aberdeen City"
"25","S12000034","Aberdeenshire"
"26","S12000035","Argyll and Bute"
"27","S12000036","City of Edinburgh"
"28","S12000038","Renfrewshire"
"29","S12000038","Renfrewshire"
"30","S12000039","West Dunbartonshire"
"31","S12000039","West Dunbartonshire"
"32","S12000040","West Lothian"
"33","S12000041","Angus"
"34","S12000041","Angus"
"35","S12000042","Dundee City"
"36","S12000042","Dundee City"
"37","S12000044","North Lanarkshire"
"38","S12000045","East Dunbartonshire"
"39","S12000045","East Dunbartonshire"
"40","S12000046","Glasgow City"
"41","S12000047","Fife"
"42","S12000048","Perth and Kinross"
"43","S12000049","Glasgow City"
"44","S12000050","North Lanarkshire"
