Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,54,60,64,67,73,77,78,80,83,82,85,86,87,90
Bulgaria,17,19,25,30,33,45,51,54,57,59,64,67,72,75
Czechia,29,35,46,54,61,67,73,73,78,79,82,83,86,87
Denmark,79,78,82,83,86,90,92,93,93,92,94,97,93,95
Germany (until 1990 former territory of the FRG),67,71,75,79,82,83,85,88,89,90,92,93,94,95
Estonia,45,52,57,62,67,69,74,79,83,88,86,88,90,90
Ireland,50,57,63,67,72,78,81,82,82,85,87,88,89,91
Greece,23,25,31,38,46,50,54,56,66,68,69,71,76,79
Spain,38,43,50,53,58,63,67,70,74,79,82,83,86,91
France,41,55,62,69,74,76,80,82,83,83,86,86,89,90
Croatia,40,41,45,50,56,61,66,65,68,77,77,76,82,81
Italy,40,43,47,53,59,62,63,69,73,75,79,81,84,85
Cyprus,37,39,43,53,54,57,62,65,69,71,74,79,86,90
Latvia,42,51,53,58,60,64,69,72,73,76,77,79,82,85
Lithuania,35,44,51,60,61,60,60,65,66,68,72,75,78,82
Luxembourg,70,75,80,87,90,91,93,94,96,97,97,97,93,95
Hungary,32,38,47,53,58,63,67,70,73,76,79,82,83,86
Malta,53,54,59,64,70,75,77,78,80,81,81,85,84,86
Netherlands,80,83,86,90,91,94,94,95,96,96,97,98,98,98
Austria,52,60,69,70,73,75,79,81,81,82,85,89,89,90
Poland,36,41,48,59,63,67,70,72,75,76,80,82,84,87
Portugal,35,40,46,48,54,58,61,62,65,70,74,77,79,81
Romania,14,22,30,38,42,47,54,58,61,68,72,76,81,84
Slovenia,54,58,59,64,68,73,74,76,77,78,78,82,87,89
Slovakia,27,46,58,62,67,71,75,78,78,79,81,81,81,82
Finland,65,69,72,78,81,84,87,89,90,90,92,94,94,94
Sweden,77,79,84,86,88,91,92,93,90,91,94,95,93,96
United Kingdom,63,67,71,77,80,83,87,88,90,91,93,94,95,96
Scotland,52,66,70,70,69,83,84,87,87,90,94,94,92,94
Iceland,83,84,88,90,92,93,95,96,96,96,97,98,99,98
Norway,69,78,84,86,90,92,93,94,93,97,97,97,96,98
EU,46,52,57,63,67,71,74,76,78,80,82,84,86,88
