"Country","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"OECD members","51.0523075359273","50.8638498173134","50.7068422565881","50.5454892740195","50.3711725101737","50.3473200931334","50.2865102826428","50.2358776972157","50.2672128041788","50.4173212429619","50.711282267374","51.0634966233919","51.4739331215466","51.9168489086137","52.3728076619205","52.7945145971387","53.2213479938316","53.6477449667476","54.0738108649862","54.5064445973046"
"European Union","48.3847580749475","48.3947812365445","48.4180736250736","48.4399051981109","48.4520609995118","48.636506130308","48.7917151540228","48.9585530853181","49.1891399227146","49.5218291471829","50.0771016898196","50.6705091984925","51.3121183794307","51.9954001803383","52.7047132383801","53.3257697604751","53.997879316619","54.6903099112575","55.358442279508","55.9946465077794"
"Australia","49.41451031709","49.1467365681119","48.9132209983565","48.708968420418","48.5572325355403","48.1852552309691","47.8907972921291","47.7459755436092","47.7726602231758","47.9484543670001","48.5137538612537","49.0671933560653","49.6405779919198","50.2597000603197","50.9250562135116","51.7299323519365","52.5996705957282","53.4850882364433","54.3130054758368","55.0519405364956"
"Austria","47.3255578364559","47.2744249579878","47.3329338625505","47.3987139174221","47.4253952508972","47.6052248341712","47.7523634092226","47.8787129187929","48.0158430961523","48.1811872667783","48.3132363176456","48.4584344997342","48.6484193417367","48.8842940580987","49.1656923872968","49.4317119622618","49.6725857002038","49.9239401221367","50.234659177424","50.6391077341454"
"Belgium","52.549682304639","52.6037551377273","52.6524341981761","52.6362474206993","52.534650894134","52.4687812133661","52.2773675994313","52.0559766171109","51.9425622544117","52.0144279661342","52.3287119230453","52.7442633911964","53.236903384491","53.7373881178284","54.193605740924","54.7713516344904","55.3290794008081","55.8704656667833","56.4082991695875","56.9568109236318"
"Canada","46.0067216678359","45.5906569288304","45.2070740800463","44.8342898896357","44.495093004083","44.2369943174355","44.0347757280595","43.9339025932817","43.9767531768617","44.1799447904124","44.6476337433392","45.1391853894768","45.7069754663487","46.3805411151733","47.156455788445","47.8263144313975","48.6160760670676","49.481877289781","50.3619160311291","51.2392868697424"
"Chile","52.952380558075","52.1141407920706","51.2616743673448","50.375210985757","49.4740421063735","48.6325033957939","47.8105658500582","47.0450063677754","46.3866660078212","45.8657596405225","45.5512635918129","45.308745485292","45.1721161977661","45.1601799894557","45.2716349513929","45.3018470553491","45.3828417811474","45.5258897268677","45.7212156534683","45.9457476511397"
"Czech Republic","42.4796972178916","41.7950902923865","41.2264480561204","40.7508542693037","40.4004277234889","40.5237291571367","40.6659061648994","40.9308386512953","41.4363324050445","42.2105502683892","43.4416188213068","44.8140731682181","46.3159571973579","47.8949585570537","49.4973099565417","50.8927324433142","52.39739062264","53.8638618382904","55.0957464851245","56.0026992709985"
"Denmark","50.2405937421235","50.5052600517984","50.7584664658259","50.9987050124539","51.2416651387425","51.5683909438166","51.8914968164026","52.2258263131148","52.577543723364","52.9459492095595","53.4748426286742","53.9837957652867","54.586553810253","55.2868478735224","55.9833595296141","56.2981523942527","56.6199956477692","56.9149567170267","57.1492163244942","57.3458348612169"
"Estonia","48.0445974064479","47.7410143451293","47.4288787308416","47.1261513211174","46.8684209955748","47.062324130905","47.2365418280139","47.4901882055502","47.9021296780657","48.4939530609423","49.42764611656","50.4063496756366","51.4449339409525","52.5543989137625","53.7337592138741","54.294371695363","55.1231614681643","56.2096175751875","57.369042762128","58.4067415783824"
"Finland","49.4458730628314","49.5670244933856","49.8036293582084","49.9921535010447","50.0743349262587","50.1416522667071","50.0952441496934","50.0792708158271","50.3212177131641","50.9483114065022","52.0227198730612","53.3793360570073","54.9243789106929","56.4570350782054","57.8258663019847","59.0452543455019","60.0766175741488","60.9423994855002","61.6997312816716","62.3893444139152"
"France","53.8696758575547","53.8977854675847","53.8725781801268","53.8212266026637","53.7649081441228","53.8319068565788","53.8629692832764","53.936706275182","54.168921271061","54.6309024611084","55.335246770792","56.259374161109","57.3243500610907","58.3809916442838","59.3207259286048","60.0759551102856","60.716985653615","61.2671445356188","61.7953546501292","62.3564056470275"
"Germany","47.9159592304807","48.4284355776905","48.9446014211877","49.4440472933971","49.8912304037017","50.364740559451","50.8030262315896","51.2010395606892","51.5319812559294","51.7937457997838","52.0097511222545","52.0953973406867","52.1320952080022","52.2446834584225","52.5216312802673","52.9145728699203","53.4264177539329","54.0428361206484","54.7089085937167","55.3833620674384"
"Greece","46.4805712645885","47.0139453948534","47.5938956911579","48.0988235656736","48.4596082329162","49.2507708440748","49.9431562253128","50.5854879886707","51.2545378334588","51.991352297526","52.5494605428365","53.1024032964183","53.6547619798312","54.2089432132799","54.7528925486277","55.0032630461071","55.2895315704161","55.5851598567029","55.8556594149239","56.1044189636684"
"Hungary","46.5236089279558","46.187088126917","45.8615673626573","45.5320561869165","45.2127395393732","45.31022036825","45.2922046491628","45.1635401944935","44.9885768504627","44.8274139126108","45.0743635582775","45.3224575943448","45.6535517720986","46.1585933650761","46.8804592243367","47.8707208522541","49.1427083392061","50.5337672766974","51.8088153179425","52.8392101830071"
"Iceland","52.7945781323725","52.4382873139076","52.1840373415193","51.875867735075","51.4884188708335","50.8633661596222","50.1920991106076","49.5711916160893","49.106528405234","48.8150106450179","49.2721547121607","49.7574209575218","50.3033791845205","50.9164162041561","51.5771049448334","52.0038245769855","52.4740473674395","52.9692128214135","53.4665560024687","53.9555559290273"
"Ireland","46.040918360833","45.2860292593453","44.764297866961","44.4518104999414","44.3263981214976","44.5973000287936","44.9818597213305","45.4719750008992","46.0304259099342","46.6182649925745","47.9165146082642","49.2114670922869","50.4987913070451","51.7847768088021","53.0544604780929","53.6167327392828","54.1067735806537","54.4931512588771","54.7345704138034","54.8232359943845"
"Israel","61.4873590183254","61.3200646557069","61.1295129721077","60.998193528861","60.9628271818394","60.5893657269869","60.3650554669987","60.2824943875469","60.3355789224771","60.5449379887912","61.1595150895344","61.8565509796407","62.6170294805032","63.4030931171094","64.1695753524461","65.0135702711428","65.7552628765509","66.395547399915","66.928871965334","67.3438929800863"
"Italy","48.8580934215493","49.4387268164605","50.0689529741973","50.6480217782242","51.1182668809366","51.5792833924115","51.8726262231473","52.0727349791329","52.3135772713617","52.6848814854331","53.2069468358705","53.7983835645624","54.4179995850497","54.9799071402516","55.4340137863763","55.8591980388129","56.1884000768445","56.4475053382725","56.6877335727189","56.9592202950824"
"Japan","47.2459862269781","47.9222961607371","48.6286522961659","49.4218643621012","50.3357743664217","51.2051727794122","52.1708168257523","53.2529944725622","54.4839327335742","55.891578776353","57.3917711337264","59.0341434265202","60.7497660649142","62.4198969298013","63.9578508093031","65.3061318795137","66.4554629240626","67.4290802202976","68.279570780973","69.0497892359114"
"Korea, Rep.","38.1659362739621","38.1734444968005","38.3572212542406","38.4387580805216","38.2944898365039","38.0314819763682","37.6881566885","37.2786307685458","36.8918760446411","36.6025355130918","36.457632872884","36.3267655684943","36.2316084308117","36.2144528674211","36.3160750207073","36.679001839695","37.1323499276971","37.725640199147","38.5168579778302","39.5356280354824"
"Latvia","48.2699293405926","47.722652745548","47.1925429555918","46.6336656116264","46.0657230804562","46.3417498144636","46.5282268241568","46.7363241011623","47.0941664920998","47.6403849037002","48.5255316126455","49.4974176423383","50.5560629828195","51.6987330927495","52.9354308080062","53.6297729583777","54.8217385967066","56.3461763121516","57.8389068680331","59.031799702769"
"Lithuania","50.8114740884902","50.2601461811186","49.7283137653774","49.2116743943961","48.7185030611797","48.4050780441579","48.0500272843608","47.6795483677925","47.3582204356757","47.1382389199127","47.5127412457825","47.9709641776956","48.5111671252686","49.1361408987227","49.8806851279236","50.6258504187303","51.5804885682406","52.8758933536182","54.5448561874094","56.4845279316971"
"Luxembourg","49.4895972643091","49.602167374707","49.6157158947857","49.524428138709","49.349986354369","48.6883043750452","47.9916013541429","47.3244031198464","46.7464395527294","46.2780752983541","45.6812503337465","45.1232445374982","44.5956266848334","44.0882578426091","43.6206987844267","43.4344579441556","43.2085127434194","42.9835743247693","42.8208453598273","42.7518349856294"
"Mexico","63.6621281762093","62.6003646024013","61.6476011783536","60.7578287104758","59.9032430694131","59.0717296520398","58.1309580474287","57.1493140441834","56.222624132686","55.402253858528","54.6101018846974","53.9484804010589","53.3853101196504","52.8612318044476","52.3477206979876","51.9253743986976","51.4692418591974","51.0129948515527","50.6064441559287","50.2705680764693"
"New Zealand","52.26643656999","51.8438344711847","51.4433029621922","51.0345729684511","50.620440788594","50.4528758841075","50.3272549449486","50.2703228988153","50.3176072723716","50.4896178870506","51.0272017704353","51.5095272171342","51.9708381300686","52.4464336344121","52.947289693329","53.397101005976","53.9542077703762","54.5735066321263","55.1844664067221","55.7607871153848"
"Norway","54.1119158940728","53.7228729114085","53.2822242041159","52.8560372161148","52.5023081711071","52.0077271329277","51.5844063373035","51.2317161435851","50.9676043717747","50.8270535669114","51.0317575753141","51.2734397371554","51.5557547275926","51.8536418391163","52.1267547284102","52.4298117792043","52.6835671872658","52.9011236052083","53.1056896417463","53.3358359727913"
"Poland","45.2062115392997","44.4113363821727","43.7082825649897","42.9875146733427","42.2230146388686","41.5839315371258","40.9950777462512","40.5249221009843","40.2571977318772","40.2326142294911","40.7219342339802","41.2812790839498","41.975840419679","42.8880180840385","44.0419454575121","45.186068119067","46.650308179456","48.3021469137836","49.9301697074552","51.4168587997609"
"Portugal","47.7408359507913","47.8767719940427","48.0938205064813","48.3093374301431","48.4566673648985","49.076549747305","49.5662309138552","49.9452662087434","50.2901351214523","50.6702790330745","51.1536144371319","51.6772813488703","52.2546210165144","52.8663781510407","53.4888748806758","53.937228860573","54.3800233871429","54.8269616158289","55.3006582218242","55.8269041557464"
"Slovak Republic","43.7540539565413","42.6508284601683","41.6211101710774","40.6584683007368","39.7821630200068","39.2904166926986","38.8856630688221","38.5969821228201","38.4572002599283","38.4800713432965","38.8519677869888","39.2759712731248","39.8144706872002","40.533949485419","41.4524655073085","42.4687224794415","43.716889591369","45.0860457422501","46.4131234569525","47.6072748708159"
"Slovenia","42.4520901282674","42.1854092661148","41.9046637134792","41.744245800222","41.7862823089812","41.9768266127492","42.4088934552321","43.0148419264434","43.6567708182933","44.257538969416","45.1168304569303","45.8343996546182","46.5408473949293","47.4192796546552","48.5514382673123","49.8346410644501","51.3443380334506","52.9722688554965","54.5401871012333","55.9434271190141"
"Spain","45.4236011396681","45.1223489896354","44.9036923995849","44.7850716315454","44.7694610979013","45.1215791854847","45.5186749561008","45.949476266051","46.3680766632068","46.730008815098","47.6538264109461","48.4074967511606","49.0737816979334","49.7563846865661","50.4962473335789","50.7748250485296","51.1697189700603","51.6196951902596","52.0327433357427","52.3857787288138"
"Sweden","54.7764656593392","54.2566479743025","53.902209483075","53.5496765198649","53.165597481791","53.2329769402258","53.0614918526696","52.8332704238936","52.8312818346627","53.2015057914553","53.881282033786","54.893819964102","56.1561219641646","57.4185312415222","58.4856890090749","59.3080345603839","59.9656519988911","60.4552069734022","60.8339077092065","61.1665450406472"
"Switzerland","48.3967490808658","48.1205239556693","47.8086797256829","47.4942371536279","47.2166351235605","46.9962916696129","46.8355875257605","46.7602469315385","46.7928549141611","46.9501526139684","47.183280284664","47.4896808914825","47.8864155270968","48.3378886677241","48.7888355863171","49.390775005843","49.9325804984945","50.4532595974744","51.0087583981021","51.6442103414977"
"Turkey","57.3641559531913","56.6387110958893","55.8699628505381","55.1485820517044","54.5062863332935","53.8414856174581","53.2729387668457","52.7608300495543","52.2600890921716","51.7763120729658","51.4185250212974","51.0831661204441","50.7857244694881","50.5315766535242","50.3050892653917","50.0921776346906","49.8317422311373","49.5497565523664","49.2918481489146","49.0826718342632"
"United Kingdom","53.3140617805665","52.8723483446829","52.3944815066067","51.9363621993545","51.5457914065015","51.3720233909737","51.2670884921574","51.2666092375454","51.3955148313646","51.6650449382949","52.3437488711275","53.042456908844","53.7606423008909","54.4638463687415","55.1110276647482","55.6373585302383","56.0698960446915","56.4307461886856","56.7506119684217","57.0613740551911"
"United States","51.1542889678744","50.801811319259","50.4796955067234","50.1106892502882","49.6845677496855","49.6971103492389","49.6149866977895","49.5214275340227","49.5258139285031","49.6705152177703","49.8697526247428","50.1154431173733","50.4259156358152","50.7930399184929","51.2095505522683","51.6461673051109","52.1558060196527","52.7106771133606","53.2776661710363","53.8524813365846"
"Netherlands","47.3329913414599","47.5389240802965","47.7592420661139","47.9383437095412","48.0472975026342","48.3228576683655","48.4380011982546","48.512731809675","48.7238212181895","49.1640546741783","49.7526172726539","50.5799295494589","51.5300362899899","52.4010771538559","53.0826273110589","53.723348944284","54.190741208935","54.5698997794335","55.0118755420316","55.6092767050103"
"Scotland","54.08","53.75","53.41","53.08","52.73","52.36","52.04","51.98","52.04","51.99","51.97","52.99","53.57","54.19","54.5","54.87","55.23","55.71","56.19","56.48"
