Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,74.37,75.4,75.8,76.19,76.5,76.39,76.44,76.64,76.43,76.41,76.31,76.94,76.95,77.45,78.03
Austria,70.39,71.44,72.39,73.5,73.89,74.34,74.43,74.55,75.11,75.51,75.38,75.5,76.2,76.43,76.79
Belgium,65.89,66.75,66.5,67.08,67.11,66.93,67.66,66.72,66.94,67.53,67.72,67.58,67.62,67.99,68.59
Canada,78.13,77.73,77.71,78.26,78.39,77.96,77.81,77.75,77.8,78.03,77.76,77.97,78.11,78.46,78.43
Chile,61.14,61.52,62.49,63.04,64.69,64.82,64.78,66.19,66.27,66.44,66.63,66.76,66.78,67.4,67.58
Czech Republic,70.09,70.4,70.33,69.85,69.67,70.1,70.17,70.53,71.59,72.87,73.52,74.02,75,75.88,76.57
Denmark,80.14,79.81,80.55,80.08,80.67,80.24,79.36,79.26,78.64,78.12,78.08,78.46,79.95,78.84,79.38
Estonia,69.94,70.18,72.62,73.03,74.11,73.96,73.81,74.73,74.83,75.1,75.19,76.63,77.37,78.78,79.02
Finland,74.37,74.84,75.39,75.69,76.12,75.18,74.63,75.13,75.39,75.32,75.48,75.95,76.04,76.86,78.04
France,69.78,69.71,69.61,69.71,69.87,70.26,70.25,70.11,70.72,71.14,71.38,71.51,71.7,71.81,72.25
Germany,72.58,73.84,74.99,75.63,75.94,76.37,76.64,77.32,77.22,77.62,77.74,77.63,77.94,78.24,78.65
Greece,66.18,66.36,66.67,66.54,66.66,67.43,67.84,67.26,67.47,67.47,67.43,67.81,68.22,68.27,68.18
Hungary,60.46,61.37,62.03,61.63,61.2,61.23,61.92,62.37,63.71,64.7,66.98,68.64,70.13,71.16,71.94
Iceland,85.48,86.68,87.96,87.78,86.87,85.28,85.46,85.15,85.5,86.57,86.67,87.89,89.05,88.33,87.28
Ireland,72.12,73.83,74.79,75.63,74.99,73.6,72.07,71.56,71.34,72.19,71.71,72.19,73.12,72.54,73.05
Israel,70.1,70.37,70.78,71.23,71,71.18,71.34,70.98,71.47,71.58,72.19,72.18,72.12,72.13,71.97
Italy,62.63,62.37,62.64,62.4,62.92,62.26,62.01,62.05,63.5,63.35,63.94,64.04,64.94,65.43,65.64
Japan,72.25,72.64,73.09,73.64,73.8,73.92,74.03,73.8,73.93,74.86,75.5,75.95,76.86,77.54,78.85
Korea,66.3,66.35,66.4,66.41,66.15,65.51,65.89,66.22,66.53,66.78,68.02,68.44,68.68,69.24,69.34
Latvia,69.31,69.15,71.02,72.62,74.16,73.55,72.95,72.84,74.41,73.99,74.56,75.73,76.3,76.96,77.7
Lithuania,69.18,68.65,67.56,67.95,68.43,69.61,70.24,71.37,71.82,72.42,73.71,74.13,75.47,75.95,77.31
Luxembourg,65.83,66.59,66.72,66.89,66.8,68.74,68.21,67.95,69.44,69.85,70.8,70.88,69.97,70.15,71.08
Mexico,62.21,62.35,63.3,63.39,63.21,63.31,63.14,63.43,64.17,64.12,63.59,63.61,63.62,63.39,63.72
Netherlands,74.62,75.19,75.53,76.81,77.95,78.23,77.9,78.06,79,79.38,79.02,79.62,79.67,79.73,80.25
New Zealand,76.29,77.21,77.82,78.06,77.91,77.7,77.44,77.75,77.57,77.92,78.97,79.03,79.85,80.87,81.11
Norway,79.11,78.88,78.19,78.92,80.19,79.01,78.25,77.95,78.38,78.3,78.13,78.4,78.18,77.42,77.97
Poland,64.25,64.6,63.36,63.16,63.83,64.69,65.32,65.73,66.49,67,67.86,68.11,68.81,69.58,70.13
Portugal,72.69,73.2,73.62,73.87,73.94,73.43,73.67,73.63,73.41,73.04,73.24,73.4,73.73,74.66,75.14
Slovak Republic,69.66,68.87,68.55,68.21,68.88,68.43,68.65,68.71,69.42,69.85,70.26,70.91,71.84,72.1,72.36
Slovenia,69.79,70.67,70.89,71.3,71.78,71.85,71.5,70.26,70.41,70.51,70.9,71.75,71.63,74.21,75.05
Spain,69.97,71.08,72.13,72.81,73.79,74.13,74.55,74.92,75.28,75.31,75.26,75.45,75.36,75.07,74.9
Sweden,78.87,80.25,80.31,79.12,79.34,78.89,79.05,79.94,80.3,81.09,81.51,81.73,82.05,82.48,82.9
Switzerland,80.96,80.85,81.24,81.62,82.31,82.49,81.3,82.05,82.29,82.4,82.88,83.29,83.87,83.95,84.21
Turkey,49.64,49.84,49.78,49.83,50.57,51.66,52.68,53.82,53.98,54.98,55.11,56.09,56.98,57.99,58.53
United Kingdom,76.32,76.3,76.83,76.51,76.78,76.6,76.25,76.38,76.63,77.1,77.18,77.63,77.71,78.21,78.32
United States,75.45,75.41,75.54,75.3,75.29,74.62,73.91,73.29,73.11,72.81,72.7,72.61,72.95,73.34,73.63
OECD - Total,69.95,70.17,70.49,70.58,70.78,70.68,70.57,70.55,70.79,70.98,71.12,71.31,71.69,72.06,72.44
European Union 28,69.47,69.87,70.33,70.51,70.91,71.01,71.19,71.31,71.83,72.15,72.49,72.76,73.12,73.57,73.91
Scotland,76.7,77.1,77.8,77.6,77.4,77.4,77,76.9,76.8,76.9,77.5,77.7,76.7,77.4,77.4
