Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,70.3,71.55,72.13,72.8,73.21,72.05,72.37,72.66,72.35,71.97,71.57,72.16,72.43,72.99,73.77
Austria,66.51,67.39,68.56,69.88,70.8,70.33,70.78,71.1,71.4,71.41,71.08,71.11,71.54,72.16,73.01
Belgium,60.33,61.07,60.99,62.05,62.4,61.6,62.01,61.92,61.85,61.8,61.9,61.8,62.29,63.14,64.48
Canada,72.46,72.43,72.77,73.5,73.51,71.37,71.47,71.85,72.05,72.44,72.3,72.51,72.57,73.44,73.8
Chile,54.77,55.62,56.72,57.58,58.57,57.33,59.32,61.3,61.84,62.33,62.22,62.44,62.24,62.68,62.61
Czech Republic,64.23,64.78,65.27,66.1,66.58,65.36,65,65.73,66.55,67.74,68.96,70.23,71.98,73.65,74.82
Denmark,75.67,75.9,77.37,77.01,77.86,75.35,73.34,73.15,72.59,72.54,72.8,73.51,74.88,74.21,75.45
Estonia,62.69,64.41,68.23,69.57,69.99,63.75,61.21,65.34,67.21,68.48,69.56,71.82,72,74.11,74.74
Finland,67.78,68.52,69.58,70.46,71.25,68.92,68.28,69.22,69.54,69.08,68.89,68.73,69.24,70.11,72.21
France,63.84,63.76,63.72,64.35,64.91,64.1,63.99,63.89,64.03,64.05,64.24,64.27,64.64,65.23,65.88
Germany,65.04,65.51,67.18,69.01,70.16,70.38,71.15,72.75,73,73.49,73.8,73.97,74.65,75.25,75.92
Greece,59.07,59.63,60.57,60.86,61.4,60.84,59.08,55.08,50.81,48.79,49.42,50.78,52.05,53.48,54.91
Hungary,56.76,56.92,57.35,57.04,56.38,55.05,54.95,55.43,56.66,58.07,61.78,63.94,66.52,68.17,69.25
Iceland,82.81,84.37,85.3,85.74,84.23,78.94,78.86,79.04,80.24,81.81,82.23,84.23,86.27,85.76,84.84
Ireland,68.61,70.07,71.07,71.69,70.32,63.97,61.35,60.4,59.82,61.43,62.6,64.56,66.34,67.44,68.54
Israel,60.95,62.32,63.15,64.53,65.48,64.33,65.21,65.84,66.5,67.06,67.86,68.32,68.59,69.04,69.02
Italy,57.56,57.49,58.34,58.56,58.63,57.37,56.76,56.79,56.64,55.54,55.69,56.29,57.22,57.96,58.53
Japan,68.7,69.28,69.96,70.66,70.73,70.03,70.11,70.29,70.56,71.68,72.66,73.27,74.34,75.26,76.83
Korea,63.77,63.75,63.97,64.15,63.96,63.02,63.39,63.92,64.34,64.63,65.57,65.91,66.08,66.63,66.61
Latvia,61.02,62.12,65.9,68.13,68.2,60.34,58.5,60.82,62.99,65.03,66.29,68.1,68.74,70.1,71.8
Lithuania,61.59,62.86,63.61,65.01,64.4,59.86,57.55,60.19,62.02,63.74,65.68,67.22,69.38,70.41,72.41
Luxembourg,62.46,63.6,63.56,64.17,63.42,65.19,65.21,64.6,65.83,65.73,66.64,66.13,65.55,66.28,67.09
Mexico,59.86,60.06,60.96,61,60.66,59.79,59.66,60.03,60.91,60.84,60.41,60.75,61.05,61.13,61.53
Netherlands,70.38,70.75,71.73,73.58,75.09,74.79,73.98,74.15,74.37,73.58,73.12,74.11,74.84,75.85,77.18
New Zealand,73.17,74.22,74.77,75.13,74.59,72.8,72.22,72.53,71.99,72.85,74.24,74.28,75.58,76.88,77.48
Norway,75.58,75.19,75.49,76.9,78.07,76.47,75.36,75.34,75.79,75.49,75.31,74.86,74.36,74.07,74.88
Poland,51.86,52.95,54.47,57.02,59.23,59.34,58.95,59.32,59.7,59.99,61.68,62.93,64.51,66.12,67.39
Portugal,67.58,67.31,67.63,67.61,68.01,66.08,65.27,63.81,61.42,60.62,62.62,63.9,65.25,67.81,69.68
Slovak Republic,57,57.72,59.4,60.68,62.27,60.16,58.75,59.32,59.71,59.89,60.97,62.72,64.87,66.18,67.58
Slovenia,65.29,65.96,66.57,67.77,68.58,67.53,66.2,64.4,64.07,63.26,63.88,65.22,65.83,69.27,71.14
Spain,62.27,64.55,66,66.78,65.44,60.82,59.66,58.8,56.51,55.57,56.78,58.72,60.48,62.06,63.41
Sweden,73.66,74.01,74.64,74.19,74.33,72.21,72.13,73.59,73.77,74.43,74.89,75.54,76.22,76.86,77.55
Switzerland,77.4,77.2,77.94,78.59,79.5,79.02,77.3,78.34,78.49,78.38,78.76,79.19,79.61,79.78,80.1
Turkey,44.12,44.4,44.57,44.6,44.9,44.26,46.29,48.43,48.9,49.52,49.55,50.19,50.65,51.53,51.98
United Kingdom,72.71,72.72,72.65,72.44,72.68,70.62,70.21,70.25,70.47,71.17,72.25,73.45,73.84,74.72,74.99
United States,71.22,71.53,72,71.78,70.89,67.62,66.69,66.65,67.14,67.36,68.15,68.71,69.35,70.11,70.73
OECD - Total,65,65.4,66.05,66.48,66.45,64.74,64.51,64.78,65,65.2,65.74,66.35,67.03,67.78,68.48
European Union 28,63.04,63.55,64.48,65.4,65.92,64.58,64.29,64.37,64.22,64.21,64.98,65.83,66.79,67.89,68.79
Scotland,72.6,73,73.7,73.9,73.6,72,71,70.5,70.5,70.8,72.6,73.1,73,74.2,74.1
