"Country","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Australia",60,NA,62.200001,NA,64.400002,NA,63.299999,NA,59.299999,NA,61.099998,NA,60,NA,62,NA,61.299999,NA,61.200001,NA
"Austria",98,NA,NA,NA,NA,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
"Belgium",96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
"Canada",32.400002,32.299999,32.200001,32.200001,31.700001,32,31.700001,31.6,31.200001,31.5,31.4,31,31.299999,31.1,30.4,30.6,30.299999,30.4,30.1,30.200001
"Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,15.4,16.1,16.9,17.5,18.5,19,19.9,17.700001,20.4,NA
"Colombia",NA,NA,NA,NA,NA,NA,NA,NA,0.80000001,1.1,0.69999999,1,0.89999998,10.7,12.3,14.5,15.7,NA,NA,NA
"Costa Rica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.1999998,9.5,9.3000002,9.3000002,10.6,10.8,10.2,10.3
"Czech Republic",42.400002,38.5,38.5,41.099998,40.400002,38.200001,37,36.400002,38.200001,38,36,36.900002,36.700001,36.400002,34.299999,34.200001,32.900002,33.599998,34.200001,34.700001
"Denmark",85.099998,85.099998,84.900002,85.099998,85.099998,85,85,82.800003,82.599998,76.3,76.5,83,83.699997,80,82,83.099998,82,NA,82,NA
"Estonia",NA,31.5,NA,NA,31.5,NA,14.5,NA,NA,32.5,15.7,25.7,23,NA,14.1,18.6,NA,NA,6.0999999,NA
"Finland",85,NA,91,NA,91.400002,NA,87.699997,NA,87.5,78.4,77.8,NA,89.7,NA,91.900002,89.3,NA,88.800003,NA,NA
"France",NA,NA,NA,NA,97.699997,NA,NA,NA,98,98,98,NA,98,98,98.5,98,NA,NA,98,NA
"Germany",67.800003,68.800003,67.800003,67.599998,65.800003,64.900002,63.299999,61.700001,61.299999,61.700001,59.799999,58.900002,58.299999,57.599998,57.799999,56.799999,56,55,54,NA
"Greece",100,100,100,100,100,100,100,100,100,100,100,100,51.5,37.299999,29.200001,21.299999,14.3,14.2,NA,NA
"Hungary",38.400002,35.700001,33.799999,34.299999,34.5,24.799999,22.700001,24.6,22.799999,26.9,27.299999,26.4,26.9,25.5,25.4,28.299999,28.1,23.299999,21.1,21.799999
"Iceland",90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
"Ireland",44.200001,NA,NA,NA,NA,41.700001,NA,NA,NA,40.5,NA,NA,NA,NA,32.5,NA,NA,34,NA,NA
