"Country","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"OECD members",27.45,27.88,27.83,27.93,27.55,27.04,27.99,28.57,28.23,"27.12"
"European Union",43.48,44.88,44.9,45.51,46.43,45.92,47.39,47.96,47.79,"44.54"
"Australia",21.44,21.48,19.96,21.04,19.98,19.25,21.21,21.82,24.11,"23.92"
"Austria",53.95,53.97,53.44,53.39,53.09,52.41,54.05,55.69,55.58,"52.63"
"Belgium",80.7,80.4,79.32,79.8,77.81,79.43,83.18,83,81.81,"80.58"
"Canada",30.68,30.35,30.33,31.74,31.85,31.5,31.45,32.35,31.92,"28.96"
"Chile",37.76,34.12,32.2,33.11,29.38,28.15,28.44,28.51,28.02,"31.54"
"Czech Republic",70.82,75.65,76.06,81.95,80.56,79.11,79.03,76.96,73.89,"70.99"
"Denmark",53.82,54.63,54.83,54.61,55.42,53.43,55.08,56.56,59,"54.88"
"Estonia",86.6,86.21,84.57,81.87,77.44,77.01,75.81,74.47,74.05,"71.18"
"Finland",38.9,38.81,38.02,36.48,35.41,34.81,37.55,38.47,39.84,"36.19"
"France",28.42,29.2,29.36,29.67,30.59,30.25,30.95,31.71,31.59,"27.87"
"Germany",45.06,46.31,45.42,45.62,46.92,46.07,47.16,47.3,46.62,"43.42"
"Greece",25.49,28.74,30.25,32.46,32.17,31.33,34.98,38.96,40.08,"31.89"
"Hungary",86.19,86.11,85.58,87.29,87.6,86.5,86.01,83.89,82.28,"79.66"
"Iceland",54.55,54.93,53.25,51.52,51.65,47.48,45.73,46.64,44.31,"34.24"
"Ireland",103.27,104.27,103.81,109.96,121.98,121.54,121.13,122.99,127.93,"131.11"
"Israel",35.45,36.06,33.79,32.27,31.48,30.22,29.66,30.26,29.76,"28.39"
"Italy",26.87,28.38,28.63,29.11,29.72,29.33,30.73,31.35,31.7,"29.49"
"Japan",14.77,14.41,15.78,17.42,17.44,16.06,17.59,18.33,17.36,".."
"Korea, Rep.",53.34,54.09,51.29,47.83,42.99,40.13,40.93,41.71,39.95,"36.90"
"Latvia",57.88,61.11,59.93,61.17,60.28,59.61,61.63,61.42,60.21,"60.28"
"Lithuania",72.88,78.23,78.67,72.27,68.78,67.59,73.6,75.25,77.43,"74.07"
"Luxembourg",177.99,186.44,190.63,212.61,221.2,213.04,217.62,211.56,208.75,"214.53"
"Mexico",31.04,32.27,31.31,31.87,34.52,37.04,37.65,39.26,38.83,"40.09"
"New Zealand",30.4,28.86,28.81,27.98,27.86,26.48,27.33,27.59,26.99,".."
"Norway",41.27,40.68,39.2,39,37.8,35.46,36.33,37.97,36.32,"32.52"
"Poland",42.39,44.25,46,47.22,49.09,51.92,54.16,55.24,55.54,"55.63"
"Portugal",34.45,37.78,39.61,40.22,40.62,40.21,42.72,43.45,43.54,"36.70"
"Slovak Republic",84.91,90.92,93.5,91.5,92.01,93.71,95.21,96.38,92.41,"85.71"
"Slovenia",70.25,72.89,74.22,76.15,77.15,77.6,83.13,84.82,83.96,"77.88"
"Spain",29.53,31.46,32.96,33.48,33.63,33.88,35.15,35.16,34.95,"30.62"
"Sweden",45.27,45.03,42.53,43.27,43.77,42.69,43.73,45.68,47.81,"44.58"
"Switzerland",65.9,67.41,71.38,63.81,62.4,65.67,65.08,66.16,65.53,"62.34"
"Turkey",22.99,24.36,23.79,25.21,24.53,23.08,26.04,31.2,32.74,"28.57"
"United Kingdom",30.71,29.99,29.87,28.2,27.26,28.24,30.11,30.89,31.08,"27.37"
"United States",13.61,13.69,13.63,13.56,12.44,11.91,12.2,12.29,11.76,"10.14"
"Netherlands",75.5,79.5,79.88,80.58,82.66,79.54,83.39,84.68,82.54,"77.86"
"Scotland (international)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotland (international and RUK)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
