Country,Value
Australia,15.4
Austria,17.7
Belgium,3.3
Canada,19.2
Czech Republic,16.3
Denmark,6.3
Estonia,28.3
Finland,19.6
France,9.9
Germany,17.2
Greece,9.1
Hungary,3.8
Iceland,13.6
Ireland,14.4
Israel,20.1
Italy,5.6
Japan,25.9
Korea,36.7
Latvia,21.1
Lithuania,12.5
Luxembourg,3.4
Mexico,18.3
Netherlands,14.1
New Zealand,6.1
Norway,6.3
Poland,11.1
Portugal,18.9
Slovak Republic,14.4
Slovenia,5
Spain,11.5
Sweden,9.2
Switzerland,16.9
Turkey,6.9
United Kingdom,17.4
United States,17.5
OECD - Total,14.1
Colombia,9.6
Costa Rica,5.1
Scotland,17.6
