Country,2000,2012,2013,2014,2015,2016,2017,2018
Australia,17.2,13.8,18,15.4,13,11.5,11.7,11.7
Austria,23.1,18.2,18.1,17.7,17,15.7,15.4,
Belgium,13.6,6.4,5.9,3.3,4.7,3.7,,
Canada,23.9,19.5,19.3,19.2,18.6,18.2,18.2,
Chile,6.1,,10.7,,14.3,,12.5,
Czech Republic,19.1,15.3,15.4,16.3,16.5,16,15.6,15.1
Denmark,,7,6.8,6.3,5.8,5.7,5.3,
Estonia,,,,28.3,,,,
Finland,20.4,18.7,20.2,19.6,18.1,16.5,17.7,
France,,,,9.9,,,,
Germany,19.6,15.6,14.1,17.2,15.8,15.5,16.2,
Greece,,6.9,11.3,9.1,6.3,4.5,4.5,
Hungary,14.1,11.3,8.7,3.8,9.5,9.4,,
Iceland,,,14.5,13.6,9.9,11.5,,
Ireland,19.7,6.3,14,14.4,12.6,7.4,5.9,
Israel,,20,20.3,20.1,20.4,21.6,21.8,
Italy,8.5,11.1,,5.6,,5.6,,
Japan,33.9,26.5,26.6,25.9,25.7,24.6,24.5,
Korea,41.7,36.3,36.6,36.7,37.2,36.7,34.6,
Latvia,,,,21.1,,,,
Lithuania,,,,12.5,,,,
Luxembourg,,,,3.4,,,,
Mexico,,13.6,15.4,18.3,16.7,16.5,11.1,14
Netherlands,,,,14.1,,,,
New Zealand,7.2,5.9,6.6,6.1,7.9,7.8,7.2,7.9
Norway,10.2,6.4,7,6.3,7.1,,,
Poland,,10.6,,11.1,,9.4,,
Portugal,,16.3,16.7,18.9,18.9,14.3,14.8,
Slovak Republic,,16,14.1,14.4,13.4,13.9,15,
Slovenia,,,,5,,,,
Spain,,8.6,,11.5,,,,
Sweden,12.4,9.3,9.4,9.2,8.3,8.2,7.3,
Switzerland,23.8,19.3,,16.9,,14.8,,
Turkey,,,,6.9,,,,
United Kingdom,26.3,17.8,17.5,17.4,17.1,16.8,16.5,16.4
United States,23.1,19.1,17.9,17.5,18.9,18.1,18.2,
OECD - Total,17.9,14.2,14.6,14.1,14,13.3,13.5,
Colombia,,8.2,7.1,9.6,11.1,7.1,7.7,5.8
Costa Rica,,0.6,0,5.1,3.7,1.8,3,4.7
Scotland,16.6,17.6,17.5,17.6,17.1,15.6,16,15
