"Country","2019"
"Australia","21.63"
"Austria","8.916"
"Belgium","10.109"
"Canada","19.52"
"Czech Republic","11.473"
"Denmark","7.937"
"Estonia","11.088"
"Finland","9.584"
"France","6.802"
"Germany","9.696"
"Greece","8.176"
"Hungary","6.653"
"Iceland","13.929"
"Ireland","12.243"
"Italy","6.908"
"Japan","9.534"
"Lithuania","7.381"
"Latvia","5.838"
"Luxembourg","17.447"
"Netherlands","10.546"
"New Zealand","17.21"
"Norway","9.358"
"Poland","10.313"
"Portugal","6.207"
"Slovak Republic","7.321"
"Slovenia","8.21"
"Spain","6.73"
"Sweden","5.074"
"Switzerland","5.367"
"Turkey","6.066"
"United Kingdom","6.71"
"United States","19.93"
"OECD - Europe","7.737"
"OECD - Total","11.326"
"Scotland","8.247764655"
