Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Scotland,83337,80262,81430,80353,76084,76047,73383,71358,73456,69287,67080,62964,65464,58757,59039,57382,53676,53204,48542,47504,48885,47784
Australia,469752,476392,487778,495604,499190,500600,517727,524211,528038,534418,537262,540382,535549,537206,539511,530312,524709,533064,542288,549330,549732,545153
Austria,81433,79898,80129,84065,85815,91307,90985,92147,89729,86984,86440,79779,84337,82127,79432,79817,76239,78462,79471,81863,78628,79842
Belgium,154021,147789,148883,147325,147413,147713,148555,145562,142720,139072,138980,126325,133634,123134,120386,120443,114732,118960,117689,117424,117895,116651
Canada,696902,709601,733511,722935,726555,744832,745920,738719,730102,751661,735693,693598,702803,714079,717172,725372,722558,723096,706934,716092,728476,730245
Chile,72443,75286,73001,71105,72365,73101,79174,80296,82822,91553,91394,88098,87942,96509,102425,102678,99268,106342,110156,111216,112313,..
Czech Republic,148602,139030,149272,149300,145658,148734,149763,147728,148954,150777,145889,136853,139606,138069,134139,128692,126563,127972,129585,130460,128555,122639
Denmark,78536,76049,71748,73470,72887,77956,71988,67601,75303,70732,67137,64331,64664,59430,54838,56561,52332,49738,51764,49649,49621,45812
Estonia,19021,17850,17496,17934,17342,19284,19482,19257,18599,22207,20084,16662,21218,21286,20115,22020,21176,18139,19809,21066,20206,14699
Finland,72656,72039,70163,75490,77918,85538,81850,69851,81228,79574,71465,67828,75622,67877,62402,62797,58660,55087,58007,55230,56282,53021
France,564795,558542,552419,557716,551774,556026,554920,555962,545436,535685,528371,506424,513462,488902,490286,491503,461189,464206,467060,470564,452034,442985
Germany,1078776,1044927,1042612,1058745,1037235,1034138,1017526,992530,999355,973769,974780,908688,941805,917274,923342,940420,901255,904262,907968,892076,855890,809799
Greece,122955,123113,126471,127525,127540,131280,131961,136424,132518,135149,131825,124619,118500,115572,112306,102684,99258,95464,91822,95601,92308,85631
Hungary,77397,77820,74917,76857,75138,78043,76961,76718,75507,73726,71584,65403,66057,64354,60958,58068,58408,61517,62259,64716,64735,64433
Iceland,3883,4105,4127,4019,4113,4073,4175,4023,4606,4901,5300,4966,4866,4647,4657,4654,4686,4764,4717,4795,4822,4722
Ireland,64942,66203,68459,70487,68623,69033,68385,70264,69621,68592,68131,62356,61949,57794,58785,58571,58063,60432,62475,62115,62526,59778
Italy,546489,551760,555466,557199,563138,582410,587933,589072,578515,573010,560119,505219,516474,503645,484218,449179,427930,440437,437696,432714,428549,418281
Japan,1330543,1353960,1373755,1348109,1372029,1378772,1370202,1377913,1356610,1391883,1319258,1247101,1300452,1351252,1394044,1405889,1356589,1318517,1301856,1288529,1245021,1209493
Korea,431532,469519,502866,516143,538627,548988,557255,560923,567309,580752,593854,597983,656323,684930,688308,697384,691933,692515,693535,709750,727633,..
Lithuania,23781,20968,19426,20229,20608,20776,21594,22700,22991,25171,24192,19902,20742,21339,21261,20024,19987,20283,20312,20519,20150,20368
Latvia,11451,10674,10059,10646,10617,10792,10760,10934,11415,11863,11416,10731,11820,11030,10851,10763,10671,10725,10717,10757,11261,11132
Luxembourg,8615,9080,9658,10152,10929,11373,12765,13005,12837,12254,12141,11596,12176,12053,11807,11270,10807,10324,10083,10267,10565,10743
Netherlands,232779,219337,217578,218272,216093,216743,218288,212553,207510,205894,205316,199722,211675,197327,193081,193388,185617,192713,193101,190567,186319,180309
New Zealand,71569,73366,75398,78386,78563,80734,80549,82486,82518,80523,80605,77882,78316,78149,80446,79828,80674,80724,78678,80282,80578,82318
Norway,54780,55737,55117,56349,55222,55763,56151,55270,55238,56895,55442,53054,55266,54510,53998,53989,53863,54125,53095,52089,52211,50334
Poland,420682,409183,396595,395188,385455,399259,404901,405225,420408,420269,413750,394714,413502,412489,404976,401638,388929,390816,400421,414819,411852,390745
Portugal,74333,82400,81668,81200,85720,80429,83560,85704,80872,78593,76195,73009,68727,67319,65405,63542,63440,67587,65742,70791,67132,63470
Slovak Republic,51949,50561,48670,50925,49527,49681,50409,50357,50268,48478,48899,44706,45364,44555,42309,41863,39863,40712,41112,42227,42159,39948
Slovenia,19426,18806,18582,19851,20108,19776,20175,20433,20633,20817,21543,19378,19614,19540,18918,18221,16582,16761,17616,17697,17522,17065
Spain,345415,372592,388212,385643,403701,411525,427387,442075,435256,446328,412136,372319,357876,357588,350318,323526,325609,336995,325466,338738,333250,314529
Sweden,72588,69505,68149,68963,69685,70053,69488,66663,66282,65164,62789,58524,64557,60231,57376,55719,53833,53999,53572,53011,52170,50920
Switzerland,53783,53635,52931,54477,52986,54080,54688,55348,55038,53124,54541,53084,54721,50606,51946,52832,48875,48416,48709,47869,46370,46108
Turkey,280419,277841,298954,280503,286227,305290,314843,337345,358571,391664,387853,395844,399143,428120,447582,439694,458954,473336,498887,524981,522477,506080
United Kingdom,742697,712883,711973,714597,694791,701373,697609,690112,683132,671466,650476,594417,608732,563660,580419,566546,526556,509051,484146,473390,466667,453101
United States,7083269,7125399,7313616,7202957,7244302,7301363,7415471,7423031,7344463,7449616,7224649,6772000,6991106,6827402,6585908,6764669,6824957,6671112,6520338,6483291,6671449,6558345
European Union (28 countries),5271946,5166090,5155595,5206084,5172149,5260744,5262044,5226495,5215586,5164853,5046972,4675075,4779612,4626769,4568546,4471236,4293697,4325015,4302753,4317625,4223100,4057595
OECD - Europe,5406203,5322328,5339734,5367127,5336262,5432448,5447103,5434863,5442541,5422157,5306799,4970454,5086109,4944478,4916112,4828425,4664077,4705281,4713300,4745996,4652158,4473146
