Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Scotland,83336.9,80261.9,81429.9,80352.9,76084.4,76047,73383.3,71357.8,73456.4,69286.9,67079.5,62963.5,65463.7,58756.6,59038.7,57381.9,53676.2,53204.4,48541.9,47503.8,48885.4,47783.9
Australia,"469,751.52","476,391.99","487,777.76","495,604.31","499,190.49","500,599.96","517,726.51","524,211.49","528,038.42","534,417.84","537,262.31","540,381.62","535,549.22","537,205.50","539,511.06","530,311.91","524,709.40","533,063.83","542,287.87","549,330.02","549,731.94","545,152.52"
Austria,"81,432.85","79,898.37","80,129.43","84,064.72","85,815.06","91,306.72","90,985.23","92,147.29","89,728.78","86,983.94","86,440.21","79,779.07","84,336.72","82,127.03","79,432.38","79,817.17","76,238.67","78,462.23","79,471.01","81,862.50","78,627.64","79,842.25"
Belgium,"154,021.16","147,789.33","148,882.93","147,324.61","147,412.69","147,713.45","148,554.79","145,561.70","142,720.48","139,071.66","138,980.22","126,325.02","133,633.52","123,134.28","120,385.71","120,443.49","114,732.00","118,959.98","117,689.18","117,424.30","117,894.74","116,651.49"
Canada,"696,901.52","709,600.92","733,511.34","722,935.01","726,555.18","744,831.89","745,919.78","738,718.60","730,101.94","751,661.27","735,692.85","693,597.90","702,802.75","714,078.51","717,172.39","725,371.84","722,557.67","723,096.02","706,933.91","716,092.01","728,475.89","730,244.94"
Chile,"72,442.96","75,285.86","73,001.38","71,105.38","72,364.80","73,100.83","79,173.64","80,296.41","82,822.36","91,553.25","91,393.91","88,098.22","87,942.08","96,508.95","102,424.84","102,678.36","99,268.13","106,342.22","110,156.04","111,215.64","112,312.62",..
Czech Republic,"148,601.60","139,029.96","149,272.31","149,299.90","145,657.98","148,734.47","149,763.24","147,727.54","148,953.58","150,776.59","145,889.00","136,853.38","139,605.90","138,068.89","134,138.67","128,691.89","126,563.24","127,972.21","129,584.95","130,460.08","128,554.62","122,638.51"
Denmark,"78,535.83","76,048.65","71,748.15","73,469.76","72,887.12","77,956.07","71,987.69","67,601.07","75,303.40","70,731.52","67,137.44","64,331.30","64,664.11","59,429.58","54,837.68","56,560.81","52,332.15","49,737.65","51,764.36","49,648.88","49,621.30","45,812.18"
Estonia,"19,021.44","17,850.09","17,495.87","17,933.88","17,342.07","19,284.11","19,482.32","19,257.08","18,598.88","22,206.85","20,083.66","16,661.56","21,218.19","21,286.17","20,114.88","22,019.84","21,176.38","18,139.32","19,808.93","21,066.44","20,206.36","14,699.12"
Finland,"72,656.18","72,039.29","70,162.59","75,489.95","77,917.81","85,538.07","81,850.13","69,851.38","81,228.18","79,574.36","71,465.37","67,828.41","75,621.63","67,876.63","62,402.31","62,797.27","58,659.76","55,087.28","58,007.00","55,230.18","56,281.82","53,021.25"
France,"564,794.56","558,542.13","552,419.16","557,716.37","551,773.94","556,025.60","554,919.88","555,961.77","545,436.42","535,685.05","528,370.73","506,423.66","513,461.78","488,902.16","490,286.17","491,502.99","461,188.53","464,205.67","467,060.00","470,564.32","452,034.46","442,984.67"
Germany,"1,078,775.63","1,044,927.44","1,042,612.09","1,058,745.06","1,037,234.57","1,034,137.58","1,017,525.75","992,529.52","999,354.67","973,768.63","974,780.35","908,688.45","941,805.34","917,273.60","923,342.03","940,419.54","901,255.14","904,261.81","907,967.91","892,075.67","855,890.41","809,798.54"
Greece,"122,954.80","123,112.81","126,470.88","127,524.66","127,540.10","131,279.63","131,960.69","136,423.69","132,517.99","135,149.01","131,825.16","124,619.09","118,500.04","115,571.73","112,305.52","102,684.38","99,257.81","95,463.98","91,821.84","95,600.99","92,308.35","85,630.94"
Hungary,"77,397.32","77,819.98","74,916.73","76,856.85","75,137.62","78,042.77","76,960.89","76,717.56","75,506.65","73,725.54","71,584.01","65,402.83","66,056.58","64,354.14","60,957.51","58,068.18","58,407.72","61,516.67","62,258.59","64,716.42","64,735.40","64,433.17"
Iceland,"3,883.44","4,105.32","4,126.80","4,018.74","4,113.32","4,073.43","4,174.60","4,022.91","4,606.48","4,901.10","5,299.94","4,966.28","4,866.27","4,647.06","4,657.36","4,654.39","4,685.66","4,763.99","4,716.62","4,795.42","4,822.19","4,722.35"
Ireland,"64,942.47","66,202.87","68,458.71","70,487.21","68,623.05","69,032.77","68,384.55","70,264.34","69,620.58","68,591.57","68,131.46","62,356.37","61,949.41","57,793.58","58,785.14","58,570.58","58,062.57","60,431.95","62,475.14","62,114.86","62,526.01","59,777.64"
Italy,"546,488.85","551,759.95","555,466.30","557,199.40","563,138.01","582,409.71","587,933.32","589,071.61","578,514.65","573,010.14","560,119.14","505,218.99","516,473.73","503,645.26","484,218.02","449,178.94","427,930.41","440,436.70","437,696.09","432,713.74","428,549.35","418,280.60"
Japan,"1,330,542.77","1,353,959.95","1,373,754.87","1,348,108.69","1,372,028.55","1,378,772.44","1,370,202.43","1,377,912.87","1,356,610.44","1,391,882.93","1,319,257.64","1,247,100.64","1,300,451.71","1,351,251.66","1,394,043.99","1,405,888.61","1,356,588.54","1,318,516.70","1,301,855.89","1,288,528.72","1,245,020.89","1,209,493.35"
Korea,"431,531.81","469,518.96","502,865.87","516,143.48","538,627.47","548,987.64","557,255.12","560,923.34","567,309.24","580,751.92","593,853.57","597,982.54","656,322.62","684,929.54","688,308.06","697,383.69","691,932.56","692,514.57","693,534.82","709,749.97","727,633.30",..
Lithuania,"23,781.00","20,968.07","19,425.84","20,228.95","20,608.07","20,776.24","21,593.77","22,700.12","22,990.58","25,170.92","24,192.34","19,902.23","20,742.36","21,338.66","21,261.46","20,024.00","19,986.69","20,283.04","20,311.83","20,518.88","20,150.10","20,367.85"
Latvia,"11,450.55","10,674.14","10,059.49","10,646.48","10,617.13","10,791.90","10,759.86","10,934.36","11,414.91","11,863.26","11,416.34","10,730.92","11,820.12","11,029.89","10,851.36","10,763.41","10,671.01","10,724.86","10,716.53","10,757.14","11,260.72","11,132.14"
Luxembourg,"8,614.78","9,079.66","9,658.18","10,151.68","10,928.76","11,373.29","12,765.15","13,005.05","12,836.67","12,253.91","12,141.35","11,596.40","12,176.42","12,052.77","11,807.44","11,270.40","10,807.26","10,324.43","10,082.90","10,266.98","10,565.23","10,742.80"
Netherlands,"232,779.11","219,336.65","217,577.76","218,271.57","216,093.44","216,742.96","218,288.46","212,553.10","207,510.09","205,894.05","205,315.85","199,722.20","211,675.15","197,327.07","193,081.48","193,387.53","185,617.27","192,712.73","193,101.02","190,567.47","186,318.55","180,309.09"
New Zealand,"71,569.28","73,366.38","75,397.63","78,386.36","78,563.49","80,733.64","80,548.79","82,486.17","82,518.41","80,522.57","80,605.45","77,881.95","78,316.41","78,149.24","80,446.28","79,827.77","80,674.00","80,724.44","78,678.36","80,282.00","80,578.31","82,317.88"
Norway,"54,779.97","55,736.95","55,117.39","56,349.07","55,222.38","55,762.84","56,151.19","55,269.62","55,238.38","56,895.40","55,442.36","53,053.84","55,265.59","54,509.57","53,998.11","53,989.10","53,863.14","54,125.12","53,095.07","52,089.48","52,211.46","50,333.98"
Poland,"420,681.52","409,182.56","396,594.91","395,187.65","385,455.07","399,258.84","404,900.89","405,225.25","420,408.33","420,268.92","413,750.43","394,713.90","413,501.55","412,488.95","404,975.67","401,638.24","388,929.07","390,815.88","400,421.28","414,819.41","411,852.17","390,744.67"
Portugal,"74,333.27","82,400.44","81,668.11","81,199.88","85,719.94","80,429.33","83,559.56","85,704.34","80,871.67","78,593.01","76,195.15","73,008.70","68,727.03","67,319.09","65,404.63","63,542.23","63,439.83","67,586.67","65,741.58","70,790.72","67,131.79","63,469.98"
Slovak Republic,"51,948.77","50,561.42","48,669.91","50,925.39","49,526.70","49,680.81","50,409.47","50,357.19","50,267.53","48,477.95","48,898.52","44,706.18","45,363.93","44,555.47","42,309.22","41,862.56","39,862.99","40,712.46","41,112.12","42,226.70","42,159.13","39,948.33"
Slovenia,"19,425.62","18,805.73","18,581.77","19,851.46","20,107.88","19,776.00","20,175.28","20,433.19","20,633.36","20,817.43","21,543.28","19,378.09","19,613.54","19,540.39","18,917.61","18,220.97","16,581.50","16,760.95","17,616.46","17,696.60","17,521.74","17,065.45"
Spain,"345,414.75","372,592.11","388,211.54","385,643.07","403,700.67","411,524.81","427,387.29","442,075.01","435,255.58","446,328.12","412,136.25","372,318.72","357,876.02","357,588.45","350,317.74","323,525.94","325,609.36","336,994.88","325,465.70","338,738.17","333,250.41","314,528.51"
Sweden,"72,588.00","69,504.50","68,149.05","68,963.19","69,684.74","70,052.93","69,487.57","66,662.53","66,281.64","65,164.48","62,788.90","58,523.68","64,557.43","60,230.62","57,376.45","55,718.95","53,833.30","53,998.52","53,571.52","53,010.59","52,170.22","50,919.87"
Switzerland,"53,783.45","53,634.57","52,931.42","54,477.08","52,986.03","54,080.41","54,688.41","55,348.19","55,037.80","53,123.60","54,541.43","53,083.92","54,721.38","50,606.40","51,946.23","52,831.53","48,875.41","48,415.62","48,709.06","47,868.93","46,369.71","46,108.19"
Turkey,"280,419.45","277,840.88","298,954.23","280,503.24","286,227.35","305,290.16","314,843.15","337,344.65","358,571.11","391,664.26","387,853.21","395,843.89","399,143.06","428,120.39","447,582.09","439,694.38","458,953.88","473,335.82","498,886.78","524,980.92","522,476.63","506,080.42"
United Kingdom,"742,696.69","712,883.46","711,972.54","714,597.26","694,790.61","701,372.64","697,609.49","690,112.27","683,132.37","671,465.50","650,476.11","594,416.68","608,732.30","563,659.98","580,418.64","566,545.83","526,556.30","509,050.72","484,146.20","473,389.98","466,666.98","453,101.46"
United States,"7,083,269.27","7,125,399.03","7,313,616.49","7,202,956.51","7,244,301.89","7,301,363.18","7,415,471.11","7,423,031.03","7,344,462.85","7,449,616.03","7,224,648.98","6,772,000.07","6,991,106.34","6,827,402.42","6,585,907.77","6,764,669.11","6,824,956.71","6,671,112.07","6,520,337.84","6,483,291.33","6,671,449.40","6,558,345.18"
European Union (28 countries),"5,271,946.12","5,166,089.87","5,155,594.61","5,206,084.13","5,172,149.06","5,260,743.78","5,262,043.65","5,226,495.34","5,215,586.09","5,164,853.03","5,046,971.79","4,675,074.81","4,779,612.47","4,626,768.71","4,568,546.27","4,471,235.92","4,293,697.12","4,325,015.41","4,302,752.66","4,317,624.81","4,223,100.18","4,057,594.57"
OECD - Europe,"5,406,203.00","5,322,327.50","5,339,734.00","5,367,127.00","5,336,262.00","5,432,447.50","5,447,102.50","5,434,862.50","5,442,541.00","5,422,156.50","5,306,798.50","4,970,453.50","5,086,109.00","4,944,478.00","4,916,111.50","4,828,424.50","4,664,077.00","4,705,281.00","4,713,299.50","4,745,996.00","4,652,157.50","4,473,145.50"
