"Country","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"OECD members",76.9,77.2,77.4,77.5,77.9,78.1,78.3,78.6,78.7,79,79.1,79.4,79.5,79.7,79.9,79.8,80,80,80.1,80.2
"Australia",79.2,79.6,79.9,80.2,80.5,80.8,81,81.3,81.4,81.5,81.7,81.9,82,82.1,82.3,82.4,82.4,82.5,82.7,82.9
"Austria",78.1,78.6,78.7,78.6,79.2,79.3,79.9,80.2,80.4,80.3,80.6,81,80.9,81.1,81.5,81.2,81.6,81.6,81.7,81.8
"Belgium",77.7,78,78.1,78.1,78.9,79,79.4,79.8,79.7,80,80.2,80.6,80.4,80.6,81.3,81,81.4,81.5,81.6,81.7
"Bulgaria",71.7,71.8,71.9,72.1,72.6,72.6,72.6,72.7,73,73.4,73.5,74.2,74.3,74.9,74.5,74.6,74.8,74.8,75,74.9
"Canada",79.1,79.3,79.5,79.7,79.9,80.2,80.3,80.5,80.7,81,81.2,81.4,81.6,81.7,81.8,81.9,81.9,81.9,82,82
"Chile",76.4,76.6,76.9,77.1,77.4,77.6,77.9,78.1,78.3,78.6,78.8,79,79.2,79.3,79.5,79.6,79.8,79.9,80,80.2
"Croatia",72.8,74.5,74.7,74.6,75.5,75.2,75.8,75.7,75.9,76.2,76.5,76.8,76.9,77.1,77.5,77.3,78,77.8,78.1,78.4
"Cyprus",78,78.1,78.3,78.4,78.5,78.6,78.8,78.9,79.1,79.2,79.4,79.6,79.8,80,80.2,80.4,80.5,80.7,80.8,81
"Denmark",76.6,76.8,76.9,77.1,77.5,77.8,78.1,78.2,78.4,78.6,79.1,79.8,80.1,80.3,80.7,80.7,80.9,81.1,81,81.2
"Czech Republic",75,75.2,75.2,75.2,75.7,75.9,76.5,76.7,77,77.1,77.4,77.9,78.1,78.2,78.8,78.6,79,79,79,79.1
"Estonia",70.4,70.3,70.9,71.3,71.9,72.6,72.7,72.8,73.8,74.8,75.4,76.2,76.3,77.1,77,77.6,77.6,78.1,78.2,78.5
"Finland",77.5,78,78.1,78.4,78.7,78.8,79.2,79.3,79.6,79.7,79.9,80.5,80.6,81,81.2,81.5,81.4,81.6,81.7,81.8
"France",79.1,79.2,79.3,79.1,80.2,80.2,80.8,81.1,81.2,81.4,81.7,82.1,82,82.2,82.7,82.3,82.6,82.6,82.7,82.6
"Germany",77.9,78.3,78.2,78.4,78.7,78.9,79.1,79.5,79.7,79.8,80,80.4,80.5,80.5,81.1,80.6,81,81,80.9,80.9
"Greece",77.9,78.4,78.6,78.8,79,79.2,79.4,79.4,79.9,80.2,80.4,80.7,80.6,81.3,81.4,81,81.4,81.3,81.8,81.9
"Hungary",71.2,72.2,72.3,72.3,72.6,72.6,73.1,73.2,73.7,73.9,74.2,74.9,75.1,75.6,75.8,75.6,76.1,75.8,76.1,76
