Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,82,82.4,82.6,82.8,83,83.3,83.5,83.7,83.7,83.9,84,84.2,84.3,84.3,84.4,84.5,84.6,84.6
Austria,81.2,81.7,81.7,81.5,82.1,82.2,82.8,83.1,83.3,83.2,83.5,83.8,83.6,83.8,84,83.7,84.1,84
Belgium,81,81.2,81.2,81.1,81.9,81.9,82.3,82.6,82.6,82.8,83,83.3,83.1,83.2,83.9,83.4,84,83.9
Canada,81.6,81.8,81.9,82,82.2,82.3,82.6,82.7,82.9,83,83.3,83.5,83.6,83.8,83.9,83.9,84,84
Chile,80,80,80.3,80.2,80.2,80.5,80.8,80.4,81,81.1,80.9,81.4,81.3,82.4,82.5,82.7,83.1,..
Czech Republic,78.5,78.5,78.7,78.6,79.1,79.2,79.9,80.2,80.5,80.5,80.9,81.1,81.2,81.3,82,81.6,82.1,82
Denmark,79.2,79.3,79.4,79.8,80.2,80.5,80.7,80.6,81,81.1,81.4,81.9,82.1,82.4,82.8,82.7,82.8,83.1
Estonia,76.4,76.5,77.2,77.2,78,78.2,78.6,78.9,79.5,80.3,80.8,81.3,81.5,81.7,81.9,82.2,82.2,82.6
Finland,81.2,81.7,81.6,81.9,82.5,82.5,83.1,83.1,83.3,83.5,83.5,83.8,83.7,84.1,84.1,84.4,84.4,84.5
France,83,83,83,82.8,83.9,83.9,84.5,84.8,84.8,85,85.3,85.7,85.4,85.6,86.1,85.6,85.7,85.6
Germany,81.2,81.4,81.3,81.3,81.9,82,82.4,82.7,82.7,82.8,83,83.1,83.1,83,83.6,83.1,83.5,83.4
Greece,81.3,81.9,82,82,82.2,82.5,82.7,82.5,83,83.3,83.3,83.6,83.4,84,84.1,83.7,84,83.9
Hungary,76.2,76.7,76.7,76.7,77.2,77.2,77.8,77.8,78.3,78.4,78.6,78.7,78.7,79.1,79.4,79,79.7,79.3
Iceland,81.6,83.2,82.5,82.5,83.2,83.5,82.9,83.4,83.3,83.8,84.1,84.1,84.3,83.7,84.5,83.8,84.1,84.3
Ireland,79.2,79.9,80.4,80.7,81.1,81.3,81.7,82.1,82.4,82.7,83.1,83,83.1,83.1,83.5,83.4,83.6,84
Israel,80.9,81.2,81.5,81.8,82.4,82.2,82.5,82.4,83,83.3,83.6,83.5,83.6,83.9,84.1,84.1,84.2,84.6
Italy,82.8,83.2,83.2,82.8,83.7,83.6,84.1,84.2,84.2,84.3,84.7,84.8,84.8,85.2,85.6,84.9,85.6,85.2
Japan,84.6,84.9,85.2,85.3,85.6,85.5,85.8,86,86.1,86.4,86.3,85.9,86.4,86.6,86.8,87,87.1,87.3
Korea,79.7,80.1,80.3,80.8,81.2,81.6,82.1,82.5,83,83.4,83.6,84,84.2,84.6,85,85.2,85.4,85.7
Latvia,..,..,75.8,75.7,76,76.3,76.1,76.2,77.5,77.7,78,78.8,78.9,78.9,79.4,79.5,79.6,79.7
Lithuania,77.4,77.4,77.4,77.7,77.7,77.4,77.1,77.2,77.6,78.7,78.9,79.3,79.6,79.6,80.1,79.7,80.1,80.5
Luxembourg,81.3,80.7,81.5,80.8,82.4,82.3,81.9,82.2,83.1,83.3,83.5,83.6,83.8,83.9,85.2,84.7,85.4,84.4
Mexico,76.1,76.3,76.4,76.5,76.6,76.7,76.8,76.9,76.9,76.9,77,77.2,77.3,77.4,77.5,77.7,77.8,77.9
Netherlands,80.7,80.8,80.7,81,81.5,81.7,82,82.5,82.5,82.9,83,83.1,83,83.2,83.5,83.2,83.2,83.4
New Zealand,80.8,81.1,81.3,81.5,81.7,81.9,82.2,82.3,82.5,82.6,82.7,82.9,83,83.2,83.3,83.4,83.4,83.6
Norway,81.5,81.6,81.6,82.1,82.5,82.7,82.9,82.9,83.2,83.2,83.3,83.6,83.5,83.8,84.2,84.2,84.2,84.3
Poland,78,78.4,78.8,78.8,79.2,79.3,79.7,79.8,80,80.1,80.7,81.1,81.1,81.2,81.7,81.6,82,81.8
Portugal,80.4,80.7,80.8,80.8,81.8,81.5,82.5,82.5,82.7,82.8,83.2,83.8,83.6,84,84.4,84.3,84.3,84.6
Slovak Republic,77.5,77.7,77.7,77.7,78,78.1,78.4,78.4,79,79.1,79.3,79.8,79.9,80.1,80.5,80.2,80.7,80.7
Slovenia,79.9,80.4,80.5,80.3,80.8,80.9,82,82,82.6,82.7,83.1,83.3,83.3,83.6,84.1,83.9,84.3,84
Spain,82.8,83.2,83.3,83,83.7,83.6,84.4,84.4,84.6,85,85.5,85.6,85.5,86.1,86.2,85.7,86.3,86.1
Sweden,82,82.2,82.1,82.5,82.8,82.9,83.1,83.1,83.3,83.5,83.6,83.8,83.6,83.8,84.2,84.1,84.1,84.1
Switzerland,82.8,83.2,83.2,83.2,83.8,84,84.2,84.4,84.6,84.6,84.9,85,84.9,85,85.4,85.1,85.6,85.6
Turkey,73.1,73.5,73.9,74.4,74.8,75.2,75.6,75.9,76.2,76.5,76.8,77.1,77.2,80.7,80.7,80.7,80.7,80.8
United Kingdom,80.3,80.5,80.6,80.5,81.1,81.3,81.6,81.8,81.8,82.4,82.6,83,82.8,82.9,83.2,82.8,83,83.1
United States,79.3,79.5,79.6,79.7,80.1,80.1,80.3,80.6,80.6,80.9,81,81.1,81.2,81.2,81.3,81.1,81.1,81.1
