,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,80.3,80.8,80.3,79.7,77.6,76.5,76.8,76.8,78.3,77.3,77.3,77.6,76.1,81.8,79.5,78.4,81.3,79.9,80,79.6
Austria,92.2,89.5,90.6,89.2,88.8,88.3,90.8,90.7,91.4,90.1,89.1,90.8,93.6,95.6,95.5,97.3,100.3,99.9,100.1,99.2
Belgium,107.4,106,106.1,103.3,101.8,99.9,100.5,99.8,99.7,97.6,99,98.5,99.8,101.8,102.5,103.5,106.7,106.1,105.8,105.7
Canada,82.4,81.9,80.1,79.2,77.8,79.2,79.4,78.4,77.5,75.1,74.1,74.9,74.1,76,77.2,73.8,76.1,76.9,76.6,75.2
Chile,29.9,30.2,29.6,28.9,29.5,30.5,35.8,37.1,35,33.8,33.8,36.1,37.4,37.9,37.9,37,38,38.7,38.1,39.2
Czech Republic,44.4,48,47.5,49.1,49.7,49.2,51,53.5,54.2,53.3,51.7,52.7,52.7,54.6,55.6,57,58.3,60,60.5,61.5
Denmark,93.3,91,91.3,88.7,90.7,88.8,91.1,91.3,93.5,92.1,97,97.4,98.1,100.4,101,101.3,104.6,107.9,108.7,109.7
Estonia,29.4,30.6,32.8,34.1,35.6,37.2,39.5,43.4,44.1,45.7,47.8,48.6,50.1,51.5,52.6,50.9,53.7,54.5,57.4,59.4
Finland,90,89,87.2,84.5,85.9,83.5,85.1,88.5,89.8,85.5,85.2,87,85.2,86.1,85.4,85.8,89.3,91.5,90.4,89.7
France,98.1,99.5,101.3,95.7,92.8,92.6,95.3,94.1,93.8,91.3,91.1,92.3,91.2,94.9,94.5,94.4,97.4,98.3,98.1,100.1
Germany,94,94.7,94.5,93.5,92.8,90.2,90.9,91.1,91.3,87.7,87.7,90.9,90.9,92.6,93.8,93.1,97.5,98.7,97.9,96.3
Greece,59.7,61.6,62.6,62.3,62,57.3,60.8,59.8,60.7,58.6,55,51.2,49.9,50.7,49.6,49.8,48.6,49.1,48.3,48.3
Hungary,37.5,40.5,42.9,43.2,43.4,44.1,45.6,46.5,49.8,49.6,50.2,52.3,51.3,52.3,50.5,50.6,49.6,50.2,51.6,53
Iceland,76.9,78,79.8,78,81.4,80.2,80.2,80.2,82.8,88.1,82.1,81.5,81.5,83.1,83.5,86.3,89.2,89.3,90.6,93.8
Ireland,86.3,88.2,92.3,91.2,91.6,88.2,91.1,92.1,87.9,88.6,98.2,101.4,103.1,101.6,103.2,132.1,132.5,137.7,140.3,142
