"Country","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Australia",80.43,81.02,80.54,79.97,77.8,76.68,76.91,76.85,78,77.23,77.03,77.28,75.82,81.47,79.24,78.36,81.33,79.91,80.9,82.52,83.86
"Austria",92.13,89.49,90.64,89.29,88.87,88.28,90.96,90.71,91.04,89.81,88.65,90.47,93.25,95.29,95.37,97.42,100.58,100.2,100.24,98.26,99.92
"Belgium",107.38,105.91,106.15,103.45,101.87,99.88,100.64,99.79,99.27,97.36,98.52,98.09,99.47,101.4,102.33,103.7,106.97,106.42,105.79,105.39,109.19
"Canada",82.39,81.91,80.16,79.21,77.84,79.15,79.4,78.29,77.23,74.94,73.75,74.67,73.79,75.7,77.05,73.94,76.15,76.95,75.7,72.83,75.86
"Chile",29.86,30.12,29.57,28.94,29.53,30.47,35.82,37.01,34.84,33.76,33.7,35.89,37.2,37.68,37.76,36.91,38.02,38.66,39.68,38.39,43.68
"Colombia",18.24,17.91,17.05,16.57,17.08,17.03,17.94,18.43,18.23,17.22,16.85,17.42,17.34,17.87,18.13,17.66,18.54,18.84,20.13,20.82,25.68
"Costa Rica",23.07,22.42,21.96,21.57,21.53,20.7,21.3,21.28,21.68,21.61,23.51,24.65,24.24,25.82,27.07,28.54,30.94,31.86,33.28,34.02,38.92
"Czech Republic",44.39,48,47.54,49.17,49.7,49.24,51.07,53.51,54,53.17,51.51,52.54,52.53,54.37,55.53,57.05,58.39,60.19,60.68,61.52,61.55
"Denmark",93.28,90.95,91.32,88.77,90.73,88.74,91.2,91.24,93.16,91.81,96.56,97.08,97.77,100.06,100.79,101.41,104.79,108.18,109.21,108.14,110.39
"Estonia",29.39,30.53,32.84,34.16,35.66,37.26,39.62,43.43,43.87,45.28,47.22,48.01,49.58,50.99,52.19,50.61,53.36,54.6,57.6,58.42,59.68
"Euro area (19 countries)",85.51,85.4,85.4,82.93,81.37,79.73,81.81,81.84,82.15,80.05,79.76,81.4,81.77,83.78,83.71,84.13,86.99,87.84,87.08,86.23,87.08
"European Union <U+0096> 27 countries (from 01/02/2020)",83.99,84.12,84.24,82.4,81.04,79.67,79.56,79.4,78.69,74.74,75.19,75.9,75.63,75.57,74.93,75.79,75.71,75.88,74.87,74.65,73.48
"Finland",89.95,88.92,87.25,84.6,85.98,83.47,85.22,88.46,89.44,85.22,84.8,86.63,84.85,85.78,85.25,85.94,89.54,91.76,90.37,88.09,87.58
"France",98.07,99.5,101.4,95.77,92.86,92.55,95.38,94.11,93.46,91.08,90.64,91.93,90.92,94.54,94.36,94.6,97.58,98.62,98.33,99.54,100.2
"G7",91.01,90.88,90.83,89.7,89.1,88.34,88.82,88.43,88.29,86.51,86.41,87.19,87.28,88.39,88.24,88.54,89.33,89.49,89.18,88.82,89.52
"Germany",93.95,94.7,94.54,93.66,92.86,90.19,91.03,91.11,90.92,87.46,87.35,90.54,90.59,92.28,93.6,93.23,97.72,99.17,98.91,96.48,96.51
"Greece",60.25,62.2,63.27,62.94,62.58,57.84,61.42,60.34,61.02,59,54.82,51,49.12,49.9,49.14,50.14,48.8,49.38,46.67,47.15,46.99
"Hungary",37.47,40.51,42.95,43.25,43.46,44.22,45.73,46.54,49.63,49.55,50.04,52.15,51.25,52.24,50.56,50.75,49.8,50.37,51.88,52.62,53.98
"Iceland",77.72,78.84,80.77,79,82.39,81.07,81.24,81.03,82.47,87.9,81.77,81.24,81.21,82.83,83.39,86.41,89.41,89.57,89.3,91.54,88.59
