Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
European Union - 28 countries (2013-2020),,,20,20.8,21.9,22.4,22.9,23.5,24.2,25.1,25.9,26.8,27.7,28.6,29.3,30.1,30.7,31.5,32.3
Belgium,27.1,27.6,28.1,29,30.4,31,31.8,32.1,32.3,33.4,35,34.6,35.3,35.5,36.9,36.9,37.5,40.3,40.6
Bulgaria,18.2,21.3,21.2,21.3,21.7,21.6,21.9,22.4,22.8,23,23.3,23.6,24,25.6,27,27.5,27.7,27.8,28.2
Czechia,11.5,11.7,11.9,12,12.3,13.1,13.5,13.7,14.5,15.5,16.8,18.2,19.3,20.5,21.5,22.2,23,23.9,24.3
Denmark,26.2,28.4,29.6,31.9,32.9,33.5,34.7,30.9,31.4,32.4,33.3,33.7,34.8,35.4,36.1,37.1,38,39.1,39.7
Germany (until 1990 former territory of the FRG),23.8,23.5,22.3,24,24.9,24.6,23.9,24.3,25.4,26.4,26.7,27.7,28.2,28.6,27.1,27.6,28.3,28.6,29.1
Estonia,28.7,29.6,29.4,29.8,30.9,33.2,33.2,33.3,34.2,36.1,35.5,36.9,37.6,37.4,37.6,38.1,38.9,39.7,41.2
Ireland,22,23.9,25.2,26.7,28.2,29.6,31.8,34.3,35.9,37.1,38.7,39.2,40.8,42.6,43.3,44.5,45.1,46.5,46.9
Greece,17,17.4,18.1,18.6,20.6,20.7,21.6,22.1,22.8,22.9,24,25.4,26.1,27.4,28.1,29.1,30.2,31,31.7
Spain,22.7,23.7,24.9,25.6,26.7,28.5,28.8,29.3,29.5,30,31,31.9,32.6,33.7,34.7,35.1,35.7,36.4,37.3
France,21.6,22.6,23.5,23.9,24.5,25.4,26.1,26.6,27.1,28.4,28.9,29.7,30.7,32.1,33.2,34.1,34.6,35.2,36.9
Croatia,,,15.9,15.9,15.8,16,16.2,15.8,16.2,17.2,18.6,18,18.5,19.8,21.3,22.7,23,23.7,25.4
Italy,9.7,9.8,10.2,10.7,11.6,12.3,12.9,13.5,14.3,14.5,14.8,15,15.8,16.4,16.9,17.6,17.7,18.7,19.3
Cyprus,25.1,26.8,29.1,29.5,29.4,28.8,30.5,33.1,34.5,34.1,35.7,37.7,39.3,39.3,40.3,40.5,41.9,42.5,44.1
Latvia,18.2,17.8,18.9,17.9,19.8,20.3,20.9,22.2,24.8,25.8,26.9,27.7,29.2,31,30.2,31.6,33.4,33.9,33.9
Lithuania,42.4,22.2,21.9,23.2,25.6,26.5,26.1,28.2,30.2,30.8,32.4,33.5,34.1,35.2,36.7,38.7,39.7,40.3,41.7
Luxembourg,18.3,18.1,18.6,14.3,23.7,26.5,24,26.5,27.7,34.8,35.5,37,39.1,40.7,45.9,41.1,42.6,39.9,44.1
Hungary,14.1,14,14.2,15.4,16.7,17.1,17.7,18.1,19.3,19.8,20,21,22.1,22.6,23.4,24.2,23.7,24.1,25.1
Malta,5.4,9.5,8.8,9.2,11.2,11.5,11.9,12.4,13.3,13.9,14.9,16.2,17.8,19.6,21.2,21.6,22.1,23.9,26.8
Netherlands,24,24.1,25,27.5,29.5,28,28.5,29.3,30.2,30.8,32,32.1,33,33.9,34.4,35.3,36,37.2,38.3
Austria,14.1,14.8,15.7,15.7,18,17.7,17.5,17.3,17.9,18.9,19.1,19.2,19.8,20.6,29.9,30.6,31.4,32.4,32.7
Poland,11.4,11.8,12.5,14.1,15.6,16.8,17.9,18.7,19.6,21.2,22.5,23.3,24.5,25.8,27,27.7,28.7,29.9,30.9
Portugal,8.8,9.2,9.4,10.9,12.4,12.8,13.4,13.6,14.2,14.6,15.5,17.2,18.5,19.3,21.7,22.9,23.9,24,25
Romania,9.3,9.8,9.8,9.6,10.6,11.1,11.7,12,12.8,13.2,13.6,14.6,15.3,15.6,15.9,17.2,17.4,17.6,17.8
Slovenia,15.9,14.4,15.3,17.7,19,20.2,21.4,22.2,22.6,23.3,23.7,25.1,26.4,27.9,28.6,30.2,30.7,32.5,32.5
Slovakia,10.3,10.9,10.9,11.8,12.8,14,14.5,14.4,14.8,15.8,17.3,18.6,19,19.9,20.4,21.1,22,23.1,24.6
Finland,32.3,32.3,32.4,33.2,34.2,34.6,35.1,36.4,36.6,37.3,38.1,39.3,39.7,40.5,41.8,42.7,43.1,43.7,44.5
Sweden,29.7,25.5,26.4,27.2,28.1,29.6,30.5,31.3,32,33.1,33.9,34.8,35.7,37,38.7,39.8,41.1,41.9,43.2
United Kingdom,28.5,28.7,29.8,28.3,29.4,29.8,30.8,32,32,33.4,35.1,36.9,38.6,39.6,40.6,41.6,42.3,42.7,43.2
Scotland,30.1,31.4,32.7,32.2,33.2,33.4,34.6,36.1,36.3,36.4,37.3,41.5,42.4,43.9,46.5,47.2,47.8,47.5,47.4
