Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
EU,,,34.1,32.8,31.7,30.7,30.1,29.3,28.7,28,27.3,26.6,25.8,24.8,24.1,23.5,23,22.5,21.9
Belgium,41.5,40.5,39.2,38,35.7,33.9,33.1,32,30.4,29.4,29.5,28.7,28.4,27.2,26.4,25.3,24.9,23.2,21.8
Bulgaria,32.5,29,28.4,28.8,28.3,27.5,24.5,22.6,22.5,22.1,20.9,20,19,18.2,18.9,18.1,17.7,17.2,17.4
Czechia,13.9,13.7,12.1,11.5,10.9,10.1,9.7,9.5,9.1,8.6,8.1,7.7,7.5,7.2,6.8,6.8,6.6,6.2,6.1
Denmark,21.5,19.3,18.9,19.5,18.8,19,18.4,25.7,26.2,25.2,24.4,23.1,22.1,21.7,20.4,19.6,19.3,18.7,18.4
Germany (until 1990 former territory of the FRG),18.7,17.5,17,16.5,16.1,16.9,16.8,15.6,14.7,14.5,13.9,13.4,13.4,13.3,13.1,13.2,13.5,13.5,13.4
Estonia,14.2,13.5,13,12.1,11.4,11,11.5,10.9,11.6,11.2,10.7,10.9,10,9.4,11.8,11.3,10.9,11.2,10.8
Ireland,42.4,40.8,39.7,37.8,37,34.8,33.2,31.6,29.6,28.5,26.9,26.1,25.1,22.9,19.7,18.9,18.6,17.5,16.8
Greece,48.4,47.7,45.9,44.1,40.9,39.8,40.8,39.9,38.7,38.5,37.3,35.4,34.2,32.8,31.6,29.6,28.2,27.1,26.4
Spain,61.4,59.6,57.8,56.3,54.6,51.2,50.3,49.4,48.9,48.4,47.1,46,45.3,44.5,43.4,42.6,41.7,40.9,39.9
France,37.8,36.8,35.9,34.8,34.1,33.3,32.7,31.5,30.5,29.9,29.3,28.5,27.6,25,23.3,22.5,21.9,21.6,20.6
Croatia,,,29.6,30,28.8,27.2,25.9,24.3,23.3,22.5,22.7,21.8,19.5,18.7,17.3,16.9,17.3,16.2,14.9
Italy,54.8,57,55.9,53.6,51.3,49.9,48.7,47.8,46.7,45.8,44.9,44,42.8,41.8,40.7,40.1,39.9,39.1,38.3
Cyprus,38.5,37.1,34.9,35.3,35.6,33.4,30.5,27.9,26.9,27.7,26,24.8,22.6,21.5,22.4,22.1,20.5,18.9,17.8
Latvia,16.8,20.8,17.9,17,15.7,15.6,15.9,15.4,14.1,13.2,11.4,12.1,10.9,10.6,10.5,9.9,9.3,9.6,9.3
Lithuania,15.8,15.8,15.1,13.9,13.4,12.5,12.2,11.5,9.6,8.8,8.1,7.1,6.7,6.6,6.7,6.5,5.4,5.2,5.2
Luxembourg,39.1,40.8,38.4,40.9,36.8,34.1,34.5,34.3,32.1,22.7,22.3,22.7,21.7,19.5,18,24,21.6,23.6,21.4
Hungary,30.6,30,28.6,25.9,24.7,23.6,22,21,20.4,19.5,18.8,18.5,18,17.5,16.9,16.8,16.6,16,15.1
Malta,81.9,80.7,81.6,80.2,76.4,74.8,73.5,73.4,72.2,69.2,67,64.5,61.9,58.8,55.9,54,51.6,48.9,46
Netherlands,33.9,33.1,32.2,30.8,29.1,30.5,29.4,28.6,28.6,28.4,27.6,27.5,26.6,24.2,24.1,23.6,22.9,21.6,21
Austria,23.8,22.5,21.7,21,20.2,19.6,19.9,20.1,19.1,18.4,17.6,17.6,17.1,17,16.1,15.4,15.5,15,14.7
Poland,20.2,19.8,19.1,17.7,16.4,15.2,14.2,13.7,12.9,12,11.5,11.1,10.4,9.9,9.5,9.2,8.7,7.9,7.6
Portugal,80.8,79.9,79.4,77.3,75.1,73.7,72.5,72.7,71.9,70.3,68.3,65.4,62.7,60.2,56.7,54.9,53.1,52,50.2
Romania,30.7,29.4,28.9,29.5,28.5,26.9,25.8,25,24.7,25.3,26.1,25.5,24.6,24.3,27.2,25,23.3,22.1,21.5
Slovenia,24.7,24.2,23,21.9,20.3,19.7,18.4,18.2,18,16.7,16.7,15.5,15,14.5,14.3,13.2,12.7,12.1,11.9
Slovakia,16.2,14.9,14,13.3,13,12.1,11.2,10.9,10.1,9.1,9,8.7,8.3,8.1,9,8.6,8.1,8.6,8.3
Finland,26.8,26.2,25,24,22.4,21.2,20.4,19.5,18.9,18,17,16.3,15.2,14.1,13.5,12.3,11.9,11.7,10.8
Sweden,22.8,19.5,18.6,17.9,17.1,16.4,21.1,20.6,20,19.3,18.8,18.4,17.6,16.8,16.3,15.7,15,14.7,14.4
United Kingdom,35.6,35.4,33.7,29.8,29.3,28.2,27.3,26.6,26.6,25.5,23.9,23.6,22.1,21.7,20.8,20.3,20.5,19.9,19.6
Scotland,33.2,32.2,31,29.1,27.1,25.4,25.1,24.3,23.8,23.7,22.5,21.4,21,20.4,19.1,19.2,20,19.5,20.5
