Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,5.47,5.11,4.85,4.45,4.31,5.67,5.32,5.2,5.34,5.8,6.22,6.22,5.87,5.76,5.46
Austria,5.52,5.67,5.29,4.92,4.19,5.39,4.9,4.63,4.94,5.42,5.71,5.82,6.11,5.58,4.92
Belgium,8.44,8.5,8.3,7.5,7.02,7.96,8.35,7.19,7.6,8.5,8.6,8.56,7.89,7.15,6
Canada,7.25,6.82,6.36,6.09,6.22,8.44,8.15,7.59,7.38,7.17,7.02,7,7.1,6.39,5.9
Chile,10.42,9.59,9.23,8.66,9.47,11.57,8.42,7.38,6.69,6.19,6.62,6.46,6.8,7.01,7.35
Czech Republic,8.36,7.98,7.19,5.37,4.44,6.75,7.37,6.8,7.04,7.05,6.19,5.13,4.03,2.94,2.28
Denmark,5.58,4.9,3.95,3.83,3.48,6.1,7.58,7.71,7.69,7.15,6.75,6.31,6.34,5.88,4.95
Estonia,10.37,8.22,6.05,4.73,5.56,13.81,17.07,12.57,10.19,8.82,7.5,6.27,6.94,5.92,5.42
Finland,8.86,8.44,7.72,6.91,6.39,8.33,8.52,7.86,7.76,8.29,8.73,9.51,8.95,8.78,7.47
France,8.51,8.53,8.47,7.69,7.09,8.76,8.91,8.86,9.47,9.97,10,10.12,9.84,9.16,8.82
Germany,10.39,11.28,10.42,8.75,7.61,7.83,7.16,5.91,5.46,5.33,5.08,4.72,4.21,3.83,3.46
Greece,10.75,10.14,9.15,8.53,7.88,9.77,12.91,18.11,24.69,27.7,26.7,25.12,23.7,21.65,19.45
Hungary,6.12,7.25,7.54,7.45,7.87,10.09,11.25,11.12,11.07,10.24,7.77,6.85,5.15,4.19,3.75
Iceland,3.12,2.67,3.02,2.32,3.04,7.43,7.72,7.18,6.15,5.5,5.12,4.16,3.12,2.91,2.8
Ireland,4.88,5.09,4.98,5.21,6.22,13.09,14.87,15.6,16.14,14.91,12.71,10.58,9.27,7.03,6.18
Israel,13.05,11.45,10.77,9.42,7.77,9.62,8.59,7.23,6.96,6.32,5.99,5.34,4.89,4.29,4.09
Italy,8.09,7.83,6.86,6.16,6.81,7.85,8.48,8.48,10.81,12.33,12.9,12.1,11.89,11.43,10.82
Japan,4.91,4.62,4.29,4.05,4.16,5.27,5.3,4.75,4.56,4.25,3.77,3.52,3.27,2.95,2.57
Korea,3.82,3.92,3.65,3.41,3.32,3.81,3.79,3.48,3.29,3.22,3.61,3.69,3.8,3.77,3.93
Latvia,11.95,10.16,7.21,6.19,8.03,17.96,19.81,16.5,15.34,12.11,11.1,10.08,9.9,8.91,7.59
Lithuania,10.97,8.43,5.85,4.33,5.89,14,18.07,15.67,13.64,11.98,10.9,9.32,8.06,7.3,6.33
Luxembourg,5.12,4.5,4.74,4.07,5.06,5.16,4.4,4.93,5.19,5.91,5.89,6.71,6.31,5.52,5.61
Mexico,3.78,3.68,3.68,3.76,4.03,5.56,5.51,5.37,5.09,5.1,5,4.5,4.04,3.57,3.43
Netherlands,5.68,5.9,5.03,4.2,3.67,4.39,5.03,5.01,5.87,7.31,7.47,6.92,6.06,4.86,3.83
New Zealand,4.09,3.87,3.91,3.75,4.27,6.3,6.74,6.71,7.2,6.51,5.99,6.01,5.35,4.94,4.48
Norway,4.45,4.67,3.46,2.56,2.65,3.21,3.69,3.34,3.3,3.59,3.61,4.51,4.89,4.33,3.97
Poland,19.29,18.03,14.03,9.72,7.2,8.27,9.75,9.76,10.21,10.46,9.11,7.6,6.24,4.97,3.91
Portugal,7.02,8.05,8.13,8.46,8.02,10,11.41,13.34,16.33,17,14.5,12.94,11.5,9.18,7.26
Slovak Republic,18.17,16.2,13.34,11.04,9.6,12.09,14.41,13.66,13.99,14.26,13.22,11.54,9.7,8.2,6.61
Slovenia,6.45,6.67,6.1,4.95,4.46,6.01,7.41,8.34,8.99,10.28,9.9,9.11,8.1,6.67,5.2
Spain,11.01,9.19,8.5,8.28,11.31,17.96,19.98,21.52,24.93,26.22,24.56,22.18,19.75,17.33,15.35
Sweden,6.61,7.77,7.06,6.23,6.31,8.46,8.75,7.94,8.13,8.22,8.12,7.57,7.11,6.81,6.46
Switzerland,4.41,4.52,4.07,3.71,3.41,4.21,4.92,4.52,4.61,4.88,4.97,4.92,5.09,4.96,4.87
Turkey,11.13,10.91,10.47,10.51,11.21,14.33,12.13,10,9.41,9.92,10.09,10.51,11.11,11.15,11.18
United Kingdom,4.73,4.7,5.44,5.32,5.34,7.8,7.92,8.03,8.04,7.68,6.38,5.39,4.98,4.47,4.25
United States,5.6,5.14,4.69,4.67,5.85,9.38,9.77,9.07,8.16,7.49,6.25,5.37,4.93,4.41,3.94
OECD - Total,7.06,6.81,6.29,5.81,6.12,8.39,8.57,8.18,8.18,8.15,7.56,6.96,6.51,5.93,5.46
European Union 28,9.26,9.05,8.31,7.25,7.04,9.06,9.69,9.73,10.59,11,10.36,9.51,8.66,7.72,6.94
Scotland,5.4,5.3,5.2,4.7,4.9,7,7.8,8.3,8.1,7.9,6.3,5.9,4.9,4.1,4.3
