Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
EU,19.2,21.2,22.8,24.8,26.9,28.6,29,27.6,26.9,25.5,21,20.5,21.9,21.9,20.7,20.2,19.4,:,:,:
Belgium,19.2,23.1,27.7,30.3,33.6,34,29,28.6,35.1,28,25.5,29.7,28.8,30.6,29.4,29.5,19.5,21.2,27,27.9
Bulgaria,27.4,28.1,29.7,41.7,43.6,56.2,55.6,56.6,47.9,33,25.3,31.4,36.6,37.7,46.4,43.7,53.5,59.9,48.5,:
Czechia,18,22.1,24.6,31.8,36.8,43.1,46.4,41.7,39.2,34.5,24.4,26.9,38.7,43.2,38.8,41.9,39.6,40.3,35,34.1
Denmark,13.9,16.8,15.5,14.4,17.7,19.3,19.7,21.4,19.5,16.5,11.8,9.1,9.4,9.7,7,12.5,6.6,8.6,6.9,8.9
Germany (until 1990 former territory of the FRG),7.5,8.2,8,7.9,8.7,8.4,9.1,10,10.8,11.4,11.1,13,14.4,15,9.3,8,7,6.2,7.8,7
Estonia,24.7,22.6,23.1,22.6,27.4,31.8,34.5,43.6,59.1,51.9,26.1,20.2,27.7,31.4,47.9,41.7,:,43.7,46,43.4
Ireland,21.4,20.7,21.9,26.9,32.1,35.4,40,39.2,36.5,32.6,18.7,13.5,13.2,11.8,12.4,12.4,11.4,8.8,10.2,11.2
Greece,50.4,55.4,56,58.9,61.8,72.2,65.8,56.6,39.1,31.4,26.2,26.6,31.7,33,34.1,31,30,35,37.1,39.8
Spain,49.7,54.5,60,67.3,68.6,74,72.5,64,61.3,55.2,39.4,28.7,29.1,29.2,32.2,34.1,29.5,30.3,34.3,38.4
France,26,28.1,32.2,33.4,33.2,32.8,33.4,30.1,30.1,31.4,24.6,26.5,29.8,26.7,26.5,23.6,25.1,24.4,26.1,31.3
Croatia,31.7,42.6,52.3,59.7,63,72.6,64,58.4,52.5,41.2,42.2,44.9,42.7,48.5,54.3,47.3,51.4,:,:,:
Italy,49.5,52,57,60.4,65.7,63.5,56.3,48.6,45.3,39.8,34.3,31.4,32.8,36.7,35.9,35.3,35,35.4,39.3,41.4
Cyprus,28.2,39.8,41.9,51.8,53.3,55.3,47.3,31.4,25.2,17.4,10.8,12.6,15.8,22.9,13.5,14.2,13.3,13.9,26.3,:
Latvia,:,23,19.3,27.9,33.3,35.7,59.3,58.5,63,58,30.3,19.4,26.9,28.8,31.9,:,35.1,:,35.5,30.7
Lithuania,11.9,16.3,17.7,32,33.5,28,:,51.4,60.4,53.5,:,:,:,:,39.7,54,:,45.3,35.7,30.3
Luxembourg,28.9,23.5,31.3,24,26.2,22.4,22.3,:,20,22.5,21.6,26.2,34.4,:,28.4,:,:,:,:,:
Hungary,22.7,24,26.3,32.6,38.4,52.4,51.7,43.2,45.5,49.7,37.7,35.7,37.5,37.7,33.3,34.3,22.9,19.2,23,23.5
Malta,18.7,21.1,19.5,22.4,22.5,26,29.1,25.1,27.8,28.4,26.4,26.2,30.9,31.7,33.5,30.5,28.8,33.2,23.9,:
Netherlands,9.1,11.4,14.1,14.5,15.8,16.2,15.1,13,13.3,12,10.7,12.3,12.5,13.7,10.8,8.6,6.8,6.4,7.8,12
Austria,11.4,12.5,14.1,11.5,11.4,11.9,10.5,10.7,11.1,12.6,11.5,12,12.7,14.2,14.9,7.9,7.3,6.7,6.8,6.8
Poland,19.7,23,32.2,32.9,35.9,37,37.7,33.5,30.5,27.4,20.1,22.2,30.8,35.7,37.8,41.4,45.9,47,39.2,41.5
Portugal,32.8,35.7,38.2,45.7,49,53.2,56.4,49.3,34.4,27.5,24.3,24,25.8,21.7,19.5,19.6,14.1,11.5,10.8,9.2
Romania,26.6,27,30.7,29.4,34.2,31.5,31.1,30.7,27.1,32.7,29.6,27.3,28.9,25.3,30.4,26.9,25.3,18.4,22.5,22.8
Slovenia,9.2,13.4,12.9,15,17,14.9,19.4,15,15.3,14.8,9.9,9.8,15.2,16.5,14.6,20.5,18.3,22.4,24.9,28.2
Slovakia,36.4,45.4,45,53.1,56.3,62.4,62.7,67.2,61.6,53.3,42.2,45.7,55.6,62.6,57.4,60.2,58.5,64.6,64.7,54
Finland,25.4,29,30.4,30.9,29.4,29.6,29.4,29.6,31.6,31.6,26.6,25.7,27.6,29.5,42.1,41.6,43.3,39.1,42.8,41.4
Sweden,28.6,29.7,32.2,32.6,36,36.6,36.3,34.4,35.8,35.7,31.9,29.7,30.7,33.4,26.7,20.5,21,17.9,10.1,21.1
United Kingdom,17.7,19.8,20.5,23.2,26.3,29.7,30.5,31.3,29,26.7,21.6,21.2,20.1,18,15.3,15.8,14.5,13.5,15.8,15.6
Scotland,12.8,17.6,18.7,24,23.5,28.5,26.9,30.8,29,23.8,17.3,18.9,19.5,18.7,17.9,21.6,18.5,17.9,20.3,17.1
Iceland,8.7,10,7.8,12.3,13.5,14.2,16.1,17.1,19,17.9,11.8,10.1,12.4,8.8,15.1,14.9,:,:,:,:
Norway,14.8,15.2,16.3,13.5,10.1,12.2,10.6,11.4,12.2,11.9,11.9,10.6,11.7,16.2,16.9,17.7,20.4,18.1,16.6,18.3
Switzerland,8.7,8.5,9.5,9.1,8.3,9,7.7,8.1,7.7,8.3,7.1,7,7.9,8.9,7.4,7.2,6,8.2,6.8,6.6
