"NAME","Year","Value"
"Aberdeen City","2005",8.9
"Aberdeenshire","2005",11.1
"Angus","2005",9.7
"Argyll and Bute","2005",5.2
"City of Edinburgh","2005",7.7
"Clackmannanshire","2005",12.4
"Dumfries and Galloway","2005",8.8
"Dundee City","2005",7.4
"East Ayrshire","2005",6.8
"East Dunbartonshire","2005",6.1
"East Lothian","2005",15.5
"East Renfrewshire","2005",6.6
"Falkirk","2005",24.5
"Fife","2005",11.9
"Glasgow City","2005",7.2
"Highland","2005",7.6
"Inverclyde","2005",6.4
"Midlothian","2005",7.1
"Moray","2005",9.2
"Na h-Eileanan Siar","2005",25.5
"North Ayrshire","2005",10.6
"North Lanarkshire","2005",8
"Orkney Islands","2005",17.7
"Perth and Kinross","2005",10.9
"Renfrewshire","2005",7.9
"Scottish Borders","2005",10.3
"Shetland Islands","2005",27.9
"South Ayrshire","2005",6.8
"South Lanarkshire","2005",7.9
"Stirling","2005",10.9
"West Dunbartonshire","2005",6.5
"West Lothian","2005",8.9
"Scotland","2005",9.3
"Aberdeen City","2006",8.8
"Aberdeenshire","2006",11.6
"Angus","2006",9.7
"Argyll and Bute","2006",4.7
"City of Edinburgh","2006",7.7
"Clackmannanshire","2006",12.4
"Dumfries and Galloway","2006",8.1
"Dundee City","2006",7.4
"East Ayrshire","2006",6.6
"East Dunbartonshire","2006",6.1
"East Lothian","2006",16.1
"East Renfrewshire","2006",6.4
"Falkirk","2006",22.9
"Fife","2006",12.5
"Glasgow City","2006",7.2
"Highland","2006",6.8
"Inverclyde","2006",6.5
"Midlothian","2006",7.4
"Moray","2006",9.6
"Na h-Eileanan Siar","2006",25.4
"North Ayrshire","2006",10.5
"North Lanarkshire","2006",8
"Orkney Islands","2006",17.6
"Perth and Kinross","2006",10.7
"Renfrewshire","2006",8
"Scottish Borders","2006",10.1
"Shetland Islands","2006",27.8
"South Ayrshire","2006",7
"South Lanarkshire","2006",8
"Stirling","2006",10.8
"West Dunbartonshire","2006",6.7
"West Lothian","2006",8.8
"Scotland","2006",9.3
"Aberdeen City","2007",8.4
"Aberdeenshire","2007",11.3
"Angus","2007",9.5
"Argyll and Bute","2007",4.7
"City of Edinburgh","2007",7.6
"Clackmannanshire","2007",13.4
"Dumfries and Galloway","2007",8.6
"Dundee City","2007",7.3
"East Ayrshire","2007",6.5
"East Dunbartonshire","2007",6.2
"East Lothian","2007",15.4
"East Renfrewshire","2007",6.1
"Falkirk","2007",21.8
"Fife","2007",12.5
"Glasgow City","2007",7
"Highland","2007",6.8
"Inverclyde","2007",6.2
"Midlothian","2007",6.9
"Moray","2007",9.4
"Na h-Eileanan Siar","2007",24.9
"North Ayrshire","2007",10.2
"North Lanarkshire","2007",7.8
"Orkney Islands","2007",17.5
"Perth and Kinross","2007",10.6
"Renfrewshire","2007",7.8
"Scottish Borders","2007",10
"Shetland Islands","2007",27.3
"South Ayrshire","2007",7
"South Lanarkshire","2007",7.7
"Stirling","2007",10.7
"West Dunbartonshire","2007",6.5
"West Lothian","2007",8.5
"Scotland","2007",9.1
"Aberdeen City","2008",8.3
"Aberdeenshire","2008",10.7
"Angus","2008",9.2
"Argyll and Bute","2008",3.9
"City of Edinburgh","2008",7.5
"Clackmannanshire","2008",13.5
"Dumfries and Galloway","2008",7.3
"Dundee City","2008",7.1
"East Ayrshire","2008",6.1
"East Dunbartonshire","2008",5.9
"East Lothian","2008",14.7
"East Renfrewshire","2008",6.1
"Falkirk","2008",20.2
"Fife","2008",12.2
"Glasgow City","2008",7.1
"Highland","2008",5.8
"Inverclyde","2008",6.2
"Midlothian","2008",6.9
"Moray","2008",9
"Na h-Eileanan Siar","2008",24.4
"North Ayrshire","2008",10.1
"North Lanarkshire","2008",7.5
"Orkney Islands","2008",16.5
"Perth and Kinross","2008",9.9
"Renfrewshire","2008",7.5
"Scottish Borders","2008",9.2
"Shetland Islands","2008",26.4
"South Ayrshire","2008",6.7
"South Lanarkshire","2008",7.5
"Stirling","2008",9.9
"West Dunbartonshire","2008",6.3
"West Lothian","2008",8.3
"Scotland","2008",8.7
"Aberdeen City","2009",7.4
"Aberdeenshire","2009",9.6
"Angus","2009",8.5
"Argyll and Bute","2009",3.2
"City of Edinburgh","2009",6.8
"Clackmannanshire","2009",11.2
"Dumfries and Galloway","2009",6.5
"Dundee City","2009",6.4
"East Ayrshire","2009",5.4
"East Dunbartonshire","2009",5.3
"East Lothian","2009",11.7
"East Renfrewshire","2009",5.8
"Falkirk","2009",21.2
"Fife","2009",10.6
"Glasgow City","2009",6.1
"Highland","2009",4.7
"Inverclyde","2009",5.5
"Midlothian","2009",6.4
"Moray","2009",8
"Na h-Eileanan Siar","2009",23.7
"North Ayrshire","2009",8.6
"North Lanarkshire","2009",6.9
"Orkney Islands","2009",15.6
"Perth and Kinross","2009",9.2
"Renfrewshire","2009",6.9
"Scottish Borders","2009",8.5
"Shetland Islands","2009",25.3
"South Ayrshire","2009",6
"South Lanarkshire","2009",6.7
"Stirling","2009",9
"West Dunbartonshire","2009",5.8
"West Lothian","2009",7.5
"Scotland","2009",7.9
"Aberdeen City","2010",7.6
"Aberdeenshire","2010",9.6
"Angus","2010",8.6
"Argyll and Bute","2010",3.7
"City of Edinburgh","2010",6.9
"Clackmannanshire","2010",13.2
"Dumfries and Galloway","2010",7.5
"Dundee City","2010",6.5
"East Ayrshire","2010",5.8
"East Dunbartonshire","2010",5.6
"East Lothian","2010",11.8
"East Renfrewshire","2010",5.9
"Falkirk","2010",19.2
"Fife","2010",11.9
"Glasgow City","2010",6.4
"Highland","2010",5.7
"Inverclyde","2010",5.8
"Midlothian","2010",6.8
"Moray","2010",8.5
"Na h-Eileanan Siar","2010",23.9
"North Ayrshire","2010",8.6
"North Lanarkshire","2010",7
"Orkney Islands","2010",16
"Perth and Kinross","2010",9.3
"Renfrewshire","2010",7.2
"Scottish Borders","2010",9
"Shetland Islands","2010",25.2
"South Ayrshire","2010",6.3
"South Lanarkshire","2010",6.9
"Stirling","2010",9.6
"West Dunbartonshire","2010",6.1
"West Lothian","2010",8
"Scotland","2010",8.2
"Aberdeen City","2011",7.1
"Aberdeenshire","2011",8.6
"Angus","2011",7.9
"Argyll and Bute","2011",2.8
"City of Edinburgh","2011",6.1
"Clackmannanshire","2011",12.2
"Dumfries and Galloway","2011",6.7
"Dundee City","2011",5.8
"East Ayrshire","2011",5.2
"East Dunbartonshire","2011",5.1
"East Lothian","2011",11.7
"East Renfrewshire","2011",5.5
"Falkirk","2011",19.3
"Fife","2011",10.3
"Glasgow City","2011",5.8
"Highland","2011",4.7
"Inverclyde","2011",5.3
"Midlothian","2011",5.9
"Moray","2011",7.7
"Na h-Eileanan Siar","2011",23.2
"North Ayrshire","2011",7.7
"North Lanarkshire","2011",6.4
"Orkney Islands","2011",15.2
"Perth and Kinross","2011",8.4
"Renfrewshire","2011",6.5
"Scottish Borders","2011",8.1
"Shetland Islands","2011",24.4
"South Ayrshire","2011",5.6
"South Lanarkshire","2011",6.3
"Stirling","2011",8.5
"West Dunbartonshire","2011",5.6
"West Lothian","2011",7.2
"Scotland","2011",7.4
"Aberdeen City","2012",7.3
"Aberdeenshire","2012",8.7
"Angus","2012",8.2
"Argyll and Bute","2012",4.4
"City of Edinburgh","2012",6.4
"Clackmannanshire","2012",11.7
"Dumfries and Galloway","2012",7.6
"Dundee City","2012",6
"East Ayrshire","2012",5.5
"East Dunbartonshire","2012",5.1
"East Lothian","2012",11.7
"East Renfrewshire","2012",5.3
"Falkirk","2012",18.2
"Fife","2012",10.3
"Glasgow City","2012",6.2
"Highland","2012",5.1
"Inverclyde","2012",5.5
"Midlothian","2012",6.2
"Moray","2012",8.8
"Na h-Eileanan Siar","2012",23.4
"North Ayrshire","2012",8
"North Lanarkshire","2012",6.7
"Orkney Islands","2012",15.1
"Perth and Kinross","2012",8.6
"Renfrewshire","2012",6.8
"Scottish Borders","2012",8.5
"Shetland Islands","2012",24.3
"South Ayrshire","2012",5.9
"South Lanarkshire","2012",6.6
"Stirling","2012",8.8
"West Dunbartonshire","2012",5.6
"West Lothian","2012",7.5
"Scotland","2012",7.7
"Aberdeen City","2013",6.9
"Aberdeenshire","2013",8.4
"Angus","2013",7.9
"Argyll and Bute","2013",4.1
"City of Edinburgh","2013",6.1
"Clackmannanshire","2013",11.6
"Dumfries and Galloway","2013",7.6
"Dundee City","2013",5.8
"East Ayrshire","2013",5.3
"East Dunbartonshire","2013",5
"East Lothian","2013",11.9
"East Renfrewshire","2013",5.2
"Falkirk","2013",18.2
"Fife","2013",9.2
"Glasgow City","2013",5.9
"Highland","2013",5.5
"Inverclyde","2013",5.4
"Midlothian","2013",6.2
"Moray","2013",8.8
"Na h-Eileanan Siar","2013",23
"North Ayrshire","2013",7.8
"North Lanarkshire","2013",6.7
"Orkney Islands","2013",14.7
"Perth and Kinross","2013",8.4
"Renfrewshire","2013",6.6
"Scottish Borders","2013",8.3
"Shetland Islands","2013",23.9
"South Ayrshire","2013",5.9
"South Lanarkshire","2013",6.4
"Stirling","2013",8.5
"West Dunbartonshire","2013",5.5
"West Lothian","2013",7.2
"Scotland","2013",7.4
"Aberdeen City","2014",6.2
"Aberdeenshire","2014",7.9
"Angus","2014",7.2
"Argyll and Bute","2014",3.8
"City of Edinburgh","2014",5.2
"Clackmannanshire","2014",10.2
"Dumfries and Galloway","2014",7.1
"Dundee City","2014",5.1
"East Ayrshire","2014",4.9
"East Dunbartonshire","2014",4.5
"East Lothian","2014",11.4
"East Renfrewshire","2014",4.7
"Falkirk","2014",14.8
"Fife","2014",8.3
"Glasgow City","2014",5.1
"Highland","2014",4.2
"Inverclyde","2014",4.6
"Midlothian","2014",5.5
"Moray","2014",7.9
"Na h-Eileanan Siar","2014",22.6
"North Ayrshire","2014",7.2
"North Lanarkshire","2014",6.1
"Orkney Islands","2014",14.4
"Perth and Kinross","2014",8.1
"Renfrewshire","2014",5.6
"Scottish Borders","2014",7.7
"Shetland Islands","2014",23.5
"South Ayrshire","2014",5.2
"South Lanarkshire","2014",5.8
"Stirling","2014",7.6
"West Dunbartonshire","2014",4.8
"West Lothian","2014",6.4
"Scotland","2014",6.6
"Aberdeen City","2015",5.9
"Aberdeenshire","2015",7.4
"Angus","2015",6.9
"Argyll and Bute","2015",3.9
"City of Edinburgh","2015",5.1
"Clackmannanshire","2015",10.6
"Dumfries and Galloway","2015",7.5
"Dundee City","2015",4.9
"East Ayrshire","2015",4.8
"East Dunbartonshire","2015",4.3
"East Lothian","2015",10.1
"East Renfrewshire","2015",4.7
"Falkirk","2015",14.8
"Fife","2015",8.2
"Glasgow City","2015",4.9
"Highland","2015",6.1
"Inverclyde","2015",4.6
"Midlothian","2015",5.3
"Moray","2015",7.3
"Na h-Eileanan Siar","2015",22.2
"North Ayrshire","2015",7
"North Lanarkshire","2015",5.9
"Orkney Islands","2015",13.7
"Perth and Kinross","2015",7.4
"Renfrewshire","2015",5.7
"Scottish Borders","2015",7.2
"Shetland Islands","2015",22.9
"South Ayrshire","2015",5.2
"South Lanarkshire","2015",5.8
"Stirling","2015",7.3
"West Dunbartonshire","2015",4.7
"West Lothian","2015",6.3
"Scotland","2015",6.5
"Aberdeen City","2016",5.5
"Aberdeenshire","2016",7.1
"Angus","2016",6.5
"Argyll and Bute","2016",3.5
"City of Edinburgh","2016",4.7
"Clackmannanshire","2016",10.7
"Dumfries and Galloway","2016",6.8
"Dundee City","2016",4.6
"East Ayrshire","2016",4.5
"East Dunbartonshire","2016",4.1
"East Lothian","2016",10.8
