Local Authority,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Scotland,49874,46085,48502,50690,50403,53803,50163,48173,45202,50906,52549
Aberdeen City,187926,154186,172102,189137,161138,155217,126709,99149,92835,119181,134763
Aberdeenshire,70280,69598,71175,75674,75617,82351,83608,72515,61409,67128,82308
Angus,35062,34134,36205,36322,41768,45073,38146,41610,45110,43493,43373
Argyll and Bute,33481,28922,30662,30230,36350,36813,37849,37288,37537,43264,45134
City of Edinburgh,36988,35178,35251,38235,40843,43470,40412,45966,46590,45573,45541
Clackmannanshire,41108,39527,43696,40807,44767,51058,46671,48460,45625,49040,48956
Dumfries and Galloway,31950,33674,30367,29778,31742,37948,41360,36317,38938,40486,39249
Dundee City,30548,26845,29009,30253,34846,35143,31457,35977,36126,35020,39050
East Ayrshire,32878,32770,32623,31686,34202,37145,39344,35330,31507,38413,42107
East Dunbartonshire,29442,29766,28262,32236,33098,34780,35110,36324,31992,35603,33563
East Lothian,41195,35833,32393,34018,44223,43060,37762,42006,44388,43836,38149
East Renfrewshire,29097,23432,25661,26716,29914,36333,30538,33153,28759,34390,35755
Falkirk,54151,44439,54528,23868,-10603,48665,43685,42671,36487,44137,45842
Fife,33679,33357,34383,34077,38407,44056,43001,43409,45305,46219,44772
Glasgow City,35188,34670,33882,35622,38734,39604,41634,39909,35503,40500,40361
Highland,30394,26882,29932,32729,40426,37475,35271,35237,31932,41137,39285
Inverclyde,37686,47073,39608,34729,40134,41963,43378,42698,37963,44587,35682
Midlothian,31628,28421,31765,34984,35362,35956,34487,40505,39401,42219,39643
Moray,53240,63518,58275,58644,54584,57510,35955,41025,39403,48667,45019
Na h-Eileanan Siar,29309,21314,26158,32679,34527,36458,40224,33493,27087,37800,34863
North Ayrshire,35369,32713,35776,39093,44392,46007,43375,44348,41753,46140,46510
North Lanarkshire,43166,37525,42009,44277,44118,48267,50480,49561,43121,49717,51415
Orkney Islands,32986,25898,28895,35685,38485,40736,32884,30705,35281,48029,47877
Perth and Kinross,36587,42289,42543,44333,45962,53263,47136,48435,50179,48669,51834
Renfrewshire,40410,38829,40577,38647,39268,43864,41145,43638,41528,54969,51170
Scottish Borders,29206,30934,30702,31366,34655,37141,35584,35465,37271,44894,47529
Shetland Islands,34228,23808,31998,27981,43026,37103,38643,49053,45835,58905,54461
South Ayrshire,34434,34750,32046,36583,39446,42373,43239,43263,40098,43931,41816
South Lanarkshire,36219,35932,36718,36045,35461,43230,40284,41186,38093,42431,42943
Stirling,29709,31370,31765,32771,32157,34882,31477,40899,37322,42549,41806
West Dunbartonshire,39625,42066,41836,42989,46848,51310,48637,52394,52678,48806,58342
West Lothian,36150,29056,35508,38349,41553,41694,41631,40540,40761,45008,47836
