"NAME","Year","Value"
"Scotland","2008",49874
"Aberdeen City","2008",187926
"Aberdeenshire","2008",70280
"Angus","2008",35062
"Argyll and Bute","2008",33481
"City of Edinburgh","2008",36988
"Clackmannanshire","2008",41108
"Dumfries and Galloway","2008",31950
"Dundee City","2008",30548
"East Ayrshire","2008",32878
"East Dunbartonshire","2008",29442
"East Lothian","2008",41195
"East Renfrewshire","2008",29097
"Falkirk","2008",54151
"Fife","2008",33679
"Glasgow City","2008",35188
"Highland","2008",30394
"Inverclyde","2008",37686
"Midlothian","2008",31628
"Moray","2008",53240
"Na h-Eileanan Siar","2008",29309
"North Ayrshire","2008",35369
"North Lanarkshire","2008",43166
"Orkney Islands","2008",32986
"Perth and Kinross","2008",36587
"Renfrewshire","2008",40410
"Scottish Borders","2008",29206
"Shetland Islands","2008",34228
"South Ayrshire","2008",34434
"South Lanarkshire","2008",36219
"Stirling","2008",29709
"West Dunbartonshire","2008",39625
"West Lothian","2008",36150
"Scotland","2009",46085
"Aberdeen City","2009",154186
"Aberdeenshire","2009",69598
"Angus","2009",34134
"Argyll and Bute","2009",28922
"City of Edinburgh","2009",35178
"Clackmannanshire","2009",39527
"Dumfries and Galloway","2009",33674
"Dundee City","2009",26845
"East Ayrshire","2009",32770
"East Dunbartonshire","2009",29766
"East Lothian","2009",35833
"East Renfrewshire","2009",23432
"Falkirk","2009",44439
"Fife","2009",33357
"Glasgow City","2009",34670
"Highland","2009",26882
"Inverclyde","2009",47073
"Midlothian","2009",28421
"Moray","2009",63518
"Na h-Eileanan Siar","2009",21314
"North Ayrshire","2009",32713
"North Lanarkshire","2009",37525
"Orkney Islands","2009",25898
"Perth and Kinross","2009",42289
"Renfrewshire","2009",38829
"Scottish Borders","2009",30934
"Shetland Islands","2009",23808
"South Ayrshire","2009",34750
"South Lanarkshire","2009",35932
"Stirling","2009",31370
"West Dunbartonshire","2009",42066
"West Lothian","2009",29056
"Scotland","2010",48502
"Aberdeen City","2010",172102
"Aberdeenshire","2010",71175
"Angus","2010",36205
"Argyll and Bute","2010",30662
"City of Edinburgh","2010",35251
"Clackmannanshire","2010",43696
"Dumfries and Galloway","2010",30367
"Dundee City","2010",29009
"East Ayrshire","2010",32623
"East Dunbartonshire","2010",28262
"East Lothian","2010",32393
"East Renfrewshire","2010",25661
"Falkirk","2010",54528
"Fife","2010",34383
"Glasgow City","2010",33882
