"","NAME","Year","migration"
"1","Clackmannanshire",2002,68
"2","Clackmannanshire",2003,100
"3","Clackmannanshire",2004,551
"4","Clackmannanshire",2005,572
"5","Clackmannanshire",2006,297
"6","Clackmannanshire",2007,741
"7","Clackmannanshire",2008,397
"8","Clackmannanshire",2009,39
"9","Clackmannanshire",2010,-75
"10","Clackmannanshire",2011,-8
"11","Clackmannanshire",2012,-256
"12","Clackmannanshire",2013,-59
"13","Clackmannanshire",2014,-82
"14","Clackmannanshire",2015,142
"15","Clackmannanshire",2016,12
"16","Clackmannanshire",2017,121
"17","Clackmannanshire",2018,-31
"18","Clackmannanshire",2019,152
"19","Clackmannanshire",2020,104
"20","Dumfries and Galloway",2002,267
"21","Dumfries and Galloway",2003,528
"22","Dumfries and Galloway",2004,1183
"23","Dumfries and Galloway",2005,1191
"24","Dumfries and Galloway",2006,469
"25","Dumfries and Galloway",2007,712
"26","Dumfries and Galloway",2008,810
"27","Dumfries and Galloway",2009,304
"28","Dumfries and Galloway",2010,119
"29","Dumfries and Galloway",2011,377
"30","Dumfries and Galloway",2012,-128
"31","Dumfries and Galloway",2013,-6
"32","Dumfries and Galloway",2014,334
"33","Dumfries and Galloway",2015,330
"34","Dumfries and Galloway",2016,394
"35","Dumfries and Galloway",2017,322
"36","Dumfries and Galloway",2018,383
"37","Dumfries and Galloway",2019,728
"38","Dumfries and Galloway",2020,335
"39","East Ayrshire",2002,-147
"40","East Ayrshire",2003,28
"41","East Ayrshire",2004,367
"42","East Ayrshire",2005,36
"43","East Ayrshire",2006,91
"44","East Ayrshire",2007,325
"45","East Ayrshire",2008,549
"46","East Ayrshire",2009,383
"47","East Ayrshire",2010,30
"48","East Ayrshire",2011,30
"49","East Ayrshire",2012,-76
"50","East Ayrshire",2013,-120
"51","East Ayrshire",2014,-90
"52","East Ayrshire",2015,62
"53","East Ayrshire",2016,151
"54","East Ayrshire",2017,18
"55","East Ayrshire",2018,230
"56","East Ayrshire",2019,432
"57","East Ayrshire",2020,47
"58","East Lothian",2002,845
"59","East Lothian",2003,639
"60","East Lothian",2004,430
"61","East Lothian",2005,497
"62","East Lothian",2006,925
"63","East Lothian",2007,1559
"64","East Lothian",2008,1635
"65","East Lothian",2009,705
"66","East Lothian",2010,595
"67","East Lothian",2011,445
"68","East Lothian",2012,787
"69","East Lothian",2013,521
"70","East Lothian",2014,712
"71","East Lothian",2015,961
"72","East Lothian",2016,960
"73","East Lothian",2017,800
"74","East Lothian",2018,1151
"75","East Lothian",2019,1273
"76","East Lothian",2020,972
"77","East Renfrewshire",2002,449
"78","East Renfrewshire",2003,-83
"79","East Renfrewshire",2004,-97
"80","East Renfrewshire",2005,-17
"81","East Renfrewshire",2006,-213
"82","East Renfrewshire",2007,45
"83","East Renfrewshire",2008,-72
"84","East Renfrewshire",2009,72
"85","East Renfrewshire",2010,369
"86","East Renfrewshire",2011,270
"87","East Renfrewshire",2012,189
"88","East Renfrewshire",2013,539
"89","East Renfrewshire",2014,890
"90","East Renfrewshire",2015,627
"91","East Renfrewshire",2016,819
"92","East Renfrewshire",2017,958
"93","East Renfrewshire",2018,521
"94","East Renfrewshire",2019,371
"95","East Renfrewshire",2020,732
"96","Na h-Eileanan Siar",2002,-56
"97","Na h-Eileanan Siar",2003,84
"98","Na h-Eileanan Siar",2004,246
"99","Na h-Eileanan Siar",2005,274
"100","Na h-Eileanan Siar",2006,129
"101","Na h-Eileanan Siar",2007,73
"102","Na h-Eileanan Siar",2008,23
"103","Na h-Eileanan Siar",2009,71
"104","Na h-Eileanan Siar",2010,169
"105","Na h-Eileanan Siar",2011,23
"106","Na h-Eileanan Siar",2012,13
"107","Na h-Eileanan Siar",2013,-19
"108","Na h-Eileanan Siar",2014,-88
"109","Na h-Eileanan Siar",2015,-5
"110","Na h-Eileanan Siar",2016,-67
"111","Na h-Eileanan Siar",2017,155
"112","Na h-Eileanan Siar",2018,19
"113","Na h-Eileanan Siar",2019,50
"114","Na h-Eileanan Siar",2020,-39
"115","Falkirk",2002,844
"116","Falkirk",2003,911
"117","Falkirk",2004,1510
"118","Falkirk",2005,1642
"119","Falkirk",2006,941
"120","Falkirk",2007,935
"121","Falkirk",2008,663
"122","Falkirk",2009,565
"123","Falkirk",2010,458
"124","Falkirk",2011,1021
"125","Falkirk",2012,356
"126","Falkirk",2013,375
"127","Falkirk",2014,415
"128","Falkirk",2015,734
"129","Falkirk",2016,940
"130","Falkirk",2017,901
"131","Falkirk",2018,428
"132","Falkirk",2019,730
"133","Falkirk",2020,228
"134","Highland",2002,714
"135","Highland",2003,1658
"136","Highland",2004,2850
"137","Highland",2005,2862
"138","Highland",2006,2054
"139","Highland",2007,2677
"140","Highland",2008,2111
"141","Highland",2009,990
"142","Highland",2010,990
"143","Highland",2011,898
"144","Highland",2012,118
"145","Highland",2013,93
"146","Highland",2014,239
"147","Highland",2015,1115
"148","Highland",2016,1196
"149","Highland",2017,813
"150","Highland",2018,968
"151","Highland",2019,980
"152","Highland",2020,394
"153","Inverclyde",2002,-196
"154","Inverclyde",2003,-396
"155","Inverclyde",2004,-599
"156","Inverclyde",2005,-130
"157","Inverclyde",2006,-353
"158","Inverclyde",2007,-318
"159","Inverclyde",2008,-203
"160","Inverclyde",2009,-359
"161","Inverclyde",2010,-226
"162","Inverclyde",2011,-289
"163","Inverclyde",2012,-305
"164","Inverclyde",2013,-160
"165","Inverclyde",2014,-270
"166","Inverclyde",2015,-136
"167","Inverclyde",2016,-56
"168","Inverclyde",2017,10
"169","Inverclyde",2018,-178
"170","Inverclyde",2019,82
"171","Inverclyde",2020,-96
"172","Midlothian",2002,-159
"173","Midlothian",2003,-580
"174","Midlothian",2004,-263
"175","Midlothian",2005,-321
"176","Midlothian",2006,-261
"177","Midlothian",2007,109
"178","Midlothian",2008,427
"179","Midlothian",2009,467
"180","Midlothian",2010,237
"181","Midlothian",2011,522
"182","Midlothian",2012,559
"183","Midlothian",2013,576
"184","Midlothian",2014,1020
"185","Midlothian",2015,987
"186","Midlothian",2016,1008
"187","Midlothian",2017,1271
"188","Midlothian",2018,1087
"189","Midlothian",2019,940
"190","Midlothian",2020,628
"191","Moray",2002,28
"192","Moray",2003,540
"193","Moray",2004,980
"194","Moray",2005,693
"195","Moray",2006,458
"196","Moray",2007,525
"197","Moray",2008,330
"198","Moray",2009,404
"199","Moray",2010,-9
"200","Moray",2011,-162
"201","Moray",2012,327
"202","Moray",2013,596
"203","Moray",2014,467
"204","Moray",2015,410
"205","Moray",2016,553
"206","Moray",2017,3
"207","Moray",2018,51
"208","Moray",2019,298
"209","Moray",2020,20
"210","North Ayrshire",2002,28
"211","North Ayrshire",2003,367
"212","North Ayrshire",2004,206
"213","North Ayrshire",2005,95
"214","North Ayrshire",2006,-21
"215","North Ayrshire",2007,428
"216","North Ayrshire",2008,333
"217","North Ayrshire",2009,-117
"218","North Ayrshire",2010,-165
"219","North Ayrshire",2011,136
"220","North Ayrshire",2012,-401
"221","North Ayrshire",2013,-308
"222","North Ayrshire",2014,-137
"223","North Ayrshire",2015,60
"224","North Ayrshire",2016,65
"225","North Ayrshire",2017,352
"226","North Ayrshire",2018,54
"227","North Ayrshire",2019,94
"228","North Ayrshire",2020,142
"229","Orkney Islands",2002,58
"230","Orkney Islands",2003,142
"231","Orkney Islands",2004,261
"232","Orkney Islands",2005,135
"233","Orkney Islands",2006,200
"234","Orkney Islands",2007,143
"235","Orkney Islands",2008,95
"236","Orkney Islands",2009,88
"237","Orkney Islands",2010,163
"238","Orkney Islands",2011,99
"239","Orkney Islands",2012,106
"240","Orkney Islands",2013,80
"241","Orkney Islands",2014,67
"242","Orkney Islands",2015,100
"243","Orkney Islands",2016,223
"244","Orkney Islands",2017,204
"245","Orkney Islands",2018,253
"246","Orkney Islands",2019,145
"247","Orkney Islands",2020,167
"248","Scottish Borders",2002,846
"249","Scottish Borders",2003,1213
"250","Scottish Borders",2004,1385
"251","Scottish Borders",2005,1003
"252","Scottish Borders",2006,835
"253","Scottish Borders",2007,1492
"254","Scottish Borders",2008,1302
"255","Scottish Borders",2009,421
"256","Scottish Borders",2010,286
"257","Scottish Borders",2011,488
"258","Scottish Borders",2012,45
"259","Scottish Borders",2013,308
"260","Scottish Borders",2014,280
"261","Scottish Borders",2015,435
"262","Scottish Borders",2016,690
"263","Scottish Borders",2017,818
"264","Scottish Borders",2018,682
"265","Scottish Borders",2019,586
"266","Scottish Borders",2020,270
"267","Shetland Islands",2002,-17
"268","Shetland Islands",2003,-118
"269","Shetland Islands",2004,72
"270","Shetland Islands",2005,88
"271","Shetland Islands",2006,-112
"272","Shetland Islands",2007,46
"273","Shetland Islands",2008,26
"274","Shetland Islands",2009,203
"275","Shetland Islands",2010,155
"276","Shetland Islands",2011,59
"277","Shetland Islands",2012,-68
"278","Shetland Islands",2013,-89
"279","Shetland Islands",2014,-5
"280","Shetland Islands",2015,-36
"281","Shetland Islands",2016,-15
"282","Shetland Islands",2017,-133
"283","Shetland Islands",2018,-75
"284","Shetland Islands",2019,-88
"285","Shetland Islands",2020,-31
"286","South Ayrshire",2002,19
"287","South Ayrshire",2003,290
"288","South Ayrshire",2004,684
"289","South Ayrshire",2005,425
"290","South Ayrshire",2006,366
