"Date","LA Name","DAQI"
2012-01-01,"Aberdeen City",2
2012-01-01,"Angus",1
2012-01-01,"Clackmannanshire",1
2012-01-01,"Dumfries and Galloway",2
2012-01-01,"Dundee City",1
2012-01-01,"East Dunbartonshire",1
2012-01-01,"East Lothian",1
2012-01-01,"East Renfrewshire",3
2012-01-01,"Edinburgh, City of",3
2012-01-01,"Falkirk",1
2012-01-01,"Fife",1
2012-01-01,"Glasgow City",2
2012-01-01,"Highland",3
2012-01-01,"Inverclyde",1
2012-01-01,"Midlothian",3
2012-01-01,"North Ayrshire",2
2012-01-01,"North Lanarkshire",2
2012-01-01,"Perth and Kinross",2
2012-01-01,"Renfrewshire",1
2012-01-01,"Scottish Borders",3
2012-01-01,"Shetland Islands",3
2012-01-01,"South Ayrshire",1
2012-01-01,"South Lanarkshire",1
2012-01-01,"Stirling",1
2012-01-01,"West Dunbartonshire",1
2012-01-01,"West Lothian",1
2012-01-02,"Aberdeen City",2
2012-01-02,"Angus",1
2012-01-02,"Clackmannanshire",1
2012-01-02,"Dumfries and Galloway",2
2012-01-02,"Dundee City",2
2012-01-02,"East Dunbartonshire",1
2012-01-02,"East Lothian",1
2012-01-02,"East Renfrewshire",3
2012-01-02,"Edinburgh, City of",2
2012-01-02,"Falkirk",1
2012-01-02,"Fife",1
2012-01-02,"Glasgow City",2
2012-01-02,"Highland",3
2012-01-02,"Inverclyde",1
2012-01-02,"Midlothian",2
2012-01-02,"North Ayrshire",1
2012-01-02,"North Lanarkshire",1
2012-01-02,"Perth and Kinross",2
2012-01-02,"Renfrewshire",1
2012-01-02,"Scottish Borders",2
2012-01-02,"Shetland Islands",3
2012-01-02,"South Ayrshire",1
2012-01-02,"South Lanarkshire",1
2012-01-02,"Stirling",1
2012-01-02,"West Dunbartonshire",1
2012-01-02,"West Lothian",1
2012-01-03,"Aberdeen City",2
2012-01-03,"Angus",1
2012-01-03,"Dumfries and Galloway",3
2012-01-03,"Dundee City",2
2012-01-03,"East Dunbartonshire",1
2012-01-03,"East Lothian",1
2012-01-03,"East Renfrewshire",3
2012-01-03,"Edinburgh, City of",3
2012-01-03,"Falkirk",2
2012-01-03,"Fife",1
2012-01-03,"Glasgow City",2
2012-01-03,"Highland",3
2012-01-03,"Inverclyde",1
2012-01-03,"Midlothian",3
2012-01-03,"North Ayrshire",1
2012-01-03,"North Lanarkshire",1
2012-01-03,"Perth and Kinross",2
2012-01-03,"Renfrewshire",2
2012-01-03,"Scottish Borders",3
2012-01-03,"Shetland Islands",3
2012-01-03,"South Ayrshire",2
2012-01-03,"South Lanarkshire",2
2012-01-03,"Stirling",1
2012-01-03,"West Dunbartonshire",1
2012-01-03,"West Lothian",1
