NAME,Year,pubservsat
Aberdeen City,2012,34
Aberdeen City,2013,33
Aberdeen City,2014,30
Aberdeen City,2015,28
Aberdeen City,2016,30
Aberdeen City,2017,35
Aberdeen City,2018,43
Aberdeenshire,2012,34
Aberdeenshire,2013,34
Aberdeenshire,2014,40
Aberdeenshire,2015,37
Aberdeenshire,2016,38
Aberdeenshire,2017,35
Aberdeenshire,2018,44
Angus,2012,48
Angus,2013,50
Angus,2014,41
Angus,2015,44
Angus,2016,37
Angus,2017,32
Angus,2018,42
Argyll and Bute,2012,34
Argyll and Bute,2013,43
Argyll and Bute,2014,42
Argyll and Bute,2015,48
Argyll and Bute,2016,42
Argyll and Bute,2017,37
Argyll and Bute,2018,42
City of Edinburgh,2012,44
City of Edinburgh,2013,43
City of Edinburgh,2014,49
City of Edinburgh,2015,45
City of Edinburgh,2016,42
City of Edinburgh,2017,41
City of Edinburgh,2018,46
Clackmannanshire,2012,49
Clackmannanshire,2013,54
Clackmannanshire,2014,60
Clackmannanshire,2015,69
Clackmannanshire,2016,52
Clackmannanshire,2017,42
Clackmannanshire,2018,51
Dumfries and Galloway,2012,35
Dumfries and Galloway,2013,36
Dumfries and Galloway,2014,39
Dumfries and Galloway,2015,38
Dumfries and Galloway,2016,33
Dumfries and Galloway,2017,28
Dumfries and Galloway,2018,33
Dundee City,2012,40
Dundee City,2013,48
Dundee City,2014,50
Dundee City,2015,51
Dundee City,2016,54
Dundee City,2017,47
Dundee City,2018,48
East Ayrshire,2012,40
East Ayrshire,2013,33
East Ayrshire,2014,36
East Ayrshire,2015,39
East Ayrshire,2016,30
East Ayrshire,2017,30
East Ayrshire,2018,36
East Dunbartonshire,2012,55
East Dunbartonshire,2013,52
East Dunbartonshire,2014,57
East Dunbartonshire,2015,38
East Dunbartonshire,2016,57
East Dunbartonshire,2017,48
East Dunbartonshire,2018,47
East Lothian,2012,70
East Lothian,2013,64
East Lothian,2014,61
East Lothian,2015,63
East Lothian,2016,58
East Lothian,2017,51
East Lothian,2018,61
East Renfrewshire,2012,51
East Renfrewshire,2013,59
East Renfrewshire,2014,56
East Renfrewshire,2015,54
East Renfrewshire,2016,57
East Renfrewshire,2017,56
East Renfrewshire,2018,62
Falkirk,2012,44
Falkirk,2013,56
Falkirk,2014,62
Falkirk,2015,55
Falkirk,2016,55
Falkirk,2017,42
Falkirk,2018,44
Fife,2012,48
Fife,2013,51
Fife,2014,55
Fife,2015,47
Fife,2016,53
Fife,2017,45
Fife,2018,58
Glasgow City,2012,43
Glasgow City,2013,47
Glasgow City,2014,40
Glasgow City,2015,46
Glasgow City,2016,44
Glasgow City,2017,39
Glasgow City,2018,49
Highland,2012,39
Highland,2013,40
Highland,2014,33
Highland,2015,40
Highland,2016,39
Highland,2017,39
Highland,2018,42
