NAME,Year,broadband
Aberdeen City,2017,10
Aberdeenshire,2017,28
Angus,2017,19
Argyll and Bute,2017,31
City of Edinburgh,2017,6
Clackmannanshire,2017,9
Dumfries and Galloway,2017,24
Dundee City,2017,2
East Ayrshire,2017,9
East Dunbartonshire,2017,9
East Lothian,2017,17
East Renfrewshire,2017,9
Falkirk,2017,6
Fife,2017,8
Glasgow City,2017,4
Highland,2017,30
Inverclyde,2017,7
Midlothian,2017,16
Moray,2017,20
Na h-Eileanan Siar,2017,46
North Ayrshire,2017,12
North Lanarkshire,2017,5
Orkney Islands,2017,42
Perth and Kinross,2017,24
Renfrewshire,2017,10
Scotland,2017,13
Scottish Borders,2017,24
Shetland Islands,2017,36
South Ayrshire,2017,13
South Lanarkshire,2017,9
Stirling,2017,16
West Dunbartonshire,2017,3
West Lothian,2017,9
