"NAME","Year","depratio"
"Clackmannanshire",2001,0.5438
"Clackmannanshire",2002,0.5402
"Clackmannanshire",2003,0.5341
"Clackmannanshire",2004,0.5246
"Clackmannanshire",2005,0.521
"Clackmannanshire",2006,0.51
"Clackmannanshire",2007,0.5095
"Clackmannanshire",2008,0.5121
"Clackmannanshire",2009,0.5135
"Clackmannanshire",2010,0.519
"Clackmannanshire",2011,0.5199
"Clackmannanshire",2012,0.5363
"Clackmannanshire",2013,0.5502
"Clackmannanshire",2014,0.5619
"Clackmannanshire",2015,0.5727
"Clackmannanshire",2016,0.5828
"Clackmannanshire",2017,0.5889
"Clackmannanshire",2018,0.5966
"Clackmannanshire",2019,0.604
"Clackmannanshire",2020,0.612
"Dumfries and Galloway",2001,0.6136
"Dumfries and Galloway",2002,0.6146
"Dumfries and Galloway",2003,0.6119
"Dumfries and Galloway",2004,0.6073
"Dumfries and Galloway",2005,0.6082
"Dumfries and Galloway",2006,0.6078
"Dumfries and Galloway",2007,0.6103
"Dumfries and Galloway",2008,0.6151
"Dumfries and Galloway",2009,0.6217
"Dumfries and Galloway",2010,0.6232
"Dumfries and Galloway",2011,0.6276
"Dumfries and Galloway",2012,0.6418
"Dumfries and Galloway",2013,0.652
"Dumfries and Galloway",2014,0.6616
"Dumfries and Galloway",2015,0.6694
"Dumfries and Galloway",2016,0.68
"Dumfries and Galloway",2017,0.6896
"Dumfries and Galloway",2018,0.7007
"Dumfries and Galloway",2019,0.7101
"Dumfries and Galloway",2020,0.7207
"East Ayrshire",2001,0.562
"East Ayrshire",2002,0.5577
"East Ayrshire",2003,0.5513
"East Ayrshire",2004,0.548
"East Ayrshire",2005,0.5436
"East Ayrshire",2006,0.5399
"East Ayrshire",2007,0.5357
"East Ayrshire",2008,0.5349
"East Ayrshire",2009,0.5357
"East Ayrshire",2010,0.5379
"East Ayrshire",2011,0.5393
"East Ayrshire",2012,0.5549
"East Ayrshire",2013,0.5646
"East Ayrshire",2014,0.5707
"East Ayrshire",2015,0.5779
"East Ayrshire",2016,0.5865
"East Ayrshire",2017,0.5921
"East Ayrshire",2018,0.5996
"East Ayrshire",2019,0.6053
"East Ayrshire",2020,0.6104
"East Lothian",2001,0.6167
"East Lothian",2002,0.6078
"East Lothian",2003,0.6014
"East Lothian",2004,0.5972
"East Lothian",2005,0.5949
"East Lothian",2006,0.5935
"East Lothian",2007,0.5853
"East Lothian",2008,0.5739
"East Lothian",2009,0.5753
"East Lothian",2010,0.572
"East Lothian",2011,0.5777
"East Lothian",2012,0.5881
"East Lothian",2013,0.5953
"East Lothian",2014,0.6007
"East Lothian",2015,0.6051
"East Lothian",2016,0.6087
"East Lothian",2017,0.6146
"East Lothian",2018,0.6208
"East Lothian",2019,0.631
"East Lothian",2020,0.6347
"East Renfrewshire",2001,0.592
"East Renfrewshire",2002,0.591
"East Renfrewshire",2003,0.5931
"East Renfrewshire",2004,0.5949
"East Renfrewshire",2005,0.5944
"East Renfrewshire",2006,0.5977
"East Renfrewshire",2007,0.5958
"East Renfrewshire",2008,0.5978
"East Renfrewshire",2009,0.6024
"East Renfrewshire",2010,0.6024
"East Renfrewshire",2011,0.6066
"East Renfrewshire",2012,0.618
"East Renfrewshire",2013,0.6271
"East Renfrewshire",2014,0.6351
"East Renfrewshire",2015,0.6443
"East Renfrewshire",2016,0.6517
"East Renfrewshire",2017,0.6614
"East Renfrewshire",2018,0.6711
"East Renfrewshire",2019,0.6813
"East Renfrewshire",2020,0.6861
"Na h-Eileanan Siar",2001,0.6287
"Na h-Eileanan Siar",2002,0.6271
"Na h-Eileanan Siar",2003,0.628
"Na h-Eileanan Siar",2004,0.6199
"Na h-Eileanan Siar",2005,0.6154
"Na h-Eileanan Siar",2006,0.6116
"Na h-Eileanan Siar",2007,0.6103
"Na h-Eileanan Siar",2008,0.6153
"Na h-Eileanan Siar",2009,0.6247
"Na h-Eileanan Siar",2010,0.6195
"Na h-Eileanan Siar",2011,0.6275
