NAME,Year,eactivity
Aberdeen City,2004,79
Aberdeen City,2004,79
Aberdeen City,2005,82
Aberdeen City,2005,82
Aberdeen City,2006,83.3
Aberdeen City,2006,83.3
Aberdeen City,2007,81.4
Aberdeen City,2007,81.4
Aberdeen City,2008,81
Aberdeen City,2008,81
Aberdeen City,2009,80.6
Aberdeen City,2009,80.6
Aberdeen City,2010,83.1
Aberdeen City,2010,83.1
Aberdeen City,2011,81.2
Aberdeen City,2011,81.2
Aberdeen City,2012,82
Aberdeen City,2012,82
Aberdeen City,2013,80.4
Aberdeen City,2013,80.4
Aberdeen City,2014,78.7
Aberdeen City,2014,78.7
Aberdeen City,2015,80
Aberdeen City,2015,80
Aberdeen City,2016,75.3
Aberdeen City,2016,75.3
Aberdeen City,2017,79
Aberdeen City,2017,79
Aberdeen City,2018,79.7
Aberdeen City,2018,79.7
Aberdeenshire,2004,81.6
Aberdeenshire,2004,81.6
Aberdeenshire,2005,81.8
Aberdeenshire,2005,81.8
Aberdeenshire,2006,82.1
Aberdeenshire,2006,82.1
Aberdeenshire,2007,82.2
Aberdeenshire,2007,82.2
Aberdeenshire,2008,82.5
Aberdeenshire,2008,82.5
Aberdeenshire,2009,82.7
Aberdeenshire,2009,82.7
Aberdeenshire,2010,84.6
Aberdeenshire,2010,84.6
Aberdeenshire,2011,82.9
Aberdeenshire,2011,82.9
Aberdeenshire,2012,82.7
Aberdeenshire,2012,82.7
Aberdeenshire,2013,82
Aberdeenshire,2013,82
Aberdeenshire,2014,84.2
Aberdeenshire,2014,84.2
Aberdeenshire,2015,82.6
Aberdeenshire,2015,82.6
Aberdeenshire,2016,82.6
Aberdeenshire,2016,82.6
Aberdeenshire,2017,85.2
Aberdeenshire,2017,85.2
Aberdeenshire,2018,83.7
Aberdeenshire,2018,83.7
Angus,2004,77.4
Angus,2004,77.4
Angus,2005,79
Angus,2005,79
Angus,2006,82.1
Angus,2006,82.1
Angus,2007,81.1
Angus,2007,81.1
Angus,2008,81.3
Angus,2008,81.3
Angus,2009,79
Angus,2009,79
Angus,2010,78.7
Angus,2010,78.7
Angus,2011,77.9
Angus,2011,77.9
Angus,2012,79.3
Angus,2012,79.3
Angus,2013,79.6
Angus,2013,79.6
Angus,2014,76.7
Angus,2014,76.7
Angus,2015,78.7
Angus,2015,78.7
Angus,2016,80.8
Angus,2016,80.8
Angus,2017,79.1
Angus,2017,79.1
Angus,2018,79.2
Angus,2018,79.2
Argyll and Bute,2004,78.8
Argyll and Bute,2004,78.8
Argyll and Bute,2005,79
Argyll and Bute,2005,79
Argyll and Bute,2006,81.3
Argyll and Bute,2006,81.3
Argyll and Bute,2007,80.8
Argyll and Bute,2007,80.8
Argyll and Bute,2008,79.4
Argyll and Bute,2008,79.4
Argyll and Bute,2009,78.4
Argyll and Bute,2009,78.4
Argyll and Bute,2010,77.2
Argyll and Bute,2010,77.2
Argyll and Bute,2011,76.4
Argyll and Bute,2011,76.4
Argyll and Bute,2012,75.7
Argyll and Bute,2012,75.7
Argyll and Bute,2013,78.7
Argyll and Bute,2013,78.7
Argyll and Bute,2014,80.7
Argyll and Bute,2014,80.7
