NAME,Year,gpaygap
Aberdeen City,1997,28
Aberdeen City,1998,28.5
Aberdeen City,1999,25.2
Aberdeen City,2000,23.3
Aberdeen City,2001,23.5
Aberdeen City,2002,23.9
Aberdeen City,2003,13.8
Aberdeen City,2004,14.3
Aberdeen City,2005,16.4
Aberdeen City,2006,12.2
Aberdeen City,2007,15.3
Aberdeen City,2008,18.6
Aberdeen City,2009,15.7
Aberdeen City,2010,20.3
Aberdeen City,2011,13
Aberdeen City,2012,13.6
Aberdeen City,2013,8.4
Aberdeen City,2014,13.2
Aberdeen City,2015,14.8
Aberdeen City,2016,9.3
Aberdeen City,2017,5.8
Aberdeen City,2018,12.7
Aberdeen City,2019,12.8
Aberdeenshire,1997,21.1
Aberdeenshire,1998,26.2
Aberdeenshire,1999,17.5
Aberdeenshire,2000,23.7
Aberdeenshire,2001,27.7
Aberdeenshire,2002,22.6
Aberdeenshire,2003,11.8
Aberdeenshire,2004,6.3
Aberdeenshire,2005,7.4
Aberdeenshire,2006,22.8
Aberdeenshire,2007,27.1
Aberdeenshire,2008,19
Aberdeenshire,2009,20.2
Aberdeenshire,2010,19.6
Aberdeenshire,2011,11.4
Aberdeenshire,2012,10.3
Aberdeenshire,2013,14.3
Aberdeenshire,2014,12.2
Aberdeenshire,2015,9.5
Aberdeenshire,2016,16.6
Aberdeenshire,2017,9
Aberdeenshire,2018,-13.8
Aberdeenshire,2019,7.8
Angus,1997,11.8
Angus,1998,29.8
Angus,1999,22.4
Angus,2000,20.2
Angus,2001,15.3
Angus,2002,11.7
Angus,2003,6.6
Angus,2004,-5.3
Angus,2005,-9.7
Angus,2006,-13.9
Angus,2007,-10.7
Angus,2008,-1
Angus,2009,0.1
Angus,2010,11.1
Angus,2011,0.2
Angus,2012,3.3
Angus,2013,8
Angus,2014,2.2
Angus,2015,4.4
Angus,2016,3.2
Angus,2017,13.6
Angus,2018,-0.1
Angus,2019,-3.5
Argyll and Bute,1997,21.8
Argyll and Bute,1998,26.9
Argyll and Bute,1999,25.9
Argyll and Bute,2000,28.6
Argyll and Bute,2001,12.5
Argyll and Bute,2002,29.1
Argyll and Bute,2003,8.9
Argyll and Bute,2004,13.9
Argyll and Bute,2005,18.2
Argyll and Bute,2006,24.7
Argyll and Bute,2007,27.9
Argyll and Bute,2008,13.3
Argyll and Bute,2009,10.8
Argyll and Bute,2010,4.2
Argyll and Bute,2011,8.8
Argyll and Bute,2012,-4.8
Argyll and Bute,2013,20
Argyll and Bute,2014,18.8
Argyll and Bute,2015,11.6
Argyll and Bute,2016,23.6
Argyll and Bute,2017,9.7
Argyll and Bute,2018,11
Argyll and Bute,2019,20.4
City of Edinburgh,1997,21.9
City of Edinburgh,1998,19.4
City of Edinburgh,1999,19.7
City of Edinburgh,2000,21.1
City of Edinburgh,2001,20.7
City of Edinburgh,2002,21.1
City of Edinburgh,2003,18.6
City of Edinburgh,2004,19
City of Edinburgh,2005,14.2
City of Edinburgh,2006,10.8
City of Edinburgh,2007,13.1
City of Edinburgh,2008,8
City of Edinburgh,2009,4.6
City of Edinburgh,2010,0.8
City of Edinburgh,2011,7.8
City of Edinburgh,2012,9.3
City of Edinburgh,2013,9.9
City of Edinburgh,2014,7.5
City of Edinburgh,2015,8.4
City of Edinburgh,2016,4.8
City of Edinburgh,2017,7.7
City of Edinburgh,2018,9.7
City of Edinburgh,2019,10.7
Clackmannanshire,1998,38.4
Clackmannanshire,1999,31.5
Clackmannanshire,2003,26.9
Clackmannanshire,2004,7.8
Clackmannanshire,2006,36.5
Clackmannanshire,2007,24
Clackmannanshire,2010,33.1
Clackmannanshire,2013,17.9
Clackmannanshire,2014,20.3
Clackmannanshire,2015,18.1
Clackmannanshire,2016,30
Clackmannanshire,2017,16.3
Clackmannanshire,2018,20.4
Clackmannanshire,2019,17.4
Dumfries and Galloway,1997,17.5
Dumfries and Galloway,1998,10.8
Dumfries and Galloway,1999,23.7
Dumfries and Galloway,2000,20.5
Dumfries and Galloway,2001,12.2
Dumfries and Galloway,2002,12.5
Dumfries and Galloway,2003,2.5
Dumfries and Galloway,2004,7.8
Dumfries and Galloway,2005,-3.9
Dumfries and Galloway,2006,-3.7
Dumfries and Galloway,2007,4
Dumfries and Galloway,2008,14.6
Dumfries and Galloway,2009,2.8
Dumfries and Galloway,2010,2.1
Dumfries and Galloway,2011,-4.6
Dumfries and Galloway,2012,10.1
Dumfries and Galloway,2013,-4.8
Dumfries and Galloway,2014,-6.4
Dumfries and Galloway,2015,-9.3
Dumfries and Galloway,2016,-10.9
Dumfries and Galloway,2017,-14.5
Dumfries and Galloway,2018,-10.3
Dumfries and Galloway,2019,-5.4
Dundee City,1997,15.9
Dundee City,1998,12.6
Dundee City,1999,14.9
Dundee City,2000,16.8
Dundee City,2001,17.4
Dundee City,2002,18
Dundee City,2003,12.3
Dundee City,2004,10.6
Dundee City,2005,10.5
Dundee City,2006,11.9
Dundee City,2007,14.7
Dundee City,2008,14.4
Dundee City,2009,10.8
Dundee City,2010,10.4
Dundee City,2011,5.1
Dundee City,2012,4.1
Dundee City,2013,6.7
Dundee City,2014,11
Dundee City,2015,11.7
Dundee City,2016,5.6
Dundee City,2017,-2.8
Dundee City,2018,3.6
Dundee City,2019,2.8
East Ayrshire,1997,7.7
East Ayrshire,1998,11.8
East Ayrshire,1999,-5.4
East Ayrshire,2000,6.1
East Ayrshire,2001,10.1
East Ayrshire,2002,13.4
East Ayrshire,2003,12.1
East Ayrshire,2004,9.8
East Ayrshire,2005,-12.2
East Ayrshire,2006,-23.3
East Ayrshire,2007,-24.3
East Ayrshire,2008,-21.2
East Ayrshire,2009,-26.5
East Ayrshire,2010,-19.6
East Ayrshire,2011,-10.9
East Ayrshire,2012,-10.7
East Ayrshire,2013,-16.9
East Ayrshire,2014,0.6
East Ayrshire,2015,-3.3
East Ayrshire,2016,-4.7
East Ayrshire,2017,-5.3
East Ayrshire,2018,-16.5
East Ayrshire,2019,-3.7
East Dunbartonshire,1997,18.7
East Dunbartonshire,1998,7.2
East Dunbartonshire,1999,22.2
East Dunbartonshire,2000,19.4
East Dunbartonshire,2002,13.1
East Dunbartonshire,2003,6.2
East Dunbartonshire,2004,-3.4
East Dunbartonshire,2005,-15.1
East Dunbartonshire,2006,19.6
East Dunbartonshire,2012,2.8
East Dunbartonshire,2013,5.6
East Dunbartonshire,2014,12.1
East Dunbartonshire,2015,15.3
East Dunbartonshire,2016,33.5
East Dunbartonshire,2017,10.1
East Dunbartonshire,2018,23.6
East Lothian,1998,1.2
East Lothian,1999,-16.8
East Lothian,2002,-10.3
East Lothian,2003,-25.6
East Lothian,2004,-27
East Lothian,2005,-5.3
East Lothian,2006,-0.3
East Lothian,2007,-2
East Lothian,2009,12.3
East Lothian,2010,9.8
East Lothian,2011,3
East Lothian,2012,-10
East Lothian,2013,-14.7
East Lothian,2014,-3.2
East Lothian,2015,-3.2
East Lothian,2016,-13.7
East Lothian,2017,-3.2
East Lothian,2018,1.5
East Lothian,2019,0.6
East Renfrewshire,2004,3.3
East Renfrewshire,2005,-13.9
East Renfrewshire,2006,-15.4
East Renfrewshire,2009,-60.7
East Renfrewshire,2015,-47.5
East Renfrewshire,2017,-12.1
East Renfrewshire,2018,-11.6
East Renfrewshire,2019,-19.8
Falkirk,1997,34.2
Falkirk,1998,30.3
Falkirk,1999,27.3
Falkirk,2000,24.6
Falkirk,2001,25.4
Falkirk,2002,25
Falkirk,2003,15.1
