NAME,Year,Growth
Aberdeen City,1998,24194
Aberdeen City,1999,23287
Aberdeen City,2000,25771
Aberdeen City,2001,28179
Aberdeen City,2002,29942
Aberdeen City,2003,30300
Aberdeen City,2004,31771
Aberdeen City,2005,34202
Aberdeen City,2006,37636
Aberdeen City,2007,41516
Aberdeen City,2008,46078
Aberdeen City,2009,45848
Aberdeen City,2010,44548
Aberdeen City,2011,45864
Aberdeen City,2012,48637
Aberdeen City,2013,48341
Aberdeen City,2014,49924
Aberdeen City,2015,47063
Aberdeen City,2016,46151
Aberdeenshire,1998,14513
Aberdeenshire,1999,14008
Aberdeenshire,2000,14851
Aberdeenshire,2001,16010
Aberdeenshire,2002,16329
Aberdeenshire,2003,16489
Aberdeenshire,2004,17121
Aberdeenshire,2005,17595
Aberdeenshire,2006,19335
Aberdeenshire,2007,20888
Aberdeenshire,2008,21666
Aberdeenshire,2009,21160
Aberdeenshire,2010,21239
Aberdeenshire,2011,23174
Aberdeenshire,2012,24059
Aberdeenshire,2013,25820
Aberdeenshire,2014,27409
Aberdeenshire,2015,26836
Aberdeenshire,2016,26433
Angus,1998,11860
Angus,1999,12019
Angus,2000,12144
Angus,2001,12360
Angus,2002,12777
Angus,2003,13610
Angus,2004,14060
Angus,2005,14397
Angus,2006,15763
Angus,2007,16269
Angus,2008,15968
Angus,2009,15046
Angus,2010,16015
Angus,2011,16063
Angus,2012,15860
Angus,2013,17082
Angus,2014,17581
Angus,2015,17994
Angus,2016,18597
Argyll and Bute,1998,11594
Argyll and Bute,1999,12057
Argyll and Bute,2000,12878
Argyll and Bute,2001,12895
Argyll and Bute,2002,12802
Argyll and Bute,2003,13953
Argyll and Bute,2004,14550
Argyll and Bute,2005,15494
Argyll and Bute,2006,16604
Argyll and Bute,2007,16473
Argyll and Bute,2008,18339
Argyll and Bute,2009,18219
Argyll and Bute,2010,18481
Argyll and Bute,2011,18700
Argyll and Bute,2012,19141
Argyll and Bute,2013,19841
Argyll and Bute,2014,20432
Argyll and Bute,2015,20946
Argyll and Bute,2016,21774
City of Edinburgh,1998,20231
City of Edinburgh,1999,19950
City of Edinburgh,2000,21647
City of Edinburgh,2001,23412
City of Edinburgh,2002,25373
City of Edinburgh,2003,27720
City of Edinburgh,2004,29352
City of Edinburgh,2005,31714
City of Edinburgh,2006,32590
City of Edinburgh,2007,34471
City of Edinburgh,2008,34786
City of Edinburgh,2009,36212
City of Edinburgh,2010,34376
City of Edinburgh,2011,34422
City of Edinburgh,2012,35434
City of Edinburgh,2013,36646
City of Edinburgh,2014,37421
City of Edinburgh,2015,38220
City of Edinburgh,2016,39321
Clackmannanshire,1998,9810
Clackmannanshire,1999,9831
Clackmannanshire,2000,11648
Clackmannanshire,2001,11312
Clackmannanshire,2002,11766
Clackmannanshire,2003,12953
Clackmannanshire,2004,12865
Clackmannanshire,2005,12015
Clackmannanshire,2006,12871
Clackmannanshire,2007,13274
Clackmannanshire,2008,13456
Clackmannanshire,2009,13757
Clackmannanshire,2010,13656
Clackmannanshire,2011,13829
Clackmannanshire,2012,13339
Clackmannanshire,2013,14676
Clackmannanshire,2014,15848
Clackmannanshire,2015,17317
Clackmannanshire,2016,17846
Dumfries and Galloway,1998,10538
Dumfries and Galloway,1999,11238
Dumfries and Galloway,2000,10984
Dumfries and Galloway,2001,12501
Dumfries and Galloway,2002,12586
Dumfries and Galloway,2003,12377
Dumfries and Galloway,2004,13462
Dumfries and Galloway,2005,13598
Dumfries and Galloway,2006,14731
Dumfries and Galloway,2007,15056
Dumfries and Galloway,2008,15208
Dumfries and Galloway,2009,15498
Dumfries and Galloway,2010,15821
Dumfries and Galloway,2011,16132
