"NAME","Year","Value"
"Aberdeen City","2011",97184
"Aberdeenshire","2011",148052
"Angus","2011",62200
"Argyll and Bute","2011",46301
"City of Edinburgh","2011",189697
"Clackmannanshire","2011",30598
"Dumfries and Galloway","2011",81620
"Dundee City","2011",68368
"East Ayrshire","2011",61087
"East Dunbartonshire","2011",58998
"East Lothian","2011",53163
"East Renfrewshire","2011",45191
"Falkirk","2011",78177
"Fife","2011",214552
"Glasgow City","2011",250709
"Highland","2011",125454
"Inverclyde","2011",33937
"Midlothian","2011",43849
"Moray","2011",52334
"Na h-Eileanan Siar","2011",16509
"North Ayrshire","2011",68312
"North Lanarkshire","2011",160246
"Orkney Islands","2011",10255
"Perth and Kinross","2011",79918
"Renfrewshire","2011",82571
"Scottish Borders","2011",53822
"Shetland Islands","2011",11792
"South Ayrshire","2011",58481
"South Lanarkshire","2011",163214
"Stirling","2011",44024
"West Dunbartonshire","2011",41168
"West Lothian","2011",74976
"Aberdeen City","2012",97230
"Aberdeenshire","2012",134708
"Angus","2012",60803
"Argyll and Bute","2012",48509
"City of Edinburgh","2012",187716
"Clackmannanshire","2012",27736
"Dumfries and Galloway","2012",77709
"Dundee City","2012",70103
"East Ayrshire","2012",58793
"East Dunbartonshire","2012",55234
"East Lothian","2012",52353
"East Renfrewshire","2012",43986
"Falkirk","2012",76111
"Fife","2012",195595
"Glasgow City","2012",234209
"Highland","2012",126183
"Inverclyde","2012",33248
"Midlothian","2012",42701
"Moray","2012",49884
"Na h-Eileanan Siar","2012",14301
"North Ayrshire","2012",62735
"North Lanarkshire","2012",155837
"Orkney Islands","2012",10233
"Perth and Kinross","2012",75014
"Renfrewshire","2012",82126
"Scottish Borders","2012",52861
"Shetland Islands","2012",10859
"South Ayrshire","2012",57627
"South Lanarkshire","2012",151923
"Stirling","2012",43190
"West Dunbartonshire","2012",38944
"West Lothian","2012",72532
"Aberdeen City","2013",94117
"Aberdeenshire","2013",131809
"Angus","2013",54258
"Argyll and Bute","2013",49244
"City of Edinburgh","2013",184360
"Clackmannanshire","2013",26817
"Dumfries and Galloway","2013",75501
"Dundee City","2013",61485
"East Ayrshire","2013",58282
"East Dunbartonshire","2013",51998
"East Lothian","2013",49335
"East Renfrewshire","2013",44057
"Falkirk","2013",71950
"Fife","2013",190784
"Glasgow City","2013",227940
