NAME,Year,hlifeexp_female
Aberdeen City,1993,78.0
Aberdeen City,1994,77.9
Aberdeen City,1995,77.9
Aberdeen City,1996,78.7
Aberdeen City,1997,78.9
Aberdeen City,1998,79.3
Aberdeen City,1999,79.3
Aberdeen City,2000,79.1
Aberdeen City,2001,79.3
Aberdeen City,2002,79.6
Aberdeen City,2003,80.0
Aberdeen City,2004,80.0
Aberdeen City,2005,80.0
Aberdeen City,2006,80.1
Aberdeen City,2007,80.2
Aberdeen City,2008,80.3
Aberdeen City,2009,80.6
Aberdeen City,2010,80.8
Aberdeen City,2011,81.1
Aberdeen City,2012,81.1
Aberdeen City,2013,81.2
Aberdeen City,2014,81.0
Aberdeen City,2015,81.0
Aberdeen City,2016,80.8
Aberdeen City,2017,81.1
Aberdeenshire,1993,78.4
Aberdeenshire,1994,78.6
Aberdeenshire,1995,79.0
Aberdeenshire,1996,79.8
Aberdeenshire,1997,80.1
Aberdeenshire,1998,80.2
Aberdeenshire,1999,80.0
Aberdeenshire,2000,80.2
Aberdeenshire,2001,80.4
Aberdeenshire,2002,80.7
Aberdeenshire,2003,80.8
Aberdeenshire,2004,80.8
Aberdeenshire,2005,81.0
Aberdeenshire,2006,81.2
Aberdeenshire,2007,81.3
Aberdeenshire,2008,81.1
Aberdeenshire,2009,81.3
Aberdeenshire,2010,81.6
Aberdeenshire,2011,82.0
Aberdeenshire,2012,82.0
Aberdeenshire,2013,82.1
Aberdeenshire,2014,82.2
Aberdeenshire,2015,82.2
Aberdeenshire,2016,82.5
Aberdeenshire,2017,82.6
Angus,1993,77.7
Angus,1994,77.8
Angus,1995,78.1
Angus,1996,78.5
Angus,1997,78.7
Angus,1998,79.1
Angus,1999,78.7
Angus,2000,78.7
Angus,2001,79.0
Angus,2002,79.9
Angus,2003,80.0
Angus,2004,79.6
Angus,2005,79.6
Angus,2006,79.9
Angus,2007,80.7
Angus,2008,80.9
Angus,2009,80.9
Angus,2010,80.5
Angus,2011,80.8
Angus,2012,80.9
Angus,2013,81.4
Angus,2014,81.7
Angus,2015,81.9
Angus,2016,81.8
Angus,2017,81.6
Argyll and Bute,1993,77.6
Argyll and Bute,1994,77.9
Argyll and Bute,1995,77.9
Argyll and Bute,1996,78.3
Argyll and Bute,1997,78.5
Argyll and Bute,1998,78.3
Argyll and Bute,1999,78.8
Argyll and Bute,2000,78.6
Argyll and Bute,2001,79.2
Argyll and Bute,2002,79.0
Argyll and Bute,2003,79.7
Argyll and Bute,2004,80.0
Argyll and Bute,2005,80.7
Argyll and Bute,2006,80.5
Argyll and Bute,2007,80.0
Argyll and Bute,2008,79.8
Argyll and Bute,2009,80.3
Argyll and Bute,2010,80.8
Argyll and Bute,2011,81.2
Argyll and Bute,2012,81.1
Argyll and Bute,2013,81.5
Argyll and Bute,2014,81.9
Argyll and Bute,2015,82.2
Argyll and Bute,2016,82.5
Argyll and Bute,2017,82.2
City of Edinburgh,1993,77.9
City of Edinburgh,1994,78.0
City of Edinburgh,1995,78.4
City of Edinburgh,1996,78.4
City of Edinburgh,1997,78.7
City of Edinburgh,1998,78.7
City of Edinburgh,1999,78.9
City of Edinburgh,2000,79.0
City of Edinburgh,2001,79.3
City of Edinburgh,2002,79.6
City of Edinburgh,2003,80.1
City of Edinburgh,2004,80.4
City of Edinburgh,2005,80.5
City of Edinburgh,2006,80.7
City of Edinburgh,2007,80.8
City of Edinburgh,2008,81.0
City of Edinburgh,2009,81.1
City of Edinburgh,2010,81.4
City of Edinburgh,2011,81.5
City of Edinburgh,2012,81.8
City of Edinburgh,2013,81.9
City of Edinburgh,2014,82.1
City of Edinburgh,2015,82.2
