NAME,Year,hlifeexp_male
Aberdeen City,1993,72.6
Aberdeen City,1994,73.2
Aberdeen City,1995,73.2
Aberdeen City,1996,72.9
Aberdeen City,1997,72.8
Aberdeen City,1998,73.2
Aberdeen City,1999,73.6
Aberdeen City,2000,73.8
Aberdeen City,2001,73.7
Aberdeen City,2002,73.8
Aberdeen City,2003,74.1
Aberdeen City,2004,74.4
Aberdeen City,2005,74.9
Aberdeen City,2006,74.9
Aberdeen City,2007,75.1
Aberdeen City,2008,75.3
Aberdeen City,2009,75.6
Aberdeen City,2010,76.1
Aberdeen City,2011,76.6
Aberdeen City,2012,77.0
Aberdeen City,2013,77.0
Aberdeen City,2014,76.7
Aberdeen City,2015,76.6
Aberdeen City,2016,76.4
Aberdeen City,2017,76.9
Aberdeenshire,1993,73.8
Aberdeenshire,1994,73.9
Aberdeenshire,1995,74.3
Aberdeenshire,1996,74.9
Aberdeenshire,1997,75.1
Aberdeenshire,1998,75.1
Aberdeenshire,1999,75.0
Aberdeenshire,2000,75.2
Aberdeenshire,2001,75.5
Aberdeenshire,2002,76.0
Aberdeenshire,2003,76.1
Aberdeenshire,2004,76.3
Aberdeenshire,2005,76.7
Aberdeenshire,2006,77.0
Aberdeenshire,2007,77.5
Aberdeenshire,2008,77.5
Aberdeenshire,2009,77.9
Aberdeenshire,2010,78.0
Aberdeenshire,2011,78.4
Aberdeenshire,2012,78.8
Aberdeenshire,2013,79.1
Aberdeenshire,2014,79.3
Aberdeenshire,2015,79.2
Aberdeenshire,2016,79.2
Aberdeenshire,2017,79.1
Angus,1993,73.4
Angus,1994,73.3
Angus,1995,73.5
Angus,1996,73.5
Angus,1997,74.1
Angus,1998,74.6
Angus,1999,75.0
Angus,2000,74.7
Angus,2001,74.7
Angus,2002,74.7
Angus,2003,75.3
Angus,2004,75.8
Angus,2005,75.8
Angus,2006,76.3
Angus,2007,76.1
Angus,2008,76.9
Angus,2009,77.0
Angus,2010,77.6
Angus,2011,78.1
Angus,2012,78.2
Angus,2013,78.4
Angus,2014,78.6
Angus,2015,78.6
Angus,2016,78.5
Angus,2017,78.2
Argyll and Bute,1993,71.9
Argyll and Bute,1994,71.4
Argyll and Bute,1995,71.6
Argyll and Bute,1996,72.1
Argyll and Bute,1997,72.9
Argyll and Bute,1998,72.9
Argyll and Bute,1999,72.8
Argyll and Bute,2000,73.1
Argyll and Bute,2001,73.5
Argyll and Bute,2002,74.4
Argyll and Bute,2003,74.8
Argyll and Bute,2004,74.7
Argyll and Bute,2005,75.0
Argyll and Bute,2006,75.6
Argyll and Bute,2007,76.0
Argyll and Bute,2008,76.1
Argyll and Bute,2009,76.3
Argyll and Bute,2010,76.7
Argyll and Bute,2011,77.2
Argyll and Bute,2012,77.2
Argyll and Bute,2013,78.1
Argyll and Bute,2014,78.2
Argyll and Bute,2015,78.2
Argyll and Bute,2016,77.4
Argyll and Bute,2017,77.4
City of Edinburgh,1993,71.7
City of Edinburgh,1994,72.1
City of Edinburgh,1995,72.4
City of Edinburgh,1996,72.6
City of Edinburgh,1997,72.8
City of Edinburgh,1998,73.2
City of Edinburgh,1999,73.6
City of Edinburgh,2000,73.9
City of Edinburgh,2001,73.9
City of Edinburgh,2002,74.4
City of Edinburgh,2003,74.8
City of Edinburgh,2004,75.2
City of Edinburgh,2005,75.3
City of Edinburgh,2006,75.6
City of Edinburgh,2007,75.9
City of Edinburgh,2008,76.1
City of Edinburgh,2009,76.5
City of Edinburgh,2010,76.8
City of Edinburgh,2011,77.2
City of Edinburgh,2012,77.3
City of Edinburgh,2013,77.5
City of Edinburgh,2014,77.8
City of Edinburgh,2015,78.0
City of Edinburgh,2016,78.0
City of Edinburgh,2017,78.0
Clackmannanshire,1993,71.5
Clackmannanshire,1994,72.0
Clackmannanshire,1995,72.9
Clackmannanshire,1996,73.0
Clackmannanshire,1997,72.7
Clackmannanshire,1998,72.7
Clackmannanshire,1999,72.8
Clackmannanshire,2000,73.2
Clackmannanshire,2001,73.3
Clackmannanshire,2002,73.4
Clackmannanshire,2003,73.6
Clackmannanshire,2004,73.2
Clackmannanshire,2005,73.2
Clackmannanshire,2006,73.2
Clackmannanshire,2007,74.1
Clackmannanshire,2008,74.5
Clackmannanshire,2009,75.0
Clackmannanshire,2010,75.6
Clackmannanshire,2011,76.5
Clackmannanshire,2012,77.0
Clackmannanshire,2013,77.0
Clackmannanshire,2014,77.1
Clackmannanshire,2015,76.9
Clackmannanshire,2016,76.7
Clackmannanshire,2017,76.7
Dumfries and Galloway,1993,72.5
Dumfries and Galloway,1994,73.0
Dumfries and Galloway,1995,73.3
Dumfries and Galloway,1996,73.6
Dumfries and Galloway,1997,73.8
Dumfries and Galloway,1998,74.0
Dumfries and Galloway,1999,74.3
Dumfries and Galloway,2000,74.8
Dumfries and Galloway,2001,74.9
Dumfries and Galloway,2002,75.1
Dumfries and Galloway,2003,74.8
Dumfries and Galloway,2004,75.4
Dumfries and Galloway,2005,75.7
Dumfries and Galloway,2006,76.1
Dumfries and Galloway,2007,76.2
Dumfries and Galloway,2008,76.4
Dumfries and Galloway,2009,76.8
Dumfries and Galloway,2010,76.8
Dumfries and Galloway,2011,77.3
Dumfries and Galloway,2012,77.5
Dumfries and Galloway,2013,78.0
Dumfries and Galloway,2014,78.0
Dumfries and Galloway,2015,78.1
Dumfries and Galloway,2016,77.8
Dumfries and Galloway,2017,77.9
Dundee City,1993,71.1
Dundee City,1994,70.9
Dundee City,1995,71.1
Dundee City,1996,71.3
Dundee City,1997,71.5
Dundee City,1998,71.7
Dundee City,1999,71.7
Dundee City,2000,71.8
Dundee City,2001,71.7
Dundee City,2002,72.0
Dundee City,2003,71.9
Dundee City,2004,72.4
Dundee City,2005,72.9
Dundee City,2006,73.5
Dundee City,2007,73.6
Dundee City,2008,73.5
Dundee City,2009,73.5
Dundee City,2010,73.6
Dundee City,2011,73.9
Dundee City,2012,74.3
Dundee City,2013,75.1
Dundee City,2014,75.3
Dundee City,2015,75.1
Dundee City,2016,74.5
Dundee City,2017,73.9
East Ayrshire,1993,71.5
East Ayrshire,1994,71.3
East Ayrshire,1995,71.4
