NAME,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City ,43.25,46.2,44.75,44.7,47.15,45.5,46.9,44.55
Aberdeenshire ,47.15,47.6,47.35,44.8,47.1,48.15,44.9,45.15
Angus ,49.1,44.3,45.4,46.35,43.45,46.15,48.65,41.95
Argyll and Bute ,45,45.55,46.35,47.5,48.25,46.1,49.25,46.45
Clackmannanshire ,44.85,47.4,45.95,46.4,46.65,39.75,41.4,43.9
Dumfries and Galloway ,47.6,47.7,46.15,45.65,44.7,44.7,46.95,45.25
Dundee City ,42.35,39.45,42.5,45.2,44.8,39.6,41.9,43.9
East Ayrshire ,45,46.15,45,45.05,42,44.3,45.75,46.25
East Dunbartonshire ,45.7,47.5,48.15,48.35,49,49.45,46.8,47.6
East Lothian ,47.1,48,45.3,47.85,46.25,47.95,44.7,46.75
East Renfrewshire ,48.4,50,47.5,48.75,47.4,46.6,47,47.25
"Edinburgh, City of ",47.1,46.7,46.15,46.4,47.55,48.2,42,42.5
Falkirk ,47.5,46.45,45.95,46.4,46.7,47.75,44.05,47.45
Fife ,46.3,46.65,46.25,46.2,46.1,45.8,46.95,46.8
Glasgow City ,44.75,42.2,43.15,44,45.25,44.5,44.15,43.45
Highland ,45.75,46.55,44.1,49.5,45.85,45.1,45.55,44.75
Inverclyde ,45.15,45.05,45.55,44.7,45.3,47.35,45.4,44.9
Midlothian ,45.55,44.65,48,47.8,48.95,46.3,46.8,45.7
Moray ,45.65,46.6,48.15,48.35,46.25,47.95,46.4,48.8
Na h-Eileanan Siar ,46.65,49.5,46.25,49.05,48.7,50,46.6,44.85
North Ayrshire ,43.75,42.25,42.6,45.75,46.35,47.15,47.6,43.5
North Lanarkshire ,46.65,45.45,47.3,48,46.45,45.75,45.1,45.6
Orkney Islands ,47.55,48.05,46.1,46.6,47.15,46.65,44.9,46.25
Perth and Kinross ,47.2,46.35,47.1,45.35,45.7,47.3,45.45,44.9
Renfrewshire ,45.85,41.4,45.25,39.4,43.35,43.6,46.2,48.2
Scottish Borders ,48.35,46.55,47.3,46.95,46.15,46.2,43.85,46.45
Shetland Islands ,44.5,46.3,46.95,44.65,43.5,46.55,44.05,44.35
South Ayrshire ,45.8,43.4,43.8,47.05,46.85,49.65,45.25,46.5
South Lanarkshire ,44.95,44.5,47.4,45.9,46.5,48.1,45,46.75
Stirling ,48.15,45.65,47.35,47.9,44.3,46.7,50,46.35
West Dunbartonshire ,43.6,45.55,42.2,48.15,46.5,46.35,43.75,39.45
South Lanarkshire ,45.8,43.85,46.8,47.9,48.3,42.85,44.6,44.9
