,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City ,86.5,92.4,89.5,89.4,94.3,91,93.8,89.1
Aberdeenshire ,94.3,95.2,94.7,89.6,94.2,96.3,89.8,90.3
Angus ,98.2,88.6,90.8,92.7,86.9,92.3,97.3,83.9
Argyll and Bute ,90,91.1,92.7,95,96.5,92.2,98.5,92.9
Clackmannanshire ,89.7,94.8,91.9,92.8,93.3,79.5,82.8,87.8
Dumfries and Galloway ,95.2,95.4,92.3,91.3,89.4,89.4,93.9,90.5
Dundee City ,84.7,78.9,85,90.4,89.6,79.2,83.8,87.8
East Ayrshire ,90,92.3,90,90.1,84,88.6,91.5,92.5
East Dunbartonshire ,91.4,95,96.3,96.7,98,98.9,93.6,95.2
East Lothian ,94.2,96,90.6,95.7,92.5,95.9,89.4,93.5
East Renfrewshire ,96.8,100,95,97.5,94.8,93.2,94,94.5
"Edinburgh, City of ",94.2,93.4,92.3,92.8,95.1,96.4,84,85
Falkirk ,95,92.9,91.9,92.8,93.4,95.5,88.1,94.9
Fife ,92.6,93.3,92.5,92.4,92.2,91.6,93.9,93.6
Glasgow City ,89.5,84.4,86.3,88,90.5,89,88.3,86.9
Highland ,91.5,93.1,88.2,99,91.7,90.2,91.1,89.5
Inverclyde ,90.3,90.1,91.1,89.4,90.6,94.7,90.8,89.8
Midlothian ,91.1,89.3,96,95.6,97.9,92.6,93.6,91.4
Moray ,91.3,93.2,96.3,96.7,92.5,95.9,92.8,97.6
Na h-Eileanan Siar ,93.3,99,92.5,98.1,97.4,100,93.2,89.7
North Ayrshire ,87.5,84.5,85.2,91.5,92.7,94.3,95.2,87
North Lanarkshire ,93.3,90.9,94.6,96,92.9,91.5,90.2,91.2
Orkney Islands ,95.1,96.1,92.2,93.2,94.3,93.3,89.8,92.5
Perth and Kinross ,94.4,92.7,94.2,90.7,91.4,94.6,90.9,89.8
Renfrewshire ,91.7,82.8,90.5,78.8,86.7,87.2,92.4,96.4
Scottish Borders ,96.7,93.1,94.6,93.9,92.3,92.4,87.7,92.9
Shetland Islands ,89,92.6,93.9,89.3,87,93.1,88.1,88.7
South Ayrshire ,91.6,86.8,87.6,94.1,93.7,99.3,90.5,93
South Lanarkshire ,89.9,89,94.8,91.8,93,96.2,90,93.5
Stirling ,96.3,91.3,94.7,95.8,88.6,93.4,100,92.7
West Dunbartonshire ,87.2,91.1,84.4,96.3,93,92.7,87.5,78.9
West Lothian ,91.6,87.7,93.6,95.8,96.6,85.7,89.2,89.8
