NAME,Year,Value
Aberdeen City,2018,31.8
Aberdeenshire,2018,27.7
Angus,2018,50.4
Argyll and Bute,2018,20.1
Clackmannanshire,2018,48.7
Dumfries and Galloway,2018,28.1
Dundee City,2018,48.9
East Ayrshire,2018,32.2
East Dunbartonshire,2018,33.1
East Lothian,2018,33.4
East Renfrewshire,2018,36.9
City of Edinburgh,2018,39.5
Falkirk,2018,32
Fife,2018,27.6
Glasgow City,2018,28.5
Highland,2018,44.5
Inverclyde,2018,27.3
Midlothian,2018,40.7
Moray,2018,26.2
Na h-Eileanan Siar,2018,28.7
North Ayrshire,2018,20.3
North Lanarkshire,2018,46
Orkney Islands,2018,43.3
Perth and Kinross,2018,51.7
Renfrewshire,2018,27.1
Scotland,2018,35.6
Scottish Borders,2018,37.1
Shetland Islands,2018,53.6
South Ayrshire,2018,19.6
South Lanarkshire,2018,48
Stirling,2018,52.9
West Dunbartonshire,2018,15.6
West Lothian,2018,47.6
