"Name","Year","Value"
"West Lothian",2020,13.5
"Glasgow City",2020,11.1
"North Lanarkshire",2020,15.8
"Falkirk",2020,14.9
"Aberdeen City",2020,11.7
"East Renfrewshire",2020,30.9
"East Renfrewshire",2020,30.9
"Stirling",2020,13.2
"City of Edinburgh",2020,11.3
"East Ayrshire",2020,20.2
"Argyll and Bute",2020,18.7
"East Lothian",2020,16.4
"Aberdeenshire",2020,19.8
"Inverclyde",2020,23.8
"Inverclyde",2020,23.8
"Scottish Borders",2020,24.6
"South Ayrshire",2020,14.4
"Moray",2020,21.5
"North Ayrshire",2020,16.2
"South Lanarkshire",2020,20.8
"South Lanarkshire",2020,20.8
"Highland",2020,14.9
"East Dunbartonshire",2020,27.8
"East Dunbartonshire",2020,27.8
"Fife",2020,15.3
NA,2020,15.2
"Perth and Kinross",2020,25.3
"Dumfries and Galloway",2020,22.4
"Dundee City",2020,12
"Dundee City",2020,12
"Renfrewshire",2020,21.6
"Renfrewshire",2020,21.6
"Angus",2020,25.2
"Angus",2020,25.2
"Highland",2019,18.2
"South Ayrshire",2019,21.8
NA,2019,16.8
"Fife",2019,18.9
"North Ayrshire",2019,15.6
"Scottish Borders",2019,22.5
"Moray",2019,23.9
"Midlothian",2019,15.1
"Inverclyde",2019,31.3
"Inverclyde",2019,31.3
"Perth and Kinross",2019,21.1
"Glasgow City",2019,13.6
"East Renfrewshire",2019,25.5
"East Renfrewshire",2019,25.5
"West Lothian",2019,14
"Renfrewshire",2019,22.9
"Renfrewshire",2019,22.9
"Argyll and Bute",2019,19.7
"East Ayrshire",2019,23.8
"City of Edinburgh",2019,12.6
"East Lothian",2019,16.5
"Aberdeenshire",2019,18.8
"Stirling",2019,14.2
"Dundee City",2019,13.5
"Dundee City",2019,13.5
"North Lanarkshire",2019,18.9
"West Dunbartonshire",2019,17.5
"West Dunbartonshire",2019,17.5
"Dumfries and Galloway",2019,28.7
"East Dunbartonshire",2019,25.5
"East Dunbartonshire",2019,25.5
"South Lanarkshire",2019,17.6
"South Lanarkshire",2019,17.6
"Aberdeen City",2019,11.8
"Falkirk",2019,15.1
"Angus",2019,29.7
"Angus",2019,29.7
"Dundee City",2018,18.4
"Dundee City",2018,18.4
"Clackmannanshire",2018,25.9
"Angus",2018,26.5
"Angus",2018,26.5
"City of Edinburgh",2018,15.1
"Dumfries and Galloway",2018,30.4
"Glasgow City",2018,16.1
NA,2018,19.4
"Renfrewshire",2018,25.1
"Renfrewshire",2018,25.1
"Fife",2018,20.6
