NAME,Year,migration
Aberdeen City,2002,-826
Aberdeen City,2003,-1155
Aberdeen City,2004,-1191
Aberdeen City,2005,1110
Aberdeen City,2006,1143
Aberdeen City,2007,2953
Aberdeen City,2008,1646
Aberdeen City,2009,2974
Aberdeen City,2010,2754
Aberdeen City,2011,3078
Aberdeen City,2012,1847
Aberdeen City,2013,1664
Aberdeen City,2014,1412
Aberdeen City,2015,1085
Aberdeen City,2016,-969
Aberdeen City,2017,-1416
Aberdeen City,2018,-1318
Aberdeenshire,2002,1695
Aberdeenshire,2003,2120
Aberdeenshire,2004,3230
Aberdeenshire,2005,2780
Aberdeenshire,2006,3067
Aberdeenshire,2007,2683
Aberdeenshire,2008,1881
Aberdeenshire,2009,1507
Aberdeenshire,2010,1693
Aberdeenshire,2011,1384
Aberdeenshire,2012,1386
Aberdeenshire,2013,1664
Aberdeenshire,2014,2041
Aberdeenshire,2015,986
Aberdeenshire,2016,-354
Aberdeenshire,2017,-688
Aberdeenshire,2018,-600
Angus,2002,342
Angus,2003,329
Angus,2004,1342
Angus,2005,1073
Angus,2006,954
Angus,2007,756
Angus,2008,653
Angus,2009,148
Angus,2010,355
Angus,2011,115
Angus,2012,258
Angus,2013,113
Angus,2014,645
Angus,2015,537
Angus,2016,68
Angus,2017,144
Angus,2018,198
Argyll and Bute,2002,93
Argyll and Bute,2003,435
Argyll and Bute,2004,926
Argyll and Bute,2005,437
Argyll and Bute,2006,200
Argyll and Bute,2007,378
Argyll and Bute,2008,-39
Argyll and Bute,2009,-27
Argyll and Bute,2010,291
Argyll and Bute,2011,304
Argyll and Bute,2012,-233
Argyll and Bute,2013,-23
Argyll and Bute,2014,-275
Argyll and Bute,2015,-233
Argyll and Bute,2016,234
Argyll and Bute,2017,137
Argyll and Bute,2018,-81
City of Edinburgh,2002,879
City of Edinburgh,2003,-390
City of Edinburgh,2004,2234
City of Edinburgh,2005,5317
City of Edinburgh,2006,3412
City of Edinburgh,2007,4919
City of Edinburgh,2008,3356
City of Edinburgh,2009,5861
City of Edinburgh,2010,8069
City of Edinburgh,2011,8044
City of Edinburgh,2012,3966
City of Edinburgh,2013,2998
City of Edinburgh,2014,3296
City of Edinburgh,2015,6261
City of Edinburgh,2016,7659
City of Edinburgh,2017,5088
City of Edinburgh,2018,4621
Clackmannanshire,2002,68
Clackmannanshire,2003,100
Clackmannanshire,2004,551
Clackmannanshire,2005,572
Clackmannanshire,2006,297
Clackmannanshire,2007,741
Clackmannanshire,2008,397
Clackmannanshire,2009,39
Clackmannanshire,2010,-75
Clackmannanshire,2011,-8
Clackmannanshire,2012,-256
Clackmannanshire,2013,-59
Clackmannanshire,2014,-82
Clackmannanshire,2015,142
Clackmannanshire,2016,12
Clackmannanshire,2017,121
Clackmannanshire,2018,-31
Dumfries and Galloway,2002,267
Dumfries and Galloway,2003,528
Dumfries and Galloway,2004,1183
Dumfries and Galloway,2005,1191
Dumfries and Galloway,2006,469
Dumfries and Galloway,2007,712
Dumfries and Galloway,2008,810
Dumfries and Galloway,2009,304
Dumfries and Galloway,2010,119
Dumfries and Galloway,2011,377
Dumfries and Galloway,2012,-128
Dumfries and Galloway,2013,-6
Dumfries and Galloway,2014,334
Dumfries and Galloway,2015,330
Dumfries and Galloway,2016,394
Dumfries and Galloway,2017,322
Dumfries and Galloway,2018,383
Dundee City,2002,-759
Dundee City,2003,6
Dundee City,2004,-740
Dundee City,2005,572
Dundee City,2006,-109
Dundee City,2007,265
Dundee City,2008,608
Dundee City,2009,919
Dundee City,2010,981
Dundee City,2011,1427
Dundee City,2012,492
Dundee City,2013,309
Dundee City,2014,-12
Dundee City,2015,209
Dundee City,2016,177
Dundee City,2017,588
Dundee City,2018,352
East Ayrshire,2002,-147
East Ayrshire,2003,28
East Ayrshire,2004,367
East Ayrshire,2005,36
East Ayrshire,2006,91
East Ayrshire,2007,325
East Ayrshire,2008,549
East Ayrshire,2009,383
East Ayrshire,2010,30
East Ayrshire,2011,30
East Ayrshire,2012,-76
East Ayrshire,2013,-120
East Ayrshire,2014,-90
East Ayrshire,2015,62
East Ayrshire,2016,151
East Ayrshire,2017,18
East Ayrshire,2018,230
East Dunbartonshire,2002,-783
East Dunbartonshire,2003,-331
East Dunbartonshire,2004,-457
East Dunbartonshire,2005,-482
East Dunbartonshire,2006,-449
East Dunbartonshire,2007,-289
East Dunbartonshire,2008,-180
