NAME,Year,Businesses
Aberdeen City,2000,9600
Aberdeen City,2001,9765
Aberdeen City,2002,9065
Aberdeen City,2003,8880
Aberdeen City,2004,8880
Aberdeen City,2005,8805
Aberdeen City,2006,8825
Aberdeen City,2007,8985
Aberdeen City,2008,9335
Aberdeen City,2009,9485
Aberdeen City,2010,9555
Aberdeen City,2011,9805
Aberdeen City,2012,10340
Aberdeen City,2013,10665
Aberdeen City,2014,11300
Aberdeen City,2015,11520
Aberdeen City,2016,11405
Aberdeen City,2017,11125
Aberdeenshire,2000,12065
Aberdeenshire,2001,11965
Aberdeenshire,2002,11820
Aberdeenshire,2003,11840
Aberdeenshire,2004,12000
Aberdeenshire,2005,11875
Aberdeenshire,2006,12130
Aberdeenshire,2007,12560
Aberdeenshire,2008,13110
Aberdeenshire,2009,13315
Aberdeenshire,2010,13565
Aberdeenshire,2011,13800
Aberdeenshire,2012,14275
Aberdeenshire,2013,14560
Aberdeenshire,2014,15055
Aberdeenshire,2015,15290
Aberdeenshire,2016,15305
Aberdeenshire,2017,15140
Angus,2000,4100
Angus,2001,4025
Angus,2002,4010
Angus,2003,3910
Angus,2004,3965
Angus,2005,3880
Angus,2006,3970
Angus,2007,4080
Angus,2008,4125
Angus,2009,4125
Angus,2010,4160
Angus,2011,4130
Angus,2012,4240
Angus,2013,4235
Angus,2014,4350
Angus,2015,4430
Angus,2016,4470
Angus,2017,4485
Argyll and Bute,2000,4735
Argyll and Bute,2001,4710
Argyll and Bute,2002,4700
Argyll and Bute,2003,4620
Argyll and Bute,2004,4675
Argyll and Bute,2005,4665
Argyll and Bute,2006,4605
Argyll and Bute,2007,4655
Argyll and Bute,2008,4640
Argyll and Bute,2009,4610
Argyll and Bute,2010,4515
Argyll and Bute,2011,4460
Argyll and Bute,2012,4570
Argyll and Bute,2013,4490
Argyll and Bute,2014,4535
Argyll and Bute,2015,4525
Argyll and Bute,2016,4515
Argyll and Bute,2017,4550
City of Edinburgh,2000,18410
City of Edinburgh,2001,18615
City of Edinburgh,2002,18580
City of Edinburgh,2003,18525
City of Edinburgh,2004,18785
City of Edinburgh,2005,18690
City of Edinburgh,2006,18810
City of Edinburgh,2007,18775
City of Edinburgh,2008,19040
City of Edinburgh,2009,18800
City of Edinburgh,2010,18880
City of Edinburgh,2011,18850
City of Edinburgh,2012,19370
City of Edinburgh,2013,19605
City of Edinburgh,2014,20535
City of Edinburgh,2015,21160
City of Edinburgh,2016,21955
City of Edinburgh,2017,22495
Clackmannanshire,2000,1170
Clackmannanshire,2001,1190
Clackmannanshire,2002,1180
Clackmannanshire,2003,1200
Clackmannanshire,2004,1225
Clackmannanshire,2005,1220
Clackmannanshire,2006,1205
Clackmannanshire,2007,1245
Clackmannanshire,2008,1285
Clackmannanshire,2009,1285
Clackmannanshire,2010,1270
Clackmannanshire,2011,1240
Clackmannanshire,2012,1265
Clackmannanshire,2013,1225
Clackmannanshire,2014,1290
Clackmannanshire,2015,1330
Clackmannanshire,2016,1355
Clackmannanshire,2017,1350
Dumfries and Galloway,2000,7725
Dumfries and Galloway,2001,7700
Dumfries and Galloway,2002,7725
Dumfries and Galloway,2003,7595
Dumfries and Galloway,2004,7685
Dumfries and Galloway,2005,7470
Dumfries and Galloway,2006,7475
Dumfries and Galloway,2007,7625
Dumfries and Galloway,2008,7640
Dumfries and Galloway,2009,7565
Dumfries and Galloway,2010,7475
Dumfries and Galloway,2011,7340
Dumfries and Galloway,2012,7375
Dumfries and Galloway,2013,7260
Dumfries and Galloway,2014,7405
Dumfries and Galloway,2015,7400
Dumfries and Galloway,2016,7315
Dumfries and Galloway,2017,7280
Dundee City,2000,3820
Dundee City,2001,3930
Dundee City,2002,3925
Dundee City,2003,3875
Dundee City,2004,3905
Dundee City,2005,3865
Dundee City,2006,3905
Dundee City,2007,3990
Dundee City,2008,3985
Dundee City,2009,3975
Dundee City,2010,3960
Dundee City,2011,3885
Dundee City,2012,3990
Dundee City,2013,4015
Dundee City,2014,4160
Dundee City,2015,4290
Dundee City,2016,4290
Dundee City,2017,4390
East Ayrshire,2000,3575
East Ayrshire,2001,3540
East Ayrshire,2002,3585
East Ayrshire,2003,3550
East Ayrshire,2004,3520
East Ayrshire,2005,3440
East Ayrshire,2006,3400
East Ayrshire,2007,3445
East Ayrshire,2008,3470
East Ayrshire,2009,3425
East Ayrshire,2010,3365
East Ayrshire,2011,3325
East Ayrshire,2012,3410
East Ayrshire,2013,3380
East Ayrshire,2014,3465
East Ayrshire,2015,3570
East Ayrshire,2016,3620
East Ayrshire,2017,3735
East Dunbartonshire,2000,2695
East Dunbartonshire,2001,2715
East Dunbartonshire,2002,2710
East Dunbartonshire,2003,2675
East Dunbartonshire,2004,2725
East Dunbartonshire,2005,2690
East Dunbartonshire,2006,2700
East Dunbartonshire,2007,2765
East Dunbartonshire,2008,2845
East Dunbartonshire,2009,2885
East Dunbartonshire,2010,2920
East Dunbartonshire,2011,2905
East Dunbartonshire,2012,3015
East Dunbartonshire,2013,2975
East Dunbartonshire,2014,3135
East Dunbartonshire,2015,3225
East Dunbartonshire,2016,3365
East Dunbartonshire,2017,3405
East Lothian,2000,2775
East Lothian,2001,2825
East Lothian,2002,2885
East Lothian,2003,2860
East Lothian,2004,2910
East Lothian,2005,2880
East Lothian,2006,2890
East Lothian,2007,2945
East Lothian,2008,2935
East Lothian,2009,2995
East Lothian,2010,3020
East Lothian,2011,3010
East Lothian,2012,3120
East Lothian,2013,3205
East Lothian,2014,3290
East Lothian,2015,3335
East Lothian,2016,3455
East Lothian,2017,3510
East Renfrewshire,2000,2255
East Renfrewshire,2001,2255
East Renfrewshire,2002,2245
East Renfrewshire,2003,2220
East Renfrewshire,2004,2200
East Renfrewshire,2005,2175
East Renfrewshire,2006,2195
East Renfrewshire,2007,2270
East Renfrewshire,2008,2350
East Renfrewshire,2009,2380
East Renfrewshire,2010,2430
East Renfrewshire,2011,2420
East Renfrewshire,2012,2555
East Renfrewshire,2013,2575
East Renfrewshire,2014,2705
East Renfrewshire,2015,2780
East Renfrewshire,2016,2865
East Renfrewshire,2017,2975
Falkirk,2000,3785
Falkirk,2001,3825
Falkirk,2002,3785
Falkirk,2003,3785
Falkirk,2004,3875
Falkirk,2005,3810
Falkirk,2006,3855
Falkirk,2007,3905
Falkirk,2008,3995
Falkirk,2009,4005
Falkirk,2010,4025
Falkirk,2011,4015
Falkirk,2012,4130
Falkirk,2013,4185
Falkirk,2014,4355
Falkirk,2015,4435
Falkirk,2016,4540
Falkirk,2017,4575
Fife,2000,9830
Fife,2001,9800
Fife,2002,9830
Fife,2003,9860
Fife,2004,9890
Fife,2005,9725
Fife,2006,9725
Fife,2007,9905
Fife,2008,10170
