"NAME","Year","Value"
"Scotland","2004",15.8
"Aberdeen City","2004",11.8
"Aberdeenshire","2004",10.7
"Angus","2004",12
"Argyll and Bute","2004",17
"City of Edinburgh","2004",9
"Clackmannanshire","2004",16.4
"Dumfries and Galloway","2004",17.3
"Dundee City","2004",17.2
"East Ayrshire","2004",21.7
"East Dunbartonshire","2004",8.3
"East Lothian","2004",14.4
"East Renfrewshire","2004",8.1
"Falkirk","2004",16
"Fife","2004",11.7
"Glasgow City","2004",22.4
"Highland","2004",14.4
"Inverclyde","2004",19.5
"Midlothian","2004",16.4
"Moray","2004",17
"Na h-Eileanan Siar","2004",19.3
"North Ayrshire","2004",21.1
"North Lanarkshire","2004",23.6
"Orkney Islands","2004",9.4
"Perth and Kinross","2004",12.4
"Renfrewshire","2004",16.4
"Scottish Borders","2004",16.5
"Shetland Islands","2004",8.6
"South Ayrshire","2004",16.6
"South Lanarkshire","2004",18.4
"Stirling","2004",10.8
"West Dunbartonshire","2004",20.8
"West Lothian","2004",13.9
"Scotland","2005",14.8
"Aberdeen City","2005",12.2
"Aberdeenshire","2005",9.8
"Angus","2005",13.3
"Argyll and Bute","2005",13.6
"City of Edinburgh","2005",10
"Clackmannanshire","2005",14.8
"Dumfries and Galloway","2005",14.8
"Dundee City","2005",15.8
"East Ayrshire","2005",22.5
"East Dunbartonshire","2005",8.8
"East Lothian","2005",11.4
"East Renfrewshire","2005",7.4
"Falkirk","2005",12.1
"Fife","2005",11.1
"Glasgow City","2005",24.2
"Highland","2005",12
"Inverclyde","2005",16.6
"Midlothian","2005",15.2
"Moray","2005",13.1
"Na h-Eileanan Siar","2005",14.5
"North Ayrshire","2005",16.2
"North Lanarkshire","2005",22.7
"Orkney Islands","2005",8.7
"Perth and Kinross","2005",11.8
"Renfrewshire","2005",14.7
"Scottish Borders","2005",11.5
"Shetland Islands","2005",7.1
"South Ayrshire","2005",14
"South Lanarkshire","2005",15.8
"Stirling","2005",10.8
"West Dunbartonshire","2005",18.2
"West Lothian","2005",13
"Scotland","2006",13.8
"Aberdeen City","2006",11
"Aberdeenshire","2006",11.2
"Angus","2006",11.3
"Argyll and Bute","2006",12
"City of Edinburgh","2006",7.3
"Clackmannanshire","2006",16.8
"Dumfries and Galloway","2006",13.7
"Dundee City","2006",15.5
"East Ayrshire","2006",18.6
"East Dunbartonshire","2006",8
"East Lothian","2006",11.1
"East Renfrewshire","2006",9
"Falkirk","2006",12.5
"Fife","2006",10.8
"Glasgow City","2006",21.3
"Highland","2006",10.8
"Inverclyde","2006",17.8
"Midlothian","2006",12.2
"Moray","2006",14.8
"Na h-Eileanan Siar","2006",13.5
"North Ayrshire","2006",15.5
"North Lanarkshire","2006",20.8
"Orkney Islands","2006",7.9
"Perth and Kinross","2006",10.8
"Renfrewshire","2006",13.6
"Scottish Borders","2006",12.9
"Shetland Islands","2006",10.6
"South Ayrshire","2006",14.2
"South Lanarkshire","2006",17
"Stirling","2006",8.9
"West Dunbartonshire","2006",18.5
"West Lothian","2006",12.1
"Scotland","2007",13.7
"Aberdeen City","2007",10.7
"Aberdeenshire","2007",9
"Angus","2007",12.2
"Argyll and Bute","2007",11.5
"City of Edinburgh","2007",7.3
"Clackmannanshire","2007",20
"Dumfries and Galloway","2007",16
"Dundee City","2007",16
"East Ayrshire","2007",21.1
"East Dunbartonshire","2007",8.6
"East Lothian","2007",10.7
"East Renfrewshire","2007",8.3
"Falkirk","2007",12.2
"Fife","2007",11.5
"Glasgow City","2007",21.6
"Highland","2007",10.2
"Inverclyde","2007",18.7
"Midlothian","2007",14.6
"Moray","2007",12.3
"Na h-Eileanan Siar","2007",13.7
"North Ayrshire","2007",14.2
"North Lanarkshire","2007",18.4
"Orkney Islands","2007",10.2
"Perth and Kinross","2007",12
"Renfrewshire","2007",14.8
"Scottish Borders","2007",13
"Shetland Islands","2007",9.7
"South Ayrshire","2007",12.1
"South Lanarkshire","2007",15.1
"Stirling","2007",9.7
"West Dunbartonshire","2007",15.8
"West Lothian","2007",12.6
"Scotland","2008",13.8
"Aberdeen City","2008",9.9
"Aberdeenshire","2008",9.9
"Angus","2008",11
"Argyll and Bute","2008",10.8
"City of Edinburgh","2008",7.6
"Clackmannanshire","2008",19.5
"Dumfries and Galloway","2008",16.7
"Dundee City","2008",15.2
"East Ayrshire","2008",18.1
"East Dunbartonshire","2008",8.1
"East Lothian","2008",13.6
"East Renfrewshire","2008",10.9
"Falkirk","2008",14
"Fife","2008",10.2
"Glasgow City","2008",20.3
"Highland","2008",9.9
"Inverclyde","2008",16
"Midlothian","2008",12.8
"Moray","2008",10.2
"Na h-Eileanan Siar","2008",10.4
"North Ayrshire","2008",16.3
"North Lanarkshire","2008",21
"Orkney Islands","2008",10.5
"Perth and Kinross","2008",12.2
"Renfrewshire","2008",16.8
"Scottish Borders","2008",11.4
"Shetland Islands","2008",9.1
"South Ayrshire","2008",13.9
"South Lanarkshire","2008",17.2
"Stirling","2008",11.3
"West Dunbartonshire","2008",18
"West Lothian","2008",12.3
"Scotland","2009",13.2
"Aberdeen City","2009",10.5
"Aberdeenshire","2009",10.2
"Angus","2009",10.5
"Argyll and Bute","2009",10.3
"City of Edinburgh","2009",8.2
"Clackmannanshire","2009",18.8
"Dumfries and Galloway","2009",15.7
"Dundee City","2009",13.6
"East Ayrshire","2009",17.3
"East Dunbartonshire","2009",7.4
"East Lothian","2009",11.9
"East Renfrewshire","2009",10.3
"Falkirk","2009",11.6
"Fife","2009",9.9
"Glasgow City","2009",20
"Highland","2009",8
"Inverclyde","2009",13.7
"Midlothian","2009",12.6
"Moray","2009",9.4
"Na h-Eileanan Siar","2009",10.4
"North Ayrshire","2009",13.9
"North Lanarkshire","2009",18.7
"Orkney Islands","2009",11.6
"Perth and Kinross","2009",13.1
"Renfrewshire","2009",17.1
"Scottish Borders","2009",10.4
"Shetland Islands","2009",4.6
"South Ayrshire","2009",13.3
"South Lanarkshire","2009",16
"Stirling","2009",12.3
"West Dunbartonshire","2009",17.3
"West Lothian","2009",12.6
"Scotland","2010",12.3
"Aberdeen City","2010",9.2
"Aberdeenshire","2010",8
"Angus","2010",9.2
"Argyll and Bute","2010",9.4
"City of Edinburgh","2010",7.5
"Clackmannanshire","2010",12.9
"Dumfries and Galloway","2010",11
"Dundee City","2010",10.4
"East Ayrshire","2010",16.3
"East Dunbartonshire","2010",7.6
"East Lothian","2010",11.1
"East Renfrewshire","2010",8.5
"Falkirk","2010",11.8
"Fife","2010",9.5
"Glasgow City","2010",21.3
"Highland","2010",6.5
"Inverclyde","2010",12.5
"Midlothian","2010",11.8
"Moray","2010",9.3
"Na h-Eileanan Siar","2010",10.4
"North Ayrshire","2010",12.7
"North Lanarkshire","2010",19.8
"Orkney Islands","2010",8.5
"Perth and Kinross","2010",12.8
"Renfrewshire","2010",14.6
"Scottish Borders","2010",10.7
"Shetland Islands","2010",5.1
"South Ayrshire","2010",12.3
"South Lanarkshire","2010",11.8
"Stirling","2010",11.1
"West Dunbartonshire","2010",15.7
"West Lothian","2010",12
"Scotland","2011",11.7
"Aberdeen City","2011",9.5
"Aberdeenshire","2011",7.2
"Angus","2011",11.2
"Argyll and Bute","2011",7.1
"City of Edinburgh","2011",8.5
"Clackmannanshire","2011",15.5
"Dumfries and Galloway","2011",12
"Dundee City","2011",12.8
"East Ayrshire","2011",17.2
"East Dunbartonshire","2011",6.3
"East Lothian","2011",10.5
"East Renfrewshire","2011",8.5
"Falkirk","2011",12.2
"Fife","2011",8.1
"Glasgow City","2011",16.7
"Highland","2011",6.3
"Inverclyde","2011",14.5
"Midlothian","2011",11.9
"Moray","2011",9.9
"Na h-Eileanan Siar","2011",11.3
"North Ayrshire","2011",14.1
"North Lanarkshire","2011",20.1
"Orkney Islands","2011",6.1
"Perth and Kinross","2011",11.8
"Renfrewshire","2011",13.6
"Scottish Borders","2011",9.9
"Shetland Islands","2011",7
"South Ayrshire","2011",11.3
"South Lanarkshire","2011",11.3
"Stirling","2011",11.6
"West Dunbartonshire","2011",13.6
"West Lothian","2011",10
"Scotland","2012",10.7
"Aberdeen City","2012",9.3
"Aberdeenshire","2012",7.7
"Angus","2012",11.2
"Argyll and Bute","2012",9.7
"City of Edinburgh","2012",5.6
"Clackmannanshire","2012",10.4
"Dumfries and Galloway","2012",12.1
"Dundee City","2012",12.9
"East Ayrshire","2012",17.9
"East Dunbartonshire","2012",7.2
"East Lothian","2012",8.6
"East Renfrewshire","2012",7.3
"Falkirk","2012",11.1
"Fife","2012",9
"Glasgow City","2012",16
"Highland","2012",5.9
"Inverclyde","2012",13.4
"Midlothian","2012",11.8
"Moray","2012",8.6
"Na h-Eileanan Siar","2012",8.6
"North Ayrshire","2012",14.9
"North Lanarkshire","2012",15.8
"Orkney Islands","2012",8.1
"Perth and Kinross","2012",6.5
"Renfrewshire","2012",10
"Scottish Borders","2012",9.3
"Shetland Islands","2012",7.6
"South Ayrshire","2012",10.9
"South Lanarkshire","2012",10.5
"Stirling","2012",9.9
"West Dunbartonshire","2012",14.5
"West Lothian","2012",9.5
"Scotland","2013",10.4
"Aberdeen City","2013",7.4
"Aberdeenshire","2013",7.8
"Angus","2013",12
"Argyll and Bute","2013",7.7
"City of Edinburgh","2013",5.4
"Clackmannanshire","2013",11.9
"Dumfries and Galloway","2013",13.6
"Dundee City","2013",11.7
"East Ayrshire","2013",14.9
"East Dunbartonshire","2013",6.3
"East Lothian","2013",7.8
"East Renfrewshire","2013",6.4
"Falkirk","2013",9.8
"Fife","2013",6.4
"Glasgow City","2013",16.2
"Highland","2013",6.7
"Inverclyde","2013",14
"Midlothian","2013",12.7
"Moray","2013",7.2
"Na h-Eileanan Siar","2013",7.8
"North Ayrshire","2013",15.5
