NAME,Year,Businesses
Aberdeen City,2010,447
Aberdeen City,2011,453
Aberdeen City,2012,476
Aberdeen City,2013,490
Aberdeen City,2014,511
Aberdeen City,2015,519
Aberdeen City,2016,513
Aberdeen City,2017,500
Aberdeen City,2018,493
Aberdeen City,2019,498
Aberdeen City,2020,494
Aberdeenshire,2010,627
Aberdeenshire,2011,632
Aberdeenshire,2012,650
Aberdeenshire,2013,657
Aberdeenshire,2014,672
Aberdeenshire,2015,679
Aberdeenshire,2016,679
Aberdeenshire,2017,673
Aberdeenshire,2018,668
Aberdeenshire,2019,672
Aberdeenshire,2020,669
Angus,2010,400
Angus,2011,395
Angus,2012,406
Angus,2013,404
Angus,2014,415
Angus,2015,423
Angus,2016,428
Angus,2017,428
Angus,2018,428
Angus,2019,430
Angus,2020,428
Argyll and Bute,2010,551
Argyll and Bute,2011,542
Argyll and Bute,2012,566
Argyll and Bute,2013,546
Argyll and Bute,2014,554
Argyll and Bute,2015,554
Argyll and Bute,2016,551
Argyll and Bute,2017,559
Argyll and Bute,2018,552
Argyll and Bute,2019,552
Argyll and Bute,2020,554
City of Edinburgh,2010,399
City of Edinburgh,2011,394
City of Edinburgh,2012,407
City of Edinburgh,2013,410
City of Edinburgh,2014,428
City of Edinburgh,2015,436
City of Edinburgh,2016,449
City of Edinburgh,2017,453
City of Edinburgh,2018,451
City of Edinburgh,2019,460
City of Edinburgh,2020,465
Clackmannanshire,2010,282
Clackmannanshire,2011,276
Clackmannanshire,2012,280
Clackmannanshire,2013,274
Clackmannanshire,2014,290
Clackmannanshire,2015,298
Clackmannanshire,2016,304
Clackmannanshire,2017,302
Clackmannanshire,2018,299
Clackmannanshire,2019,297
Clackmannanshire,2020,293
Dumfries and Galloway,2010,540
Dumfries and Galloway,2011,529
Dumfries and Galloway,2012,535
Dumfries and Galloway,2013,527
Dumfries and Galloway,2014,537
Dumfries and Galloway,2015,537
Dumfries and Galloway,2016,533
Dumfries and Galloway,2017,531
Dumfries and Galloway,2018,534
Dumfries and Galloway,2019,535
Dumfries and Galloway,2020,532
Dundee City,2010,280
Dundee City,2011,271
Dundee City,2012,276
Dundee City,2013,278
Dundee City,2014,290
Dundee City,2015,300
Dundee City,2016,302
Dundee City,2017,308
Dundee City,2018,303
Dundee City,2019,308
Dundee City,2020,313
East Ayrshire,2010,311
East Ayrshire,2011,307
East Ayrshire,2012,315
East Ayrshire,2013,313
East Ayrshire,2014,322
East Ayrshire,2015,333
East Ayrshire,2016,338
East Ayrshire,2017,347
East Ayrshire,2018,344
East Ayrshire,2019,345
East Ayrshire,2020,352
East Dunbartonshire,2010,316
East Dunbartonshire,2011,314
East Dunbartonshire,2012,322
East Dunbartonshire,2013,318
East Dunbartonshire,2014,333
East Dunbartonshire,2015,342
East Dunbartonshire,2016,357
East Dunbartonshire,2017,359
East Dunbartonshire,2018,357
East Dunbartonshire,2019,359
East Dunbartonshire,2020,352
East Lothian,2010,351
East Lothian,2011,346
East Lothian,2012,357
East Lothian,2013,365
East Lothian,2014,372
East Lothian,2015,371
East Lothian,2016,383
East Lothian,2017,387
East Lothian,2018,389
East Lothian,2019,391
East Lothian,2020,390
East Renfrewshire,2010,319
East Renfrewshire,2011,316
East Renfrewshire,2012,331
East Renfrewshire,2013,331
East Renfrewshire,2014,347
