NAME,Year,RD
Aberdeen City,2001,0.33
Aberdeen City,2002,0.4
Aberdeen City,2003,0.37
Aberdeen City,2004,0.34
Aberdeen City,2005,0.44
Aberdeen City,2006,0.4
Aberdeen City,2007,0.51
Aberdeen City,2008,0.47
Aberdeen City,2009,0.38
Aberdeen City,2010,0.31
Aberdeen City,2011,0.58
Aberdeen City,2012,0.5
Aberdeen City,2013,0.78
Aberdeen City,2014,1.14
Aberdeen City,2015,1.19
Aberdeen City,2016,1.35
Aberdeen City,2017,1.02
Aberdeenshire,2001,0.11
Aberdeenshire,2002,0.14
Aberdeenshire,2003,0.1
Aberdeenshire,2004,0.09
Aberdeenshire,2005,0.14
Aberdeenshire,2006,0.1
Aberdeenshire,2007,0.11
Aberdeenshire,2008,0.14
Aberdeenshire,2009,0.52
Aberdeenshire,2010,0.41
Aberdeenshire,2011,0.46
Aberdeenshire,2012,0.27
Aberdeenshire,2013,0.21
Aberdeenshire,2014,0.25
Aberdeenshire,2015,0.23
Aberdeenshire,2016,0.29
Aberdeenshire,2017,0.42
Angus,2001,0.05
Angus,2003,0.09
Angus,2004,0.13
Angus,2005,0.11
Angus,2006,0.08
Angus,2007,0.12
Angus,2008,0.06
Angus,2009,0.1
Angus,2010,0.16
Angus,2011,0.1
Angus,2012,0.12
Angus,2013,0.11
Angus,2014,0.13
Angus,2015,0.13
Angus,2016,0.15
Angus,2017,0.27
Argyll and Bute,2001,0.09
Argyll and Bute,2002,0.08
Argyll and Bute,2003,0.06
Argyll and Bute,2005,0.03
Argyll and Bute,2006,0.03
Argyll and Bute,2007,0.03
Argyll and Bute,2008,0.08
Argyll and Bute,2009,0.08
Argyll and Bute,2010,0.13
Argyll and Bute,2011,0.15
Argyll and Bute,2015,0.07
Argyll and Bute,2017,0.08
City of Edinburgh,2001,1.58
City of Edinburgh,2002,1.04
City of Edinburgh,2003,0.9
City of Edinburgh,2004,0.66
City of Edinburgh,2005,0.62
City of Edinburgh,2006,0.61
City of Edinburgh,2007,0.79
City of Edinburgh,2008,0.62
City of Edinburgh,2009,0.69
City of Edinburgh,2010,0.76
City of Edinburgh,2011,0.76
City of Edinburgh,2012,0.86
City of Edinburgh,2013,0.9
City of Edinburgh,2014,1.24
City of Edinburgh,2015,1.1
City of Edinburgh,2016,1.15
City of Edinburgh,2017,1.56
Clackmannanshire,2005,0.1
Clackmannanshire,2006,0.08
Clackmannanshire,2007,0.11
Clackmannanshire,2008,0.02
Clackmannanshire,2010,0.1
Clackmannanshire,2011,0.35
Clackmannanshire,2013,0.06
Clackmannanshire,2014,0.22
Clackmannanshire,2015,0.18
Clackmannanshire,2016,0.22
Clackmannanshire,2017,0.22
