NAME,Year,Value
Aberdeen City,2013,32.4
Aberdeenshire,2013,27
Angus,2013,31
Argyll and Bute,2013,33.4
Clackmannanshire,2013,26.1
Dumfries and Galloway,2013,30.7
Dundee City,2013,25.5
East Ayrshire,2013,31.5
East Dunbartonshire,2013,34.8
East Lothian,2013,33.9
East Renfrewshire,2013,32.5
City of Edinburgh,2013,29.3
Falkirk,2013,20.4
Fife,2013,24
Glasgow City,2013,21
Highland,2013,34.8
Inverclyde,2013,27.7
Midlothian,2013,30.1
Moray,2013,33.8
Na h-Eileanan Siar,2013,48.2
North Ayrshire,2013,32
North Lanarkshire,2013,20.2
Orkney Islands,2013,34.5
Perth and Kinross,2013,30.1
Renfrewshire,2013,25.7
Scotland,2013,27.8
Scottish Borders,2013,42.8
Shetland Islands,2013,45.7
South Ayrshire,2013,24.4
South Lanarkshire,2013,24
Stirling,2013,36.9
West Dunbartonshire,2013,23
West Lothian,2013,26.5
Aberdeen City,2014,29.4
Aberdeenshire,2014,31.1
Angus,2014,33.3
Argyll and Bute,2014,24.1
Clackmannanshire,2014,26.6
Dumfries and Galloway,2014,34.7
Dundee City,2014,28.4
East Ayrshire,2014,21
East Dunbartonshire,2014,35.7
East Lothian,2014,33.4
East Renfrewshire,2014,30.7
City of Edinburgh,2014,33.8
Falkirk,2014,17.3
Fife,2014,23.6
Glasgow City,2014,20.4
Highland,2014,37.2
Inverclyde,2014,24.6
Midlothian,2014,27.9
Moray,2014,33.7
Na h-Eileanan Siar,2014,49.8
North Ayrshire,2014,26.2
North Lanarkshire,2014,16.3
Orkney Islands,2014,33.6
Perth and Kinross,2014,30.7
Renfrewshire,2014,25.7
Scotland,2014,27
Scottish Borders,2014,44.3
Shetland Islands,2014,46.9
South Ayrshire,2014,23.2
South Lanarkshire,2014,20.7
Stirling,2014,42.8
West Dunbartonshire,2014,15.4
West Lothian,2014,16.2
Aberdeen City,2015,35.8
Aberdeenshire,2015,32.9
Angus,2015,33.1
Argyll and Bute,2015,18.8
Clackmannanshire,2015,26.4
Dumfries and Galloway,2015,23.2
Dundee City,2015,26
East Ayrshire,2015,19.7
East Dunbartonshire,2015,31.5
East Lothian,2015,37.9
East Renfrewshire,2015,29.8
City of Edinburgh,2015,34.7
Falkirk,2015,26.5
Fife,2015,21.3
Glasgow City,2015,19.7
Highland,2015,39.6
Inverclyde,2015,21.5
Midlothian,2015,25.8
Moray,2015,30
Na h-Eileanan Siar,2015,36.1
North Ayrshire,2015,29.6
North Lanarkshire,2015,20.7
Orkney Islands,2015,19.2
Perth and Kinross,2015,31.4
Renfrewshire,2015,22
Scotland,2015,27.1
Scottish Borders,2015,29.8
Shetland Islands,2015,50.3
South Ayrshire,2015,25.4
South Lanarkshire,2015,23
Stirling,2015,31.1
West Dunbartonshire,2015,18
West Lothian,2015,23.5
Aberdeen City,2016,25.4
Aberdeenshire,2016,31.9
Angus,2016,33.1
Argyll and Bute,2016,33.2
Clackmannanshire,2016,24.5
Dumfries and Galloway,2016,27
Dundee City,2016,21.3
East Ayrshire,2016,25.6
East Dunbartonshire,2016,20.6
East Lothian,2016,25.8
East Renfrewshire,2016,29
City of Edinburgh,2016,32.3
Falkirk,2016,13.8
Fife,2016,21.6
Glasgow City,2016,22.9
Highland,2016,47.6
Inverclyde,2016,24.9
Midlothian,2016,20.3
Moray,2016,36
Na h-Eileanan Siar,2016,52
North Ayrshire,2016,26.5
North Lanarkshire,2016,21.5
Orkney Islands,2016,35.2
