NAME,Year,working_age
Aberdeen City,2016,160821
Aberdeen City,2017,161570
Aberdeen City,2018,162100
Aberdeen City,2019,162209
Aberdeen City,2020,162059
Aberdeen City,2021,161812
Aberdeen City,2022,161617
Aberdeen City,2023,161358
Aberdeen City,2024,161177
Aberdeen City,2025,161076
Aberdeen City,2026,161095
Aberdeen City,2027,161030
Aberdeen City,2028,160975
Aberdeen City,2029,161009
Aberdeen City,2030,160993
Aberdeen City,2031,161132
Aberdeen City,2032,161215
Aberdeen City,2033,161244
Aberdeen City,2034,161386
Aberdeen City,2035,161639
Aberdeen City,2036,161706
Aberdeen City,2037,161864
Aberdeen City,2038,162047
Aberdeen City,2039,162412
Aberdeen City,2040,162727
Aberdeen City,2041,162945
Aberdeenshire,2016,165548
Aberdeenshire,2017,166021
Aberdeenshire,2018,166475
Aberdeenshire,2019,166855
Aberdeenshire,2020,167298
Aberdeenshire,2021,167557
Aberdeenshire,2022,168141
Aberdeenshire,2023,168548
Aberdeenshire,2024,169152
Aberdeenshire,2025,169801
Aberdeenshire,2026,170285
Aberdeenshire,2027,170664
Aberdeenshire,2028,170665
Aberdeenshire,2029,170612
Aberdeenshire,2030,170561
Aberdeenshire,2031,170612
Aberdeenshire,2032,170697
Aberdeenshire,2033,170633
Aberdeenshire,2034,170498
Aberdeenshire,2035,170598
Aberdeenshire,2036,170566
Aberdeenshire,2037,170739
Aberdeenshire,2038,171006
Aberdeenshire,2039,171458
Aberdeenshire,2040,172084
Aberdeenshire,2041,172640
Angus,2016,70588
Angus,2017,70557
Angus,2018,70232
Angus,2019,70085
Angus,2020,69983
Angus,2021,69811
Angus,2022,69530
Angus,2023,69249
Angus,2024,69046
Angus,2025,68681
Angus,2026,68423
Angus,2027,67969
Angus,2028,67562
Angus,2029,67204
Angus,2030,66827
Angus,2031,66438
Angus,2032,66035
Angus,2033,65735
Angus,2034,65403
Angus,2035,65192
Angus,2036,64978
Angus,2037,64810
Angus,2038,64716
Angus,2039,64731
Angus,2040,64814
Angus,2041,64878
Argyll and Bute,2016,52336
Argyll and Bute,2017,51858
Argyll and Bute,2018,51412
Argyll and Bute,2019,50945
Argyll and Bute,2020,50539
Argyll and Bute,2021,50025
Argyll and Bute,2022,49474
Argyll and Bute,2023,48885
Argyll and Bute,2024,48357
Argyll and Bute,2025,47778
Argyll and Bute,2026,47194
Argyll and Bute,2027,46612
Argyll and Bute,2028,45985
Argyll and Bute,2029,45317
Argyll and Bute,2030,44664
Argyll and Bute,2031,44100
Argyll and Bute,2032,43548
Argyll and Bute,2033,42950
Argyll and Bute,2034,42427
Argyll and Bute,2035,41941
Argyll and Bute,2036,41559
Argyll and Bute,2037,41160
Argyll and Bute,2038,40849
Argyll and Bute,2039,40633
Argyll and Bute,2040,40423
Argyll and Bute,2041,40267
City of Edinburgh,2016,353873
City of Edinburgh,2017,357530
City of Edinburgh,2018,360506
City of Edinburgh,2019,362503
City of Edinburgh,2020,364256
City of Edinburgh,2021,365819
City of Edinburgh,2022,366997
City of Edinburgh,2023,368133
City of Edinburgh,2024,369508
City of Edinburgh,2025,370890
City of Edinburgh,2026,371798
City of Edinburgh,2027,373327
