"NAME","Year","Value"
"Aberdeen City",2004,15.7
"Aberdeenshire",2004,13.9
"Angus",2004,17.5
"Argyll and Bute",2004,18.2
"City of Edinburgh",2004,17.6
"Clackmannanshire",2004,23.4
"Dumfries and Galloway",2004,17.4
"Dundee City",2004,27.2
"East Ayrshire",2004,21.5
"East Dunbartonshire",2004,11.3
"East Lothian",2004,16.1
"East Renfrewshire",2004,12.6
"Falkirk",2004,18.1
"Fife",2004,19.5
"Glasgow City",2004,30.7
"Highland",2004,11.6
"Inverclyde",2004,24.6
"Midlothian",2004,14.3
"Moray",2004,15.5
"Na h-Eileanan Siar",2004,13.3
"North Ayrshire",2004,27.8
"North Lanarkshire",2004,23.1
"Orkney Islands",2004,8.9
"Perth and Kinross",2004,17.7
"Renfrewshire",2004,22.6
"Scottish Borders",2004,14.9
"Shetland Islands",2004,NA
"South Ayrshire",2004,20.8
"South Lanarkshire",2004,21.5
"Stirling",2004,19.1
"West Dunbartonshire",2004,22.9
"West Lothian",2004,15.2
"Scotland",2004,20.1
"Aberdeen City",2005,16.2
"Aberdeenshire",2005,12.7
"Angus",2005,18.2
"Argyll and Bute",2005,18.4
"City of Edinburgh",2005,15.5
"Clackmannanshire",2005,23.2
"Dumfries and Galloway",2005,17.9
"Dundee City",2005,23.9
"East Ayrshire",2005,23.8
"East Dunbartonshire",2005,12.8
"East Lothian",2005,14
"East Renfrewshire",2005,13.2
"Falkirk",2005,18.5
"Fife",2005,19.1
"Glasgow City",2005,29.7
"Highland",2005,11.9
"Inverclyde",2005,24.2
"Midlothian",2005,15.3
"Moray",2005,15.5
"Na h-Eileanan Siar",2005,11.5
"North Ayrshire",2005,23.4
"North Lanarkshire",2005,23.6
"Orkney Islands",2005,11.7
"Perth and Kinross",2005,17.4
"Renfrewshire",2005,21.7
"Scottish Borders",2005,16.8
"Shetland Islands",2005,10.1
"South Ayrshire",2005,19.7
"South Lanarkshire",2005,20.3
"Stirling",2005,19.2
"West Dunbartonshire",2005,23.6
"West Lothian",2005,16.6
"Scotland",2005,19.7
"Aberdeen City",2006,15.4
"Aberdeenshire",2006,12.2
"Angus",2006,15.3
"Argyll and Bute",2006,16.3
"City of Edinburgh",2006,15.7
"Clackmannanshire",2006,25
"Dumfries and Galloway",2006,18.9
"Dundee City",2006,24
"East Ayrshire",2006,23.2
"East Dunbartonshire",2006,14.1
"East Lothian",2006,14.6
"East Renfrewshire",2006,14.3
"Falkirk",2006,17.6
"Fife",2006,20.4
"Glasgow City",2006,30.2
"Highland",2006,12.6
"Inverclyde",2006,24.5
"Midlothian",2006,12.8
"Moray",2006,16.1
"Na h-Eileanan Siar",2006,11
"North Ayrshire",2006,23.2
"North Lanarkshire",2006,21.2
"Orkney Islands",2006,9.7
"Perth and Kinross",2006,17
"Renfrewshire",2006,18.7
"Scottish Borders",2006,17
"Shetland Islands",2006,12.2
"South Ayrshire",2006,19.8
"South Lanarkshire",2006,19.5
"Stirling",2006,16.8
