NAME,Year,wplearning
Aberdeen City,2004,25.1
Aberdeen City,2004,25.1
Aberdeen City,2005,24.1
Aberdeen City,2005,24.1
Aberdeen City,2006,25.5
Aberdeen City,2006,25.5
Aberdeen City,2007,21.8
Aberdeen City,2007,21.8
Aberdeen City,2008,24.4
Aberdeen City,2008,24.4
Aberdeen City,2009,26.1
Aberdeen City,2009,26.1
Aberdeen City,2010,26.5
Aberdeen City,2010,26.5
Aberdeen City,2011,24.2
Aberdeen City,2011,24.2
Aberdeen City,2012,24.4
Aberdeen City,2012,24.4
Aberdeen City,2013,23.1
Aberdeen City,2013,23.1
Aberdeen City,2014,27.1
Aberdeen City,2014,27.1
Aberdeen City,2015,26.6
Aberdeen City,2015,26.6
Aberdeen City,2016,19.2
Aberdeen City,2016,19.2
Aberdeen City,2017,17.9
Aberdeen City,2017,17.9
Aberdeen City,2018,20
Aberdeen City,2018,20
Aberdeenshire,2004,22.9
Aberdeenshire,2004,22.9
Aberdeenshire,2005,20.9
Aberdeenshire,2005,20.9
Aberdeenshire,2006,22.9
Aberdeenshire,2006,22.9
Aberdeenshire,2007,20.5
Aberdeenshire,2007,20.5
Aberdeenshire,2008,23.7
Aberdeenshire,2008,23.7
Aberdeenshire,2009,18.9
Aberdeenshire,2009,18.9
Aberdeenshire,2010,21.8
Aberdeenshire,2010,21.8
Aberdeenshire,2011,22.8
Aberdeenshire,2011,22.8
Aberdeenshire,2012,21
Aberdeenshire,2012,21
Aberdeenshire,2013,24
Aberdeenshire,2013,24
Aberdeenshire,2014,25.2
Aberdeenshire,2014,25.2
Aberdeenshire,2015,23.4
Aberdeenshire,2015,23.4
Aberdeenshire,2016,16.6
Aberdeenshire,2016,16.6
Aberdeenshire,2017,18.9
Aberdeenshire,2017,18.9
Aberdeenshire,2018,19.1
Aberdeenshire,2018,19.1
Angus,2004,24.4
Angus,2004,24.4
Angus,2005,23.6
Angus,2005,23.6
Angus,2006,23.8
Angus,2006,23.8
Angus,2007,20.6
Angus,2007,20.6
Angus,2008,24.9
Angus,2008,24.9
Angus,2009,23.1
Angus,2009,23.1
Angus,2010,23.1
Angus,2010,23.1
Angus,2011,22.9
Angus,2011,22.9
Angus,2012,22.9
Angus,2012,22.9
Angus,2013,20.6
Angus,2013,20.6
Angus,2014,24.9
Angus,2014,24.9
Angus,2015,21.1
Angus,2015,21.1
Angus,2016,20.5
Angus,2016,20.5
Angus,2017,24.1
Angus,2017,24.1
Angus,2018,21.8
Angus,2018,21.8
Argyll and Bute,2004,24.6
Argyll and Bute,2004,24.6
Argyll and Bute,2005,22.4
Argyll and Bute,2005,22.4
Argyll and Bute,2006,22.1
Argyll and Bute,2006,22.1
Argyll and Bute,2007,22.7
Argyll and Bute,2007,22.7
Argyll and Bute,2008,23.1
Argyll and Bute,2008,23.1
Argyll and Bute,2009,24
Argyll and Bute,2009,24
Argyll and Bute,2010,16.6
Argyll and Bute,2010,16.6
Argyll and Bute,2011,19.3
Argyll and Bute,2011,19.3
Argyll and Bute,2012,16.8
Argyll and Bute,2012,16.8
Argyll and Bute,2013,19.7
Argyll and Bute,2013,19.7
Argyll and Bute,2014,20.3
Argyll and Bute,2014,20.3
Argyll and Bute,2015,19.4
Argyll and Bute,2015,19.4
Argyll and Bute,2016,19.5
Argyll and Bute,2016,19.5
Argyll and Bute,2017,15.2
Argyll and Bute,2017,15.2
Argyll and Bute,2018,14.5
Argyll and Bute,2018,14.5
City of Edinburgh,2004,26.8
City of Edinburgh,2004,26.8
City of Edinburgh,2005,26.1
City of Edinburgh,2005,26.1
City of Edinburgh,2006,26.7
City of Edinburgh,2006,26.7
City of Edinburgh,2007,24.3
City of Edinburgh,2007,24.3
City of Edinburgh,2008,22.2
City of Edinburgh,2008,22.2
City of Edinburgh,2009,22
City of Edinburgh,2009,22
City of Edinburgh,2010,20.8
City of Edinburgh,2010,20.8
City of Edinburgh,2011,25.1
City of Edinburgh,2011,25.1
City of Edinburgh,2012,27
City of Edinburgh,2012,27
City of Edinburgh,2013,29.9
City of Edinburgh,2013,29.9
City of Edinburgh,2014,27.9
City of Edinburgh,2014,27.9
City of Edinburgh,2015,19.4
City of Edinburgh,2015,19.4
City of Edinburgh,2016,15.5
City of Edinburgh,2016,15.5
City of Edinburgh,2017,20.2
City of Edinburgh,2017,20.2
City of Edinburgh,2018,19.5
City of Edinburgh,2018,19.5
Clackmannanshire,2004,18.6
Clackmannanshire,2004,18.6
Clackmannanshire,2005,19.3
Clackmannanshire,2005,19.3
Clackmannanshire,2006,15.5
Clackmannanshire,2006,15.5
Clackmannanshire,2007,19.1
Clackmannanshire,2007,19.1
Clackmannanshire,2008,18.1
Clackmannanshire,2008,18.1
Clackmannanshire,2009,17.1
Clackmannanshire,2009,17.1
Clackmannanshire,2010,20
Clackmannanshire,2010,20
Clackmannanshire,2011,18.9
Clackmannanshire,2011,18.9
Clackmannanshire,2012,18.2
Clackmannanshire,2012,18.2
Clackmannanshire,2013,18.4
Clackmannanshire,2013,18.4
