"Year","Pollutant","Value"
2000,"CO",306.42
2001,"CO",311.85
2002,"CO",280.79
2003,"CO",259.72
2004,"CO",245.07
2005,"CO",225.3
2006,"CO",213.82
2007,"CO",198.22
2008,"CO",194.29
2009,"CO",163.88
2010,"CO",154.26
2011,"CO",138.91
2012,"CO",133.04
2013,"CO",126.79
2014,"CO",117.43
2015,"CO",115.62
2016,"CO",110.04
2017,"CO",107.86
2018,"CO",107.15
2000,"NOx",217.59
2001,"NOx",206.09
2002,"NOx",196.19
2003,"NOx",188.03
2004,"NOx",182.7
2005,"NOx",180.1
2006,"NOx",183.08
2007,"NOx",174.09
2008,"NOx",157.7
2009,"NOx",139.06
2010,"NOx",136.43
2011,"NOx",119.58
2012,"NOx",118.48
2013,"NOx",112.93
2014,"NOx",108.6
2015,"NOx",104.29
2016,"NOx",93.41
2017,"NOx",92.92
2018,"NOx",85.95
2000,"PM10",24.82
2001,"PM10",25.71
2002,"PM10",22.35
2003,"PM10",21.97
2004,"PM10",21.33
2005,"PM10",20.91
2006,"PM10",20.83
2007,"PM10",19.67
2008,"PM10",17.88
2009,"PM10",16.57
2010,"PM10",17.97
2011,"PM10",16.12
2012,"PM10",15.26
2013,"PM10",15.41
2014,"PM10",14.98
2015,"PM10",14.46
2016,"PM10",14.76
2017,"PM10",15.09
2018,"PM10",15.16
2000,"PM2.5",15.37
2001,"PM2.5",15.47
2002,"PM2.5",13.49
2003,"PM2.5",12.77
2004,"PM2.5",12.63
2005,"PM2.5",12.63
2006,"PM2.5",12.56
2007,"PM2.5",11.78
2008,"PM2.5",10.91
2009,"PM2.5",10.14
2010,"PM2.5",10.68
2011,"PM2.5",9.4
2012,"PM2.5",9.23
2013,"PM2.5",8.94
2014,"PM2.5",8.53
2015,"PM2.5",8.42
2016,"PM2.5",8.43
2017,"PM2.5",8.35
2018,"PM2.5",8.42
2000,"SO2",141.85
2001,"SO2",137.3
2002,"SO2",132.81
2003,"SO2",116.82
2004,"SO2",101.07
2005,"SO2",88.94
2006,"SO2",96.7
2007,"SO2",80.41
2008,"SO2",69.89
2009,"SO2",68.52
2010,"SO2",82.9
2011,"SO2",62.23
2012,"SO2",61.07
2013,"SO2",45.2
2014,"SO2",34.02
2015,"SO2",26.75
2016,"SO2",17.7
2017,"SO2",14.26
2018,"SO2",13.37
2000,"VOC",233.89
2001,"VOC",217.22
2002,"VOC",211.83
2003,"VOC",188.12
2004,"VOC",170.82
2005,"VOC",167.29
2006,"VOC",162.67
2007,"VOC",161.35
2008,"VOC",154.04
2009,"VOC",136.45
2010,"VOC",137
2011,"VOC",134.24
2012,"VOC",138.74
2013,"VOC",135.34
2014,"VOC",135.75
2015,"VOC",139.74
2016,"VOC",142.58
2017,"VOC",142.07
2018,"VOC",144.42
2000,"NH3",35.4
2001,"NH3",35.29
2002,"NH3",34.8
2003,"NH3",34.12
2004,"NH3",35.04
2005,"NH3",34.33
2006,"NH3",33.32
2007,"NH3",32.9
2008,"NH3",31.04
2009,"NH3",31.12
2010,"NH3",31.36
2011,"NH3",31.32
2012,"NH3",30.74
2013,"NH3",30.07
2014,"NH3",31.26
2015,"NH3",31.54
2016,"NH3",32.29
2017,"NH3",31.29
2018,"NH3",30.95
2000,"Pb",0.01
2001,"Pb",0.01
2002,"Pb",0.01
2003,"Pb",0.01
2004,"Pb",0.01
2005,"Pb",0.01
2006,"Pb",0.01
2007,"Pb",0.01
2008,"Pb",0.01
2009,"Pb",0.01
2010,"Pb",0.01
2011,"Pb",0.01
2012,"Pb",0.01
2013,"Pb",0.01
2014,"Pb",0.01
2015,"Pb",0.01
2016,"Pb",0.01
2017,"Pb",0.01
2018,"Pb",0.01
2000,"Dioxins",25.79
2001,"Dioxins",25.8
2002,"Dioxins",23.61
2003,"Dioxins",22.06
2004,"Dioxins",20.93
2005,"Dioxins",19.14
2006,"Dioxins",17.03
2007,"Dioxins",15.74
2008,"Dioxins",16.11
2009,"Dioxins",15
2010,"Dioxins",14.8
2011,"Dioxins",14.47
2012,"Dioxins",14.38
2013,"Dioxins",14.16
2014,"Dioxins",12.84
2015,"Dioxins",12.96
2016,"Dioxins",12.79
2017,"Dioxins",12.62
2018,"Dioxins",12.58
