"Year","Destination","Value"
2002,"Rest of UK (RUK)",28840
2002,"International: Total",20575
2002,"International: EU",11515
2002,"International: Non-EU",9060
2003,"Rest of UK (RUK)",31010
2003,"International: Total",19650
2003,"International: EU",10710
2003,"International: Non-EU",8935
2004,"Rest of UK (RUK)",36655
2004,"International: Total",19130
2004,"International: EU",9815
2004,"International: Non-EU",9315
2005,"Rest of UK (RUK)",34230
2005,"International: Total",18695
2005,"International: EU",9080
2005,"International: Non-EU",9610
2006,"Rest of UK (RUK)",36515
2006,"International: Total",19610
2006,"International: EU",9610
2006,"International: Non-EU",9995
2007,"Rest of UK (RUK)",41830
2007,"International: Total",20715
2007,"International: EU",9910
2007,"International: Non-EU",10805
2008,"Rest of UK (RUK)",42540
2008,"International: Total",22605
2008,"International: EU",11145
2008,"International: Non-EU",11460
2009,"Rest of UK (RUK)",42990
2009,"International: Total",23020
2009,"International: EU",10960
2009,"International: Non-EU",12060
2010,"Rest of UK (RUK)",45145
2010,"International: Total",24515
2010,"International: EU",10960
2010,"International: Non-EU",13545
2011,"Rest of UK (RUK)",45335
2011,"International: Total",27755
2011,"International: EU",13365
2011,"International: Non-EU",14385
2012,"Rest of UK (RUK)",46010
2012,"International: Total",28445
2012,"International: EU",12770
2012,"International: Non-EU",15665
2013,"Rest of UK (RUK)",47520
2013,"International: Total",30080
2013,"International: EU",13360
2013,"International: Non-EU",16725
2014,"Rest of UK (RUK)",47590
2014,"International: Total",29325
2014,"International: EU",12395
2014,"International: Non-EU",16925
2015,"Rest of UK (RUK)",50340
2015,"International: Total",30390
2015,"International: EU",13275
2015,"International: Non-EU",17115
2016,"Rest of UK (RUK)",46755
2016,"International: Total",31170
2016,"International: EU",13525
2016,"International: Non-EU",17515
2017,"Rest of UK (RUK)",50495
2017,"International: Total",32935
2017,"International: EU",15525
2017,"International: Non-EU",17410
2018,"Rest of UK (RUK)",49575
2018,"International: Total",33905
2018,"International: EU",15975
2018,"International: Non-EU",17925
2019,"Rest of UK (RUK)",52040
2019,"International: Total",35055
2019,"International: EU",16395
2019,"International: Non-EU",18660
