Destination,Year,Sector,Value
EU,2002,Accommodation and Food Services,65
EU,2003,Accommodation and Food Services,110
EU,2004,Accommodation and Food Services,105
EU,2005,Accommodation and Food Services,135
EU,2006,Accommodation and Food Services,145
EU,2007,Accommodation and Food Services,120
EU,2008,Accommodation and Food Services,125
EU,2009,Accommodation and Food Services,110
EU,2010,Accommodation and Food Services,120
EU,2011,Accommodation and Food Services,120
EU,2012,Accommodation and Food Services,115
EU,2013,Accommodation and Food Services,160
EU,2014,Accommodation and Food Services,185
EU,2015,Accommodation and Food Services,175
EU,2016,Accommodation and Food Services,155
EU,2017,Accommodation and Food Services,165
EU,2018,Accommodation and Food Services,195
EU,2002,Administrative and Support Services,125
EU,2003,Administrative and Support Services,85
EU,2004,Administrative and Support Services,105
EU,2005,Administrative and Support Services,150
EU,2006,Administrative and Support Services,195
EU,2007,Administrative and Support Services,265
EU,2008,Administrative and Support Services,235
EU,2009,Administrative and Support Services,250
EU,2010,Administrative and Support Services,240
EU,2011,Administrative and Support Services,235
EU,2012,Administrative and Support Services,325
EU,2013,Administrative and Support Services,450
EU,2014,Administrative and Support Services,445
EU,2015,Administrative and Support Services,275
EU,2016,Administrative and Support Services,265
EU,2017,Administrative and Support Services,250
EU,2018,Administrative and Support Services,250
EU,2002,"Agriculture, Forestry and Fishing",95
EU,2003,"Agriculture, Forestry and Fishing",85
EU,2004,"Agriculture, Forestry and Fishing",125
EU,2005,"Agriculture, Forestry and Fishing",150
EU,2006,"Agriculture, Forestry and Fishing",105
EU,2007,"Agriculture, Forestry and Fishing",105
EU,2008,"Agriculture, Forestry and Fishing",100
EU,2009,"Agriculture, Forestry and Fishing",130
EU,2010,"Agriculture, Forestry and Fishing",140
EU,2011,"Agriculture, Forestry and Fishing",150
EU,2012,"Agriculture, Forestry and Fishing",130
EU,2013,"Agriculture, Forestry and Fishing",135
EU,2014,"Agriculture, Forestry and Fishing",180
EU,2015,"Agriculture, Forestry and Fishing",205
EU,2016,"Agriculture, Forestry and Fishing",205
EU,2017,"Agriculture, Forestry and Fishing",305
EU,2018,"Agriculture, Forestry and Fishing",350
EU,2002,"Basic Metals and Fabricated Metal Products, Except Machinery",165
EU,2003,"Basic Metals and Fabricated Metal Products, Except Machinery",180
EU,2004,"Basic Metals and Fabricated Metal Products, Except Machinery",215
EU,2005,"Basic Metals and Fabricated Metal Products, Except Machinery",210
EU,2006,"Basic Metals and Fabricated Metal Products, Except Machinery",260
EU,2007,"Basic Metals and Fabricated Metal Products, Except Machinery",295
EU,2008,"Basic Metals and Fabricated Metal Products, Except Machinery",345
EU,2009,"Basic Metals and Fabricated Metal Products, Except Machinery",320
EU,2010,"Basic Metals and Fabricated Metal Products, Except Machinery",235
EU,2011,"Basic Metals and Fabricated Metal Products, Except Machinery",270
EU,2012,"Basic Metals and Fabricated Metal Products, Except Machinery",245
EU,2013,"Basic Metals and Fabricated Metal Products, Except Machinery",270
EU,2014,"Basic Metals and Fabricated Metal Products, Except Machinery",335
EU,2015,"Basic Metals and Fabricated Metal Products, Except Machinery",315
EU,2016,"Basic Metals and Fabricated Metal Products, Except Machinery",340
EU,2017,"Basic Metals and Fabricated Metal Products, Except Machinery",255
EU,2018,"Basic Metals and Fabricated Metal Products, Except Machinery",290
EU,2002,Basic Pharmaceuticals and Their Products,220
EU,2003,Basic Pharmaceuticals and Their Products,205
EU,2004,Basic Pharmaceuticals and Their Products,160
EU,2005,Basic Pharmaceuticals and Their Products,175
EU,2006,Basic Pharmaceuticals and Their Products,155
EU,2007,Basic Pharmaceuticals and Their Products,155
EU,2008,Basic Pharmaceuticals and Their Products,285
EU,2009,Basic Pharmaceuticals and Their Products,220
EU,2010,Basic Pharmaceuticals and Their Products,260
EU,2011,Basic Pharmaceuticals and Their Products,260
EU,2012,Basic Pharmaceuticals and Their Products,200
EU,2013,Basic Pharmaceuticals and Their Products,185
EU,2014,Basic Pharmaceuticals and Their Products,200
EU,2015,Basic Pharmaceuticals and Their Products,225
EU,2016,Basic Pharmaceuticals and Their Products,220
EU,2017,Basic Pharmaceuticals and Their Products,300
EU,2018,Basic Pharmaceuticals and Their Products,310
EU,2002,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",1520
EU,2003,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",1580
EU,2004,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",1660
EU,2005,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",1695
EU,2006,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",1935
EU,2007,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2065
EU,2008,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2540
EU,2009,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",1895
EU,2010,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2145
EU,2011,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2975
EU,2012,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2455
EU,2013,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2525
EU,2014,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",1765
EU,2015,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2230
EU,2016,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2430
EU,2017,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",3275
EU,2018,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",3445
EU,2002,"Computer, Electronic and Optical Products",3810
EU,2003,"Computer, Electronic and Optical Products",2885
EU,2004,"Computer, Electronic and Optical Products",2185
EU,2005,"Computer, Electronic and Optical Products",1180
EU,2006,"Computer, Electronic and Optical Products",1065
EU,2007,"Computer, Electronic and Optical Products",770
EU,2008,"Computer, Electronic and Optical Products",690
EU,2009,"Computer, Electronic and Optical Products",685
EU,2010,"Computer, Electronic and Optical Products",655
EU,2011,"Computer, Electronic and Optical Products",720
EU,2012,"Computer, Electronic and Optical Products",735
EU,2013,"Computer, Electronic and Optical Products",930
EU,2014,"Computer, Electronic and Optical Products",565
EU,2015,"Computer, Electronic and Optical Products",750
EU,2016,"Computer, Electronic and Optical Products",750
EU,2017,"Computer, Electronic and Optical Products",1030
EU,2018,"Computer, Electronic and Optical Products",1155
EU,2002,Construction,45
EU,2003,Construction,45
EU,2004,Construction,30
EU,2005,Construction,35
EU,2006,Construction,40
EU,2007,Construction,80
EU,2008,Construction,95
EU,2009,Construction,80
EU,2010,Construction,75
EU,2011,Construction,45
EU,2012,Construction,50
EU,2013,Construction,50
EU,2014,Construction,70
EU,2015,Construction,55
EU,2016,Construction,80
EU,2017,Construction,85
EU,2018,Construction,90
EU,2002,Education,60
EU,2003,Education,65
EU,2004,Education,70
EU,2005,Education,80
EU,2006,Education,90
EU,2007,Education,95
EU,2008,Education,120
EU,2009,Education,150
EU,2010,Education,165
EU,2011,Education,185
EU,2012,Education,210
EU,2013,Education,240
EU,2014,Education,260
EU,2015,Education,290
EU,2016,Education,295
EU,2017,Education,285
EU,2018,Education,290
EU,2002,Electrical Equipment,385
EU,2003,Electrical Equipment,315
EU,2004,Electrical Equipment,295
EU,2005,Electrical Equipment,275
EU,2006,Electrical Equipment,285
EU,2007,Electrical Equipment,250
EU,2008,Electrical Equipment,240
EU,2009,Electrical Equipment,250
EU,2010,Electrical Equipment,185
EU,2011,Electrical Equipment,210
EU,2012,Electrical Equipment,160
EU,2013,Electrical Equipment,140
EU,2014,Electrical Equipment,145
EU,2015,Electrical Equipment,140
EU,2016,Electrical Equipment,130
EU,2017,Electrical Equipment,145
EU,2018,Electrical Equipment,150
