Year,Sector,Value
2002,Accommodation and Food Services (Section I),655
2003,Accommodation and Food Services (Section I),940
2004,Accommodation and Food Services (Section I),1105
2005,Accommodation and Food Services (Section I),1030
2006,Accommodation and Food Services (Section I),1175
2007,Accommodation and Food Services (Section I),1120
2008,Accommodation and Food Services (Section I),1095
2009,Accommodation and Food Services (Section I),1125
2010,Accommodation and Food Services (Section I),1220
2011,Accommodation and Food Services (Section I),1235
2012,Accommodation and Food Services (Section I),1265
2013,Accommodation and Food Services (Section I),1085
2014,Accommodation and Food Services (Section I),1235
2015,Accommodation and Food Services (Section I),1030
2016,Accommodation and Food Services (Section I),955
2017,Accommodation and Food Services (Section I),915
2018,Accommodation and Food Services (Section I),1080
2019,Accommodation and Food Services (Section I),1170
2002,Administrative and Support Services (Section N),1485
2003,Administrative and Support Services (Section N),1875
2004,Administrative and Support Services (Section N),1870
2005,Administrative and Support Services (Section N),2295
2006,Administrative and Support Services (Section N),2185
2007,Administrative and Support Services (Section N),2940
2008,Administrative and Support Services (Section N),2895
2009,Administrative and Support Services (Section N),3005
2010,Administrative and Support Services (Section N),2435
2011,Administrative and Support Services (Section N),2100
2012,Administrative and Support Services (Section N),3065
2013,Administrative and Support Services (Section N),3935
2014,Administrative and Support Services (Section N),4385
2015,Administrative and Support Services (Section N),3560
2016,Administrative and Support Services (Section N),3485
2017,Administrative and Support Services (Section N),3095
2018,Administrative and Support Services (Section N),2940
2019,Administrative and Support Services (Section N),2920
2002,"Agriculture, Forestry and Fishing (Section A)",695
2003,"Agriculture, Forestry and Fishing (Section A)",570
2004,"Agriculture, Forestry and Fishing (Section A)",670
2005,"Agriculture, Forestry and Fishing (Section A)",715
2006,"Agriculture, Forestry and Fishing (Section A)",720
2007,"Agriculture, Forestry and Fishing (Section A)",755
2008,"Agriculture, Forestry and Fishing (Section A)",815
2009,"Agriculture, Forestry and Fishing (Section A)",990
2010,"Agriculture, Forestry and Fishing (Section A)",965
2011,"Agriculture, Forestry and Fishing (Section A)",1005
2012,"Agriculture, Forestry and Fishing (Section A)",1050
2013,"Agriculture, Forestry and Fishing (Section A)",950
2014,"Agriculture, Forestry and Fishing (Section A)",1080
2015,"Agriculture, Forestry and Fishing (Section A)",970
2016,"Agriculture, Forestry and Fishing (Section A)",1095
2017,"Agriculture, Forestry and Fishing (Section A)",1355
2018,"Agriculture, Forestry and Fishing (Section A)",1500
2019,"Agriculture, Forestry and Fishing (Section A)",1790
2002,"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",1305
2003,"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",1080
2004,"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",1045
2005,"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",1200
2006,"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",1405
2007,"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",1580
2008,"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",1685
2009,"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",1625
2010,"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",1485
2011,"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",1490
2012,"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",1525
2013,"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",1510
2014,"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",1395
2015,"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",1900
2016,"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",1845
2017,"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",1605
2018,"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",1580
2019,"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",1445
2002,Basic Pharmaceuticals and Their Products (Section CF),450
2003,Basic Pharmaceuticals and Their Products (Section CF),580
2004,Basic Pharmaceuticals and Their Products (Section CF),480
2005,Basic Pharmaceuticals and Their Products (Section CF),475
2006,Basic Pharmaceuticals and Their Products (Section CF),425
2007,Basic Pharmaceuticals and Their Products (Section CF),560
2008,Basic Pharmaceuticals and Their Products (Section CF),675
2009,Basic Pharmaceuticals and Their Products (Section CF),530
2010,Basic Pharmaceuticals and Their Products (Section CF),605
2011,Basic Pharmaceuticals and Their Products (Section CF),590
2012,Basic Pharmaceuticals and Their Products (Section CF),480
2013,Basic Pharmaceuticals and Their Products (Section CF),445
2014,Basic Pharmaceuticals and Their Products (Section CF),540
2015,Basic Pharmaceuticals and Their Products (Section CF),585
2016,Basic Pharmaceuticals and Their Products (Section CF),485
2017,Basic Pharmaceuticals and Their Products (Section CF),535
2018,Basic Pharmaceuticals and Their Products (Section CF),570
2019,Basic Pharmaceuticals and Their Products (Section CF),505
2002,"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",2620
2003,"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",2760
2004,"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",2715
2005,"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",2660
2006,"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",2735
2007,"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",3975
2008,"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",4775
2009,"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",4235
2010,"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",4865
2011,"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",5260
2012,"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",4520
2013,"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",4415
2014,"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",3315
2015,"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",3835
2016,"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",3995
2017,"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",5395
2018,"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",5810
2019,"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",5395
2002,"Computer, Electronic and Optical Products (Section CI)",6625
2003,"Computer, Electronic and Optical Products (Section CI)",5385
2004,"Computer, Electronic and Optical Products (Section CI)",4235
2005,"Computer, Electronic and Optical Products (Section CI)",2970
2006,"Computer, Electronic and Optical Products (Section CI)",2635
2007,"Computer, Electronic and Optical Products (Section CI)",2305
2008,"Computer, Electronic and Optical Products (Section CI)",2225
2009,"Computer, Electronic and Optical Products (Section CI)",2125
2010,"Computer, Electronic and Optical Products (Section CI)",2015
2011,"Computer, Electronic and Optical Products (Section CI)",2025
2012,"Computer, Electronic and Optical Products (Section CI)",2070
2013,"Computer, Electronic and Optical Products (Section CI)",2175
2014,"Computer, Electronic and Optical Products (Section CI)",1845
2015,"Computer, Electronic and Optical Products (Section CI)",1905
2016,"Computer, Electronic and Optical Products (Section CI)",2160
2017,"Computer, Electronic and Optical Products (Section CI)",2590
2018,"Computer, Electronic and Optical Products (Section CI)",2645
2019,"Computer, Electronic and Optical Products (Section CI)",2545
2002,Construction (Section F),1850
2003,Construction (Section F),2145
2004,Construction (Section F),2450
2005,Construction (Section F),1880
2006,Construction (Section F),1915
2007,Construction (Section F),2070
2008,Construction (Section F),2405
2009,Construction (Section F),1775
2010,Construction (Section F),1595
2011,Construction (Section F),1570
2012,Construction (Section F),1690
2013,Construction (Section F),1945
2014,Construction (Section F),1745
2015,Construction (Section F),1600
2016,Construction (Section F),2035
2017,Construction (Section F),1940
2018,Construction (Section F),1835
2019,Construction (Section F),1860
2002,Education (Section P),450
2003,Education (Section P),445
2004,Education (Section P),490
2005,Education (Section P),510
2006,Education (Section P),555
2007,Education (Section P),620
2008,Education (Section P),740
2009,Education (Section P),780
2010,Education (Section P),880
2011,Education (Section P),990
2012,Education (Section P),1050
2013,Education (Section P),1060
2014,Education (Section P),1175
2015,Education (Section P),1265
2016,Education (Section P),1300
2017,Education (Section P),1305
2018,Education (Section P),1390
2019,Education (Section P),1530
2002,Electrical Equipment (Section CJ),965
2003,Electrical Equipment (Section CJ),790
2004,Electrical Equipment (Section CJ),720
2005,Electrical Equipment (Section CJ),640
2006,Electrical Equipment (Section CJ),645
2007,Electrical Equipment (Section CJ),540
2008,Electrical Equipment (Section CJ),550
2009,Electrical Equipment (Section CJ),635
2010,Electrical Equipment (Section CJ),530
2011,Electrical Equipment (Section CJ),555
2012,Electrical Equipment (Section CJ),480
2013,Electrical Equipment (Section CJ),540
2014,Electrical Equipment (Section CJ),605
2015,Electrical Equipment (Section CJ),495
2016,Electrical Equipment (Section CJ),455
2017,Electrical Equipment (Section CJ),360
2018,Electrical Equipment (Section CJ),360
2019,Electrical Equipment (Section CJ),460
2002,Financial and Insurance (Section K),5245
2003,Financial and Insurance (Section K),6400
2004,Financial and Insurance (Section K),9085
2005,Financial and Insurance (Section K),7775
2006,Financial and Insurance (Section K),9540
2007,Financial and Insurance (Section K),11725
2008,Financial and Insurance (Section K),11570
2009,Financial and Insurance (Section K),10640
2010,Financial and Insurance (Section K),11425
2011,Financial and Insurance (Section K),10115
2012,Financial and Insurance (Section K),8955
2013,Financial and Insurance (Section K),8930
2014,Financial and Insurance (Section K),8965
2015,Financial and Insurance (Section K),9650
2016,Financial and Insurance (Section K),9560
2017,Financial and Insurance (Section K),12510
2018,Financial and Insurance (Section K),11605
2019,Financial and Insurance (Section K),11485
2002,"Food Products, Beverages and Tobacco Products (Section CA)",5620
2003,"Food Products, Beverages and Tobacco Products (Section CA)",5640
2004,"Food Products, Beverages and Tobacco Products (Section CA)",5570
2005,"Food Products, Beverages and Tobacco Products (Section CA)",6025
2006,"Food Products, Beverages and Tobacco Products (Section CA)",6105
2007,"Food Products, Beverages and Tobacco Products (Section CA)",6495
2008,"Food Products, Beverages and Tobacco Products (Section CA)",6735
2009,"Food Products, Beverages and Tobacco Products (Section CA)",7180
2010,"Food Products, Beverages and Tobacco Products (Section CA)",8250
2011,"Food Products, Beverages and Tobacco Products (Section CA)",9120
2012,"Food Products, Beverages and Tobacco Products (Section CA)",9450
2013,"Food Products, Beverages and Tobacco Products (Section CA)",9645
2014,"Food Products, Beverages and Tobacco Products (Section CA)",9065
2015,"Food Products, Beverages and Tobacco Products (Section CA)",9080
2016,"Food Products, Beverages and Tobacco Products (Section CA)",9090
