Year,Figure,Indicator
1994,100,Marine abundance
1995,103.7,Marine abundance
1996,104.7,Marine abundance
1997,105.2,Marine abundance
1998,103.1,Marine abundance
1999,100.5,Marine abundance
2000,97.2,Marine abundance
2001,93.4,Marine abundance
2002,88.3,Marine abundance
2003,84.5,Marine abundance
2004,79.3,Marine abundance
2005,76.9,Marine abundance
2006,75.1,Marine abundance
2007,72.2,Marine abundance
2008,69.4,Marine abundance
2009,68.2,Marine abundance
2010,65.5,Marine abundance
2011,61.1,Marine abundance
2012,60.5,Marine abundance
2013,60.6,Marine abundance
2014,62.2,Marine abundance
2015,62,Marine abundance
2016,63.7,Marine abundance
2017,64.1,Marine abundance
2018,64.6,Marine abundance
1994,100,Terrestrial abundance
1995,114.8,Terrestrial abundance
1996,113.5,Terrestrial abundance
1997,102.7,Terrestrial abundance
1998,92.7,Terrestrial abundance
1999,88.3,Terrestrial abundance
2000,91.3,Terrestrial abundance
2001,97.5,Terrestrial abundance
2002,103.9,Terrestrial abundance
2003,110,Terrestrial abundance
2004,111.8,Terrestrial abundance
2005,107.8,Terrestrial abundance
2006,101.4,Terrestrial abundance
2007,97.3,Terrestrial abundance
2008,97.4,Terrestrial abundance
2009,99.1,Terrestrial abundance
2010,97.6,Terrestrial abundance
2011,91,Terrestrial abundance
2012,83.2,Terrestrial abundance
2013,78.3,Terrestrial abundance
2014,75.2,Terrestrial abundance
2015,72.2,Terrestrial abundance
2016,68.7,Terrestrial abundance
1994,100,Terrestrial occupancy 
1995,104.9,Terrestrial occupancy 
1996,108.8,Terrestrial occupancy 
1997,112.1,Terrestrial occupancy 
1998,114.6,Terrestrial occupancy 
1999,116.8,Terrestrial occupancy 
2000,118.8,Terrestrial occupancy 
2001,120.6,Terrestrial occupancy 
2002,122.2,Terrestrial occupancy 
2003,123.9,Terrestrial occupancy 
2004,125.5,Terrestrial occupancy 
2005,126.9,Terrestrial occupancy 
2006,127.8,Terrestrial occupancy 
2007,128.2,Terrestrial occupancy 
2008,128,Terrestrial occupancy 
2009,127.7,Terrestrial occupancy 
2010,127,Terrestrial occupancy 
2011,125.7,Terrestrial occupancy 
2012,124.2,Terrestrial occupancy 
2013,123.3,Terrestrial occupancy 
2014,123,Terrestrial occupancy 
2015,123,Terrestrial occupancy 
2016,124,Terrestrial occupancy 
