Age,Year,Value
0 years,2002,285
0 years,2003,242
0 years,2004,296
0 years,2005,461
0 years,2006,438
0 years,2007,500
0 years,2008,540
0 years,2009,580
0 years,2010,643
0 years,2011,559
0 years,2012,385
0 years,2013,324
0 years,2014,336
0 years,2015,371
0 years,2016,405
0 years,2017,327
0 years,2018,282
1 year,2002,439
1 year,2003,342
1 year,2004,422
1 year,2005,590
1 year,2006,615
1 year,2007,676
1 year,2008,685
1 year,2009,695
1 year,2010,720
1 year,2012,530
1 year,2013,389
1 year,2014,518
1 year,2015,555
1 year,2016,601
1 year,2017,487
1 year,2018,443
10 years,2002,187
10 years,2003,163
10 years,2004,182
10 years,2005,278
10 years,2006,241
10 years,2007,335
10 years,2008,319
10 years,2009,295
10 years,2010,286
10 years,2012,187
10 years,2013,163
10 years,2014,198
10 years,2015,238
10 years,2016,304
10 years,2017,233
11 years,2002,204
11 years,2003,165
11 years,2004,173
11 years,2005,249
11 years,2006,250
11 years,2007,278
11 years,2008,311
11 years,2009,261
11 years,2010,269
11 years,2012,186
11 years,2013,154
11 years,2014,185
11 years,2015,226
11 years,2016,245
11 years,2017,232
11 years,2018,211
12 years,2002,181
12 years,2003,164
12 years,2004,158
12 years,2005,238
12 years,2006,249
12 years,2007,289
12 years,2008,262
12 years,2009,223
12 years,2010,234
12 years,2012,195
12 years,2013,155
12 years,2014,186
12 years,2015,191
12 years,2016,253
12 years,2017,197
12 years,2018,217
13 years,2002,206
13 years,2003,170
13 years,2004,156
13 years,2005,230
13 years,2006,232
13 years,2007,263
13 years,2008,288
13 years,2009,281
13 years,2010,263
13 years,2012,187
13 years,2013,152
13 years,2014,177
13 years,2015,196
13 years,2016,230
13 years,2017,210
13 years,2018,208
14 years,2002,262
14 years,2003,212
14 years,2004,190
14 years,2005,281
14 years,2006,257
14 years,2007,285
14 years,2008,305
14 years,2009,257
14 years,2010,254
14 years,2012,219
14 years,2013,161
14 years,2014,210
14 years,2015,236
14 years,2016,245
14 years,2017,207
14 years,2018,207
15 years,2002,255
15 years,2003,241
15 years,2004,220
15 years,2005,261
15 years,2006,250
15 years,2007,293
15 years,2008,281
15 years,2009,288
15 years,2010,311
15 years,2012,187
15 years,2013,182
15 years,2014,219
15 years,2015,257
15 years,2016,262
15 years,2017,238
15 years,2018,227
16 years,2002,407
16 years,2003,346
16 years,2004,281
16 years,2005,358
16 years,2006,367
16 years,2007,383
16 years,2008,338
16 years,2009,354
16 years,2010,324
16 years,2012,222
16 years,2013,191
16 years,2014,228
16 years,2015,282
16 years,2016,308
16 years,2017,269
16 years,2018,251
17 years,2002,424
17 years,2003,352
17 years,2004,340
17 years,2005,438
17 years,2006,398
17 years,2007,424
17 years,2008,381
17 years,2009,406
17 years,2010,399
17 years,2012,295
17 years,2013,246
17 years,2014,274
17 years,2015,281
17 years,2016,323
17 years,2017,330
17 years,2018,307
18 years,2002,547
18 years,2003,485
18 years,2004,475
18 years,2005,667
18 years,2006,600
18 years,2007,651
18 years,2008,775
18 years,2009,908
18 years,2010,977
18 years,2012,644
18 years,2013,550
18 years,2014,635
18 years,2015,731
18 years,2016,795
18 years,2017,733
18 years,2018,757
19 years,2002,917
19 years,2003,751
19 years,2004,905
19 years,2005,1234
19 years,2006,1190
19 years,2007,1436
19 years,2008,1414
19 years,2009,1644
19 years,2010,1979
19 years,2012,1684
19 years,2013,1312
19 years,2014,1471
19 years,2015,1712
19 years,2016,1822
19 years,2017,1580
19 years,2018,1673
2 years,2002,411
2 years,2003,364
2 years,2004,350
2 years,2005,515
2 years,2006,508
2 years,2007,613
2 years,2008,588
2 years,2009,574
2 years,2010,571
2 years,2011,560
2 years,2012,448
2 years,2013,370
2 years,2014,478
2 years,2015,511
2 years,2016,553
2 years,2017,417
2 years,2018,400
20 years,2002,1150
20 years,2003,1020
20 years,2004,1157
20 years,2005,1637
20 years,2006,1622
20 years,2007,1771
20 years,2008,1824
20 years,2009,1989
20 years,2010,2411
20 years,2012,1927
20 years,2013,1382
20 years,2014,1603
20 years,2015,1925
20 years,2016,1910
20 years,2017,1636
20 years,2018,1595
21 years,2002,1577
21 years,2003,1509
21 years,2004,1681
21 years,2005,2304
21 years,2006,2199
21 years,2007,2204
21 years,2008,2352
21 years,2009,2350
21 years,2010,2793
21 years,2012,1917
21 years,2013,1511
21 years,2014,1607
21 years,2015,2057
21 years,2016,1973
21 years,2017,1666
21 years,2018,1711
22 years,2002,1481
22 years,2003,1489
22 years,2004,1749
22 years,2005,2634
22 years,2006,2475
22 years,2007,2562
22 years,2008,2475
22 years,2009,2594
22 years,2010,3064
22 years,2012,2261
22 years,2013,1746
22 years,2014,1913
22 years,2015,2145
22 years,2016,2138
22 years,2017,1776
22 years,2018,1899
23 years,2002,1590
23 years,2003,1608
23 years,2004,1868
23 years,2005,2884
23 years,2006,2811
23 years,2007,2942
23 years,2008,2821
23 years,2009,2790
23 years,2010,3252
23 years,2012,2761
23 years,2013,1946
23 years,2014,2227
23 years,2015,2456
23 years,2016,2634
23 years,2017,2248
23 years,2018,2353
24 years,2002,1455
24 years,2003,1465
24 years,2004,1723
24 years,2005,2721
24 years,2006,2728
24 years,2007,2831
24 years,2008,2727
24 years,2009,2689
24 years,2010,2904
24 years,2012,2289
24 years,2013,1665
24 years,2014,1961
24 years,2015,2172
24 years,2016,2241
24 years,2017,1859
25 years,2002,1413
25 years,2003,1352
25 years,2004,1565
25 years,2005,2557
25 years,2006,2497
25 years,2007,2660
25 years,2008,2660
25 years,2009,2599
25 years,2010,2680
25 years,2012,1938
25 years,2013,1490
25 years,2014,1764
25 years,2015,2059
25 years,2016,2024
25 years,2017,1565
25 years,2018,1563
26 years,2002,1168
26 years,2003,1152
26 years,2004,1380
26 years,2005,2123
26 years,2006,2206
26 years,2007,2281
26 years,2008,2303
26 years,2009,2276
26 years,2010,2323
26 years,2012,1681
26 years,2013,1275
26 years,2014,1496
26 years,2015,1709
26 years,2016,1885
26 years,2017,1443
26 years,2018,1368
27 years,2002,1089
27 years,2003,1052
27 years,2004,1208
27 years,2005,1840
27 years,2006,1868
27 years,2007,2133
27 years,2008,2037
27 years,2009,2057
27 years,2010,2090
27 years,2012,1538
27 years,2013,1104
27 years,2014,1328
27 years,2015,1467
27 years,2016,1586
27 years,2017,1281
27 years,2018,1200
28 years,2002,975
28 years,2003,904
28 years,2004,1078
28 years,2005,1555
28 years,2006,1643
28 years,2007,1810
28 years,2008,1781
28 years,2009,1831
28 years,2010,1815
28 years,2012,1319
28 years,2013,1020
28 years,2014,1195
28 years,2015,1367
28 years,2016,1433
28 years,2017,1144
28 years,2018,1121
29 years,2002,860
29 years,2003,800
29 years,2004,869
29 years,2005,1332
29 years,2006,1369
29 years,2007,1517
29 years,2008,1549
29 years,2009,1547
29 years,2010,1525
29 years,2012,1165
29 years,2013,880
29 years,2014,1050
29 years,2015,1176
29 years,2016,1255
29 years,2017,1004
29 years,2018,966
3 years,2002,397
3 years,2003,324
3 years,2004,320
3 years,2005,501
3 years,2006,482
3 years,2007,595
3 years,2008,563
3 years,2009,500
3 years,2010,502
3 years,2011,499
3 years,2012,394
3 years,2013,340
3 years,2014,415
3 years,2015,447
3 years,2016,503
3 years,2017,384
30 years,2002,790
30 years,2003,738
30 years,2004,743
30 years,2005,1119
30 years,2006,1182
30 years,2007,1412
30 years,2008,1387
30 years,2009,1426
30 years,2010,1390
30 years,2012,1000
30 years,2013,830
30 years,2014,958
30 years,2015,1065
30 years,2016,1097
30 years,2017,879
30 years,2018,851
31 years,2002,671
31 years,2003,637
31 years,2004,711
31 years,2005,983
31 years,2006,977
31 years,2007,1151
31 years,2008,1196
31 years,2009,1164
31 years,2010,1139
31 years,2012,887
31 years,2013,685
31 years,2014,843
31 years,2015,951
31 years,2016,975
31 years,2017,739
31 years,2018,775
32 years,2002,625
32 years,2003,577
32 years,2004,617
32 years,2005,898
32 years,2006,887
32 years,2007,1041
32 years,2008,1001
32 years,2009,1011
32 years,2010,973
32 years,2012,792
32 years,2013,618
32 years,2014,763
32 years,2015,830
32 years,2016,913
32 years,2017,717
32 years,2018,715
33 years,2002,573
33 years,2003,535
33 years,2004,579
33 years,2005,780
33 years,2006,772
33 years,2007,892
33 years,2008,902
33 years,2009,889
33 years,2010,898
33 years,2012,663
33 years,2013,568
33 years,2014,670
33 years,2015,757
33 years,2016,835
33 years,2017,642
33 years,2018,639
34 years,2002,469
34 years,2003,461
34 years,2004,484
34 years,2005,736
34 years,2006,703
34 years,2007,779
34 years,2008,809
34 years,2009,754
34 years,2010,751
34 years,2012,532
34 years,2013,482
34 years,2014,601
34 years,2015,634
34 years,2016,723
34 years,2017,580
34 years,2018,581
35 years,2002,468
35 years,2003,425
35 years,2004,456
35 years,2005,615
35 years,2006,635
35 years,2007,684
35 years,2008,691
35 years,2009,718
35 years,2010,667
35 years,2012,520
35 years,2013,424
35 years,2014,557
35 years,2015,585
35 years,2016,683
35 years,2017,455
35 years,2018,526
36 years,2002,392
36 years,2003,368
36 years,2004,372
36 years,2005,525
36 years,2006,539
36 years,2007,614
36 years,2008,624
36 years,2009,552
36 years,2010,567
36 years,2012,437
36 years,2013,395
36 years,2014,505
36 years,2015,591
36 years,2016,591
36 years,2017,448
36 years,2018,478
37 years,2002,343
37 years,2003,303
37 years,2004,332
37 years,2005,522
37 years,2006,473
37 years,2007,482
37 years,2008,566
37 years,2009,541
37 years,2010,539
37 years,2012,399
37 years,2013,349
37 years,2014,424
37 years,2015,462
37 years,2016,542
37 years,2017,411
37 years,2018,419
38 years,2002,315
38 years,2003,287
38 years,2004,310
38 years,2005,436
38 years,2006,468
38 years,2007,463
38 years,2008,501
38 years,2009,488
38 years,2010,440
38 years,2012,354
38 years,2013,295
38 years,2014,380
38 years,2015,471
38 years,2016,470
38 years,2017,378
38 years,2018,374
39 years,2002,300
39 years,2003,263
39 years,2004,283
39 years,2005,387
39 years,2006,367
39 years,2007,433
39 years,2008,425
39 years,2009,431
39 years,2010,403
39 years,2012,324
39 years,2013,273
39 years,2014,347
39 years,2015,387
39 years,2016,421
39 years,2017,345
39 years,2018,332
4 years,2002,373
4 years,2003,354
4 years,2004,323
4 years,2005,492
4 years,2006,446
4 years,2007,533
4 years,2008,516
4 years,2009,482
4 years,2010,454
4 years,2013,352
4 years,2014,371
4 years,2015,404
4 years,2016,491
4 years,2017,367
40 years,2002,276
40 years,2003,249
40 years,2004,276
40 years,2005,372
40 years,2006,361
40 years,2007,371
40 years,2008,402
40 years,2009,398
40 years,2010,390
40 years,2012,314
40 years,2013,246
40 years,2014,309
40 years,2015,363
40 years,2016,402
40 years,2017,309
40 years,2018,311
41 years,2002,238
41 years,2003,197
41 years,2004,248
41 years,2005,347
41 years,2006,312
41 years,2007,335
41 years,2008,357
41 years,2009,315
41 years,2010,365
41 years,2012,256
41 years,2013,220
41 years,2014,280
41 years,2015,303
41 years,2016,358
41 years,2017,280
41 years,2018,290
42 years,2002,207
42 years,2003,180
42 years,2004,217
42 years,2005,298
42 years,2006,333
42 years,2007,345
42 years,2008,336
42 years,2009,296
42 years,2010,313
42 years,2012,237
42 years,2013,185
42 years,2014,270
42 years,2015,303
42 years,2016,317
42 years,2017,253
42 years,2018,253
43 years,2002,224
43 years,2003,177
43 years,2004,190
43 years,2005,280
43 years,2006,320
43 years,2007,311
43 years,2008,302
43 years,2009,319
43 years,2010,283
43 years,2012,224
43 years,2013,165
43 years,2014,224
43 years,2015,285
43 years,2016,298
43 years,2017,255
43 years,2018,244
44 years,2002,196
44 years,2003,145
44 years,2004,182
44 years,2005,283
44 years,2006,244
44 years,2007,289
44 years,2008,278
