Sex,Year,Value
All,2002,27800
All,2003,25500
All,2004,28500
All,2005,41800
All,2006,41300
All,2007,45100
All,2008,45200
All,2009,45100
All,2010,47400
All,2011,44200
All,2012,35900
All,2013,28200
All,2014,33200
All,2015,37800
All,2016,40400
All,2017,32900
All,2018,32919
Female,2002,13050
Female,2003,12177
Female,2004,14274
Female,2005,20624
Female,2006,20211
Female,2007,21529
Female,2008,21486
Female,2009,21526
Female,2010,22792
Female,2011,21632
Female,2012,18242
Female,2013,14286
Female,2014,16909
Female,2015,19138
Female,2016,20577
Female,2017,15369
Female,2018,15797
Male,2002,14750
Male,2003,13323
Male,2004,14226
Male,2005,21176
Male,2006,21089
Male,2007,23571
Male,2008,23714
Male,2009,23574
Male,2010,24608
Male,2011,22568
Male,2012,17658
Male,2013,13914
Male,2014,16291
Male,2015,18662
Male,2016,19823
Male,2017,17531
Male,2018,17122
