"Source","Year","Value"
"To-from Overseas",2011,27300
"To-from Overseas",2018,10919
"To-from Overseas",2020,7900
"To-from Overseas",2016,22900
"To-from Overseas",2014,8000
"To-from Overseas",2015,19600
"To-from Overseas",2007,24200
"To-from Overseas",2012,9700
"To-from Overseas",2005,12800
"To-from Overseas",2017,13400
"To-from Overseas",2004,3100
"To-from Overseas",2003,-1400
"To-from Overseas",2019,20200
"To-from Overseas",2006,9900
"To-from Overseas",2010,22800
"To-from Overseas",2008,14900
"To-from Overseas",2009,20300
"To-from Overseas",2002,1600
"To-from Overseas",2013,2100
"To-from Rest of UK",2017,10455
"To-from Rest of UK",2016,8793
"To-from Rest of UK",2018,9981
"To-from Rest of UK",2005,12507
"To-from Rest of UK",2007,8849
"To-from Rest of UK",2013,7862
"To-from Rest of UK",2014,9585
"To-from Rest of UK",2006,8922
"To-from Rest of UK",2015,8368
"To-from Rest of UK",2020,8982
"To-from Rest of UK",2012,3038
"To-from Rest of UK",2008,11509
"To-from Rest of UK",2009,4122
"To-from Rest of UK",2003,7043
"To-from Rest of UK",2010,3275
"To-from Rest of UK",2004,15522
"To-from Rest of UK",2002,4696
"To-from Rest of UK",2011,2909
"To-from Rest of UK",2019,10046
