"Employees","Year","Value"
"0",2010,129
"0",2011,130
"0",2012,130
"0",2013,134
"0",2014,138
"0",2015,141
"0",2016,149
"0",2017,153
"0",2018,150
"0",2019,153
"0",2020,154
"10-19",2010,23
"10-19",2011,22
"10-19",2012,23
"10-19",2013,24
"10-19",2014,25
"10-19",2015,25
"10-19",2016,25
"10-19",2017,25
"10-19",2018,25
"10-19",2019,25
"10-19",2020,25
"1-4",2010,140
"1-4",2011,137
"1-4",2012,144
"1-4",2013,138
"1-4",2014,143
"1-4",2015,144
"1-4",2016,145
"1-4",2017,144
"1-4",2018,144
"1-4",2019,145
"1-4",2020,145
"20-49",2010,11
"20-49",2011,11
"20-49",2012,10
"20-49",2013,11
"20-49",2014,11
"20-49",2015,11
"20-49",2016,11
"20-49",2017,12
"20-49",2018,12
"20-49",2019,12
"20-49",2020,12
"250+",2010,5
"250+",2011,5
"250+",2012,5
"250+",2013,5
"250+",2014,5
"250+",2015,5
"250+",2016,5
"250+",2017,5
"250+",2018,5
"250+",2019,5
"250+",2020,5
"50-249",2010,8
"50-249",2011,8
"50-249",2012,8
"50-249",2013,8
"50-249",2014,9
"50-249",2015,9
"50-249",2016,9
"50-249",2017,9
"50-249",2018,9
"50-249",2019,9
"50-249",2020,9
"5-9",2010,41
"5-9",2011,40
"5-9",2012,42
"5-9",2013,42
"5-9",2014,45
"5-9",2015,46
"5-9",2016,43
"5-9",2017,44
"5-9",2018,45
"5-9",2019,45
"5-9",2020,45
"All",2010,357
"All",2011,352
"All",2012,363
"All",2013,362
"All",2014,375
"All",2015,382
"All",2016,388
"All",2017,391
"All",2018,390
"All",2019,394
"All",2020,395
