"Year","Region","Value"
2010,"Abroad",5
2011,"Abroad",5
2012,"Abroad",5
2013,"Abroad",5
2014,"Abroad",5
2015,"Abroad",5
2016,"Abroad",5
2017,"Abroad",5
2018,"Abroad",6
2019,"Abroad",6
2020,"Abroad",7
2010,"Total UK",352
2011,"Total UK",348
2012,"Total UK",358
2013,"Total UK",358
2014,"Total UK",370
2015,"Total UK",377
2016,"Total UK",382
2017,"Total UK",386
2018,"Total UK",384
2019,"Total UK",387
2020,"Total UK",388
2010,"UK - RUK based",6
2011,"UK - RUK based",6
2012,"UK - RUK based",6
2013,"UK - RUK based",6
2014,"UK - RUK based",6
2015,"UK - RUK based",6
2016,"UK - RUK based",6
2017,"UK - RUK based",6
2018,"UK - RUK based",6
2019,"UK - RUK based",6
2020,"UK - RUK based",6
2010,"UK - Scotland based",346
2011,"UK - Scotland based",341
2012,"UK - Scotland based",352
2013,"UK - Scotland based",351
2014,"UK - Scotland based",364
2015,"UK - Scotland based",371
2016,"UK - Scotland based",376
2017,"UK - Scotland based",380
2018,"UK - Scotland based",378
2019,"UK - Scotland based",381
2020,"UK - Scotland based",382
2010,"All",357
2011,"All",352
2012,"All",363
2013,"All",362
2014,"All",375
2015,"All",382
2016,"All",388
2017,"All",391
2018,"All",390
2019,"All",394
2020,"All",395
