"Year","Sector","Value"
2010,"Agriculture, Forestry and Fishing",40
2011,"Agriculture, Forestry and Fishing",40
2012,"Agriculture, Forestry and Fishing",40
2013,"Agriculture, Forestry and Fishing",40
2014,"Agriculture, Forestry and Fishing",40
2015,"Agriculture, Forestry and Fishing",39
2016,"Agriculture, Forestry and Fishing",39
2017,"Agriculture, Forestry and Fishing",38
2018,"Agriculture, Forestry and Fishing",39
2019,"Agriculture, Forestry and Fishing",39
2020,"Agriculture, Forestry and Fishing",38
2010,"Mining and Quarrying",1
2011,"Mining and Quarrying",1
2012,"Mining and Quarrying",1
2013,"Mining and Quarrying",1
2014,"Mining and Quarrying",1
2015,"Mining and Quarrying",1
2016,"Mining and Quarrying",1
2017,"Mining and Quarrying",1
2018,"Mining and Quarrying",1
2019,"Mining and Quarrying",1
2020,"Mining and Quarrying",1
2010,"Manufacturing",20
2011,"Manufacturing",19
2012,"Manufacturing",19
2013,"Manufacturing",19
2014,"Manufacturing",19
2015,"Manufacturing",20
2016,"Manufacturing",20
2017,"Manufacturing",21
2018,"Manufacturing",21
2019,"Manufacturing",21
2020,"Manufacturing",21
2010,"Electricity, gas, steam and air conditioning supply",0
2011,"Electricity, gas, steam and air conditioning supply",0
2012,"Electricity, gas, steam and air conditioning supply",0
2013,"Electricity, gas, steam and air conditioning supply",1
2014,"Electricity, gas, steam and air conditioning supply",1
2015,"Electricity, gas, steam and air conditioning supply",1
2016,"Electricity, gas, steam and air conditioning supply",1
2017,"Electricity, gas, steam and air conditioning supply",1
2018,"Electricity, gas, steam and air conditioning supply",2
2019,"Electricity, gas, steam and air conditioning supply",2
2020,"Electricity, gas, steam and air conditioning supply",2
2010,"Water supply; Sewerage, waste management and remediation activities",1
2011,"Water supply; Sewerage, waste management and remediation activities",1
2012,"Water supply; Sewerage, waste management and remediation activities",1
2013,"Water supply; Sewerage, waste management and remediation activities",1
2014,"Water supply; Sewerage, waste management and remediation activities",1
2015,"Water supply; Sewerage, waste management and remediation activities",1
2016,"Water supply; Sewerage, waste management and remediation activities",1
2017,"Water supply; Sewerage, waste management and remediation activities",1
2018,"Water supply; Sewerage, waste management and remediation activities",1
2019,"Water supply; Sewerage, waste management and remediation activities",1
2020,"Water supply; Sewerage, waste management and remediation activities",1
2010,"Construction",44
2011,"Construction",42
2012,"Construction",42
2013,"Construction",41
2014,"Construction",41
2015,"Construction",42
2016,"Construction",43
2017,"Construction",44
2018,"Construction",45
2019,"Construction",46
2020,"Construction",46
2010,"Wholesale and retail trade; Repair of motor vehicles and motorcycles",59
2011,"Wholesale and retail trade; Repair of motor vehicles and motorcycles",58
2012,"Wholesale and retail trade; Repair of motor vehicles and motorcycles",58
2013,"Wholesale and retail trade; Repair of motor vehicles and motorcycles",56
2014,"Wholesale and retail trade; Repair of motor vehicles and motorcycles",56
2015,"Wholesale and retail trade; Repair of motor vehicles and motorcycles",55
2016,"Wholesale and retail trade; Repair of motor vehicles and motorcycles",54
2017,"Wholesale and retail trade; Repair of motor vehicles and motorcycles",54
2018,"Wholesale and retail trade; Repair of motor vehicles and motorcycles",53
2019,"Wholesale and retail trade; Repair of motor vehicles and motorcycles",53
2020,"Wholesale and retail trade; Repair of motor vehicles and motorcycles",53
2010,"Transportation and storage",12
2011,"Transportation and storage",12
2012,"Transportation and storage",11
2013,"Transportation and storage",11
2014,"Transportation and storage",11
2015,"Transportation and storage",12
2016,"Transportation and storage",12
2017,"Transportation and storage",13
2018,"Transportation and storage",13
2019,"Transportation and storage",13
2020,"Transportation and storage",14
2010,"Accommodation and food service activities",30
2011,"Accommodation and food service activities",29
2012,"Accommodation and food service activities",30
2013,"Accommodation and food service activities",29
2014,"Accommodation and food service activities",30
2015,"Accommodation and food service activities",30
2016,"Accommodation and food service activities",30
2017,"Accommodation and food service activities",30
2018,"Accommodation and food service activities",30
2019,"Accommodation and food service activities",31
2020,"Accommodation and food service activities",32
2010,"Information and communication",16
2011,"Information and communication",16
2012,"Information and communication",18
2013,"Information and communication",18
2014,"Information and communication",19
2015,"Information and communication",21
2016,"Information and communication",22
2017,"Information and communication",23
2018,"Information and communication",23
2019,"Information and communication",24
2020,"Information and communication",24
2010,"Financial and insurance activities",4
2011,"Financial and insurance activities",4
2012,"Financial and insurance activities",4
2013,"Financial and insurance activities",4
2014,"Financial and insurance activities",4
2015,"Financial and insurance activities",5
2016,"Financial and insurance activities",5
2017,"Financial and insurance activities",5
2018,"Financial and insurance activities",5
2019,"Financial and insurance activities",5
2020,"Financial and insurance activities",5
2010,"Real estate activities",11
2011,"Real estate activities",10
2012,"Real estate activities",11
2013,"Real estate activities",11
2014,"Real estate activities",12
2015,"Real estate activities",12
2016,"Real estate activities",12
2017,"Real estate activities",12
2018,"Real estate activities",12
2019,"Real estate activities",13
2020,"Real estate activities",13
2010,"Professional, scientific and technical activities",52
2011,"Professional, scientific and technical activities",54
2012,"Professional, scientific and technical activities",59
2013,"Professional, scientific and technical activities",63
2014,"Professional, scientific and technical activities",68
2015,"Professional, scientific and technical activities",72
2016,"Professional, scientific and technical activities",73
2017,"Professional, scientific and technical activities",73
2018,"Professional, scientific and technical activities",70
2019,"Professional, scientific and technical activities",70
2020,"Professional, scientific and technical activities",69
2010,"Administrative and support service activities",23
2011,"Administrative and support service activities",22
2012,"Administrative and support service activities",23
2013,"Administrative and support service activities",22
2014,"Administrative and support service activities",25
2015,"Administrative and support service activities",26
2016,"Administrative and support service activities",27
2017,"Administrative and support service activities",28
2018,"Administrative and support service activities",28
2019,"Administrative and support service activities",29
2020,"Administrative and support service activities",30
2010,"Education",4
2011,"Education",4
2012,"Education",4
2013,"Education",4
2014,"Education",4
2015,"Education",4
2016,"Education",4
2017,"Education",4
2018,"Education",4
2019,"Education",4
2020,"Education",4
2010,"Human health and social work activities",13
2011,"Human health and social work activities",14
2012,"Human health and social work activities",14
2013,"Human health and social work activities",14
2014,"Human health and social work activities",15
2015,"Human health and social work activities",15
2016,"Human health and social work activities",15
2017,"Human health and social work activities",15
2018,"Human health and social work activities",15
2019,"Human health and social work activities",15
2020,"Human health and social work activities",15
2010,"Arts, entertainment and recreation",9
2011,"Arts, entertainment and recreation",9
2012,"Arts, entertainment and recreation",9
2013,"Arts, entertainment and recreation",9
2014,"Arts, entertainment and recreation",9
2015,"Arts, entertainment and recreation",9
2016,"Arts, entertainment and recreation",9
2017,"Arts, entertainment and recreation",9
2018,"Arts, entertainment and recreation",9
2019,"Arts, entertainment and recreation",9
2020,"Arts, entertainment and recreation",9
2010,"Other service activities",20
2011,"Other service activities",19
2012,"Other service activities",20
2013,"Other service activities",19
2014,"Other service activities",19
2015,"Other service activities",19
2016,"Other service activities",19
2017,"Other service activities",19
2018,"Other service activities",19
2019,"Other service activities",19
2020,"Other service activities",19
2010,"All",357
2011,"All",352
2012,"All",363
2013,"All",362
2014,"All",375
2015,"All",382
2016,"All",388
2017,"All",391
2018,"All",390
2019,"All",394
2020,"All",395
