FeatureCode,DateCode,Measurement,Units,Value,Population Projection Variant,Age,Sex
S92000003,2022,Count,People,443975,EU migration 50%,Children (under 16 years),Female
S92000003,2039,Count,People,413914,EU migration 50%,Children (under 16 years),Male
S92000003,2022,Count,People,495323,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2022,Count,People,466651,EU migration 50%,Children (under 16 years),Male
S92000003,2039,Count,People,393970,EU migration 50%,Children (under 16 years),Female
S92000003,2039,Count,People,1654336,EU migration 50%,Working Age (16 - 64),Female
S92000003,2039,Count,People,1650441,EU migration 50%,Working Age (16 - 64),Male
S92000003,2039,Count,People,636956,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2021,Count,People,446211,EU migration 50%,Children (under 16 years),Female
S92000003,2021,Count,People,1767942,EU migration 50%,Working Age (16 - 64),Female
S92000003,2021,Count,People,1715006,EU migration 50%,Working Age (16 - 64),Male
S92000003,2021,Count,People,485764,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2022,Count,People,1763934,EU migration 50%,Working Age (16 - 64),Female
S92000003,2022,Count,People,598229,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2021,Count,People,589346,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2038,Count,People,1651087,EU migration 50%,Working Age (16 - 64),Male
S92000003,2038,Count,People,636185,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2037,Count,People,1653366,EU migration 50%,Working Age (16 - 64),Male
S92000003,2037,Count,People,633470,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2038,Count,People,394909,EU migration 50%,Children (under 16 years),Female
S92000003,2038,Count,People,414897,EU migration 50%,Children (under 16 years),Male
S92000003,2038,Count,People,758218,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2040,Count,People,413017,EU migration 50%,Children (under 16 years),Male
S92000003,2040,Count,People,1651851,EU migration 50%,Working Age (16 - 64),Female
S92000003,2039,Count,People,759455,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2040,Count,People,760286,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2037,Count,People,416032,EU migration 50%,Children (under 16 years),Male
S92000003,2037,Count,People,1661602,EU migration 50%,Working Age (16 - 64),Female
S92000003,2040,Count,People,393105,EU migration 50%,Children (under 16 years),Female
S92000003,2018,Count,People,566268,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2018,Count,People,471136,EU migration 50%,Children (under 16 years),Male
S92000003,2020,Count,People,476710,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2020,Count,People,470534,EU migration 50%,Children (under 16 years),Male
S92000003,2018,Count,People,448366,EU migration 50%,Children (under 16 years),Female
S92000003,2019,Count,People,448238,EU migration 50%,Children (under 16 years),Female
S92000003,2018,Count,People,1774715,EU migration 50%,Working Age (16 - 64),Female
S92000003,2019,Count,People,471274,EU migration 50%,Children (under 16 years),Male
S92000003,2019,Count,People,1716906,EU migration 50%,Working Age (16 - 64),Male
S92000003,2020,Count,People,447726,EU migration 50%,Children (under 16 years),Female
S92000003,2019,Count,People,468675,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2020,Count,People,1771558,EU migration 50%,Working Age (16 - 64),Female
S92000003,2020,Count,People,581215,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2020,Count,People,1716936,EU migration 50%,Working Age (16 - 64),Male
S92000003,2024,Count,People,436827,EU migration 50%,Children (under 16 years),Female
S92000003,2023,Count,People,505208,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2022,Count,People,1712259,EU migration 50%,Working Age (16 - 64),Male
S92000003,2024,Count,People,618382,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2023,Count,People,1709712,EU migration 50%,Working Age (16 - 64),Male
S92000003,2021,Count,People,468667,EU migration 50%,Children (under 16 years),Male
S92000003,2023,Count,People,463750,EU migration 50%,Children (under 16 years),Male
S92000003,2018,Count,People,1717769,EU migration 50%,Working Age (16 - 64),Male
S92000003,2018,Count,People,459846,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2019,Count,People,1773231,EU migration 50%,Working Age (16 - 64),Female
S92000003,2019,Count,People,574120,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2023,Count,People,1759453,EU migration 50%,Working Age (16 - 64),Female
S92000003,2023,Count,People,607948,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2023,Count,People,441116,EU migration 50%,Children (under 16 years),Female
S92000003,2031,Count,People,1680978,EU migration 50%,Working Age (16 - 64),Male
S92000003,2031,Count,People,591756,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2032,Count,People,1702961,EU migration 50%,Working Age (16 - 64),Female
S92000003,2032,Count,People,711873,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2036,Count,People,1668539,EU migration 50%,Working Age (16 - 64),Female
S92000003,2036,Count,People,748340,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2036,Count,People,397272,EU migration 50%,Children (under 16 years),Female
S92000003,2031,Count,People,701058,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2031,Count,People,428865,EU migration 50%,Children (under 16 years),Male
S92000003,2033,Count,People,609937,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2033,Count,People,422082,EU migration 50%,Children (under 16 years),Male
S92000003,2031,Count,People,407052,EU migration 50%,Children (under 16 years),Female
S92000003,2032,Count,People,403953,EU migration 50%,Children (under 16 years),Female
S92000003,2031,Count,People,1710904,EU migration 50%,Working Age (16 - 64),Female
S92000003,2034,Count,People,399785,EU migration 50%,Children (under 16 years),Female
S92000003,2034,Count,People,1685187,EU migration 50%,Working Age (16 - 64),Female
S92000003,2034,Count,People,1666236,EU migration 50%,Working Age (16 - 64),Male
S92000003,2034,Count,People,617458,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2035,Count,People,1677077,EU migration 50%,Working Age (16 - 64),Female
S92000003,2035,Count,People,740075,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2034,Count,People,732188,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2037,Count,People,395998,EU migration 50%,Children (under 16 years),Female
S92000003,2036,Count,People,629009,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2035,Count,People,1661624,EU migration 50%,Working Age (16 - 64),Male
S92000003,2037,Count,People,754641,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2036,Count,People,1657001,EU migration 50%,Working Age (16 - 64),Male
S92000003,2034,Count,People,419994,EU migration 50%,Children (under 16 years),Male
S92000003,2036,Count,People,417369,EU migration 50%,Children (under 16 years),Male
S92000003,2043,Count,People,391060,EU migration 50%,Children (under 16 years),Female
S92000003,2043,Count,People,1648016,EU migration 50%,Working Age (16 - 64),Female
S92000003,2043,Count,People,1652527,EU migration 50%,Working Age (16 - 64),Male
S92000003,2043,Count,People,633140,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2041,Count,People,760480,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2041,Count,People,392329,EU migration 50%,Children (under 16 years),Female
S92000003,2043,Count,People,757481,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2042,Count,People,1649453,EU migration 50%,Working Age (16 - 64),Female
S92000003,2042,Count,People,758560,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2038,Count,People,1656978,EU migration 50%,Working Age (16 - 64),Female
S92000003,2042,Count,People,1651641,EU migration 50%,Working Age (16 - 64),Male
S92000003,2042,Count,People,411497,EU migration 50%,Children (under 16 years),Male
S92000003,2043,Count,People,410877,EU migration 50%,Children (under 16 years),Male
