FeatureCode,DateCode,Measurement,Units,Value,Population Group,Housing Costs
S92000003,2009/10-2011/12,Count,People,570000,Working Age Adults,After Housing Costs
S92000003,2013/14-2015/16,Count,People,620000,Working Age Adults,After Housing Costs
S92000003,1998/99-2000/01,Count,People,610000,Working Age Adults,After Housing Costs
S92000003,2011/12-2013/14,Count,People,600000,Working Age Adults,After Housing Costs
S92000003,2013/14-2015/16,Ratio,Percentage Of People,19,Working Age Adults,After Housing Costs
S92000003,1997/98-1999/00,Count,People,570000,Working Age Adults,After Housing Costs
S92000003,2012/13-2014/15,Ratio,Percentage Of People,19,Working Age Adults,After Housing Costs
S92000003,2007/08-2009/10,Count,People,590000,Working Age Adults,After Housing Costs
S92000003,2014/15-2016/17,Ratio,Percentage Of People,19,Working Age Adults,After Housing Costs
S92000003,2015/16-2017/18,Ratio,Percentage Of People,20,Working Age Adults,After Housing Costs
S92000003,2006/07-2008/09,Count,People,950000,All,After Housing Costs
S92000003,2005/06-2007/08,Count,People,960000,All,After Housing Costs
S92000003,2001/02-2003/04,Count,People,580000,Working Age Adults,After Housing Costs
S92000003,2004/05-2006/07,Count,People,960000,All,After Housing Costs
S92000003,2002/03-2004/05,Count,People,580000,Working Age Adults,After Housing Costs
S92000003,1999/00-2001/02,Count,People,610000,Working Age Adults,After Housing Costs
S92000003,2010/11-2012/13,Count,People,590000,Working Age Adults,After Housing Costs
S92000003,2000/01-2002/03,Count,People,610000,Working Age Adults,After Housing Costs
S92000003,2003/04-2005/06,Count,People,570000,Working Age Adults,After Housing Costs
S92000003,2003/04-2005/06,Ratio,Percentage Of Children,25,Children,After Housing Costs
S92000003,2006/07-2008/09,Ratio,Percentage Of Children,25,Children,After Housing Costs
S92000003,2005/06-2007/08,Ratio,Percentage Of Children,24,Children,After Housing Costs
S92000003,2008/09-2010/11,Count,People,240000,Children,After Housing Costs
S92000003,2005/06-2007/08,Count,People,240000,Children,After Housing Costs
S92000003,2007/08-2009/10,Count,People,240000,Children,After Housing Costs
S92000003,2010/11-2012/13,Count,People,210000,Children,After Housing Costs
S92000003,2006/07-2008/09,Count,People,240000,Children,After Housing Costs
S92000003,2014/15-2016/17,Count,People,230000,Children,After Housing Costs
S92000003,2013/14-2015/16,Count,People,230000,Children,After Housing Costs
S92000003,2013/14-2015/16,Count,People,970000,All,After Housing Costs
S92000003,2009/10-2011/12,Count,People,910000,All,After Housing Costs
S92000003,2005/06-2007/08,Count,People,570000,Working Age Adults,After Housing Costs
S92000003,2012/13-2014/15,Count,People,960000,All,After Housing Costs
S92000003,2008/09-2010/11,Count,People,590000,Working Age Adults,After Housing Costs
S92000003,2006/07-2008/09,Count,People,570000,Working Age Adults,After Housing Costs
S92000003,2009/10-2011/12,Count,People,220000,Children,After Housing Costs
S92000003,2012/13-2014/15,Count,People,620000,Working Age Adults,After Housing Costs
S92000003,2004/05-2006/07,Count,People,570000,Working Age Adults,After Housing Costs
S92000003,2007/08-2009/10,Ratio,Percentage Of People,19,All,After Housing Costs
S92000003,2003/04-2005/06,Ratio,Percentage Of People,20,All,After Housing Costs
S92000003,2008/09-2010/11,Ratio,Percentage Of People,18,All,After Housing Costs
S92000003,1999/00-2001/02,Ratio,Percentage Of People,24,All,After Housing Costs
S92000003,2001/02-2003/04,Ratio,Percentage Of People,22,All,After Housing Costs
S92000003,1997/98-1999/00,Ratio,Percentage Of People,19,Working Age Adults,After Housing Costs
S92000003,2000/01-2002/03,Ratio,Percentage Of People,20,Working Age Adults,After Housing Costs
S92000003,1998/99-2000/01,Ratio,Percentage Of People,20,Working Age Adults,After Housing Costs
S92000003,2000/01-2002/03,Ratio,Percentage Of People,23,All,After Housing Costs
S92000003,1997/98-1999/00,Count,People,1150000,All,After Housing Costs
S92000003,2005/06-2007/08,Ratio,Percentage Of People,18,Working Age Adults,After Housing Costs
S92000003,2005/06-2007/08,Ratio,Percentage Of People,19,All,After Housing Costs
S92000003,2004/05-2006/07,Ratio,Percentage Of People,19,All,After Housing Costs
S92000003,1998/99-2000/01,Count,People,1180000,All,After Housing Costs
S92000003,2015/16-2017/18,Count,People,640000,Working Age Adults,After Housing Costs
S92000003,2002/03-2004/05,Ratio,Percentage Of People,19,Working Age Adults,After Housing Costs
S92000003,2004/05-2006/07,Ratio,Percentage Of People,18,Working Age Adults,After Housing Costs
S92000003,2006/07-2008/09,Ratio,Percentage Of People,19,All,After Housing Costs
S92000003,2006/07-2008/09,Ratio,Percentage Of People,18,Working Age Adults,After Housing Costs
S92000003,2000/01-2002/03,Count,People,1150000,All,After Housing Costs
S92000003,2007/08-2009/10,Count,People,960000,All,After Housing Costs
S92000003,2014/15-2016/17,Count,People,630000,Working Age Adults,After Housing Costs
S92000003,2001/02-2003/04,Count,People,1080000,All,After Housing Costs
S92000003,2003/04-2005/06,Count,People,980000,All,After Housing Costs
S92000003,2014/15-2016/17,Count,People,1000000,All,After Housing Costs
S92000003,2002/03-2004/05,Count,People,1030000,All,After Housing Costs
S92000003,2008/09-2010/11,Count,People,940000,All,After Housing Costs
S92000003,2010/11-2012/13,Count,People,920000,All,After Housing Costs
S92000003,2011/12-2013/14,Count,People,930000,All,After Housing Costs
S92000003,2009/10-2011/12,Ratio,Percentage Of People,18,Working Age Adults,After Housing Costs
S92000003,2010/11-2012/13,Ratio,Percentage Of People,19,Working Age Adults,After Housing Costs
S92000003,2003/04-2005/06,Ratio,Percentage Of People,19,Working Age Adults,After Housing Costs
S92000003,1999/00-2001/02,Ratio,Percentage Of People,20,Working Age Adults,After Housing Costs
S92000003,2001/02-2003/04,Ratio,Percentage Of People,19,Working Age Adults,After Housing Costs
S92000003,2011/12-2013/14,Ratio,Percentage Of People,19,Working Age Adults,After Housing Costs
S92000003,1999/00-2001/02,Count,People,1170000,All,After Housing Costs
S92000003,2007/08-2009/10,Ratio,Percentage Of People,19,Working Age Adults,After Housing Costs
S92000003,2008/09-2010/11,Ratio,Percentage Of People,19,Working Age Adults,After Housing Costs
S92000003,2007/08-2009/10,Count,People,130000,Pensioners,After Housing Costs
S92000003,2014/15-2016/17,Ratio,Percentage Of People,19,All,After Housing Costs
S92000003,2006/07-2008/09,Count,People,130000,Pensioners,After Housing Costs
S92000003,2015/16-2017/18,Count,People,1030000,All,After Housing Costs
S92000003,2002/03-2004/05,Ratio,Percentage Of People,21,All,After Housing Costs
S92000003,1997/98-1999/00,Ratio,Percentage Of People,23,All,After Housing Costs
S92000003,2009/10-2011/12,Count,People,120000,Pensioners,After Housing Costs
S92000003,2015/16-2017/18,Count,People,150000,Pensioners,After Housing Costs
S92000003,2013/14-2015/16,Count,People,130000,Pensioners,After Housing Costs
S92000003,2008/09-2010/11,Count,People,120000,Pensioners,After Housing Costs
S92000003,2005/06-2007/08,Count,People,150000,Pensioners,After Housing Costs
S92000003,1997/98-1999/00,Count,People,240000,Pensioners,After Housing Costs
S92000003,2009/10-2011/12,Ratio,Percentage Of People,18,All,After Housing Costs
S92000003,2012/13-2014/15,Count,People,120000,Pensioners,After Housing Costs
S92000003,2004/05-2006/07,Count,People,150000,Pensioners,After Housing Costs
S92000003,2015/16-2017/18,Ratio,Percentage Of People,20,All,After Housing Costs
S92000003,2011/12-2013/14,Ratio,Percentage Of People,18,All,After Housing Costs
S92000003,1998/99-2000/01,Count,People,230000,Pensioners,After Housing Costs
S92000003,2010/11-2012/13,Ratio,Percentage Of People,18,All,After Housing Costs
S92000003,2001/02-2003/04,Count,People,210000,Pensioners,After Housing Costs
S92000003,2013/14-2015/16,Ratio,Percentage Of Pensioners,12,Pensioners,After Housing Costs
S92000003,2003/04-2005/06,Count,People,160000,Pensioners,After Housing Costs
S92000003,2014/15-2016/17,Ratio,Percentage Of Pensioners,13,Pensioners,After Housing Costs
S92000003,2002/03-2004/05,Count,People,190000,Pensioners,After Housing Costs
S92000003,2013/14-2015/16,Ratio,Percentage Of People,19,All,After Housing Costs
S92000003,2012/13-2014/15,Ratio,Percentage Of Pensioners,12,Pensioners,After Housing Costs
S92000003,2012/13-2014/15,Ratio,Percentage Of People,18,All,After Housing Costs
S92000003,2008/09-2010/11,Ratio,Percentage Of Pensioners,12,Pensioners,After Housing Costs
S92000003,2009/10-2011/12,Ratio,Percentage Of Pensioners,12,Pensioners,After Housing Costs
S92000003,2015/16-2017/18,Ratio,Percentage Of Pensioners,15,Pensioners,After Housing Costs
S92000003,2010/11-2012/13,Ratio,Percentage Of Pensioners,12,Pensioners,After Housing Costs
S92000003,2007/08-2009/10,Ratio,Percentage Of Pensioners,13,Pensioners,After Housing Costs
S92000003,1998/99-2000/01,Ratio,Percentage Of People,24,All,After Housing Costs
S92000003,2011/12-2013/14,Ratio,Percentage Of Pensioners,12,Pensioners,After Housing Costs
S92000003,1997/98-1999/00,Ratio,Percentage Of Pensioners,28,Pensioners,After Housing Costs
S92000003,2004/05-2006/07,Ratio,Percentage Of Pensioners,16,Pensioners,After Housing Costs
S92000003,2003/04-2005/06,Ratio,Percentage Of Pensioners,17,Pensioners,After Housing Costs
S92000003,2005/06-2007/08,Ratio,Percentage Of Pensioners,15,Pensioners,After Housing Costs
S92000003,2001/02-2003/04,Ratio,Percentage Of Children,28,Children,After Housing Costs
S92000003,2002/03-2004/05,Ratio,Percentage Of Children,26,Children,After Housing Costs
S92000003,1999/00-2001/02,Ratio,Percentage Of Children,32,Children,After Housing Costs
S92000003,2008/09-2010/11,Ratio,Percentage Of Children,24,Children,After Housing Costs
S92000003,2007/08-2009/10,Ratio,Percentage Of Children,25,Children,After Housing Costs
S92000003,2014/15-2016/17,Ratio,Percentage Of Children,24,Children,After Housing Costs
S92000003,2015/16-2017/18,Ratio,Percentage Of Children,24,Children,After Housing Costs
S92000003,2011/12-2013/14,Ratio,Percentage Of Children,21,Children,After Housing Costs
S92000003,1998/99-2000/01,Ratio,Percentage Of Children,32,Children,After Housing Costs
S92000003,1997/98-1999/00,Ratio,Percentage Of Children,31,Children,After Housing Costs
