Performer,Year,Value
Business Enterprise,2008,0.45
Business Enterprise,2006,0.4
Business Enterprise,2009,0.51
Business Enterprise,2007,0.46
Business Enterprise,2003,0.46
Business Enterprise,2013,0.58
Business Enterprise,2011,0.54
Business Enterprise,2014,0.66
Business Enterprise,2012,0.54
Business Enterprise,2001,0.6
Business Enterprise,2002,0.56
Business Enterprise,2005,0.47
Business Enterprise,2016,0.72
Business Enterprise,2004,0.43
Business Enterprise,2017,0.8
Business Enterprise,2010,0.5
Business Enterprise,2015,0.65
Government incl. Research Councils,2014,0.11
Government incl. Research Councils,2009,0.15
Government incl. Research Councils,2008,0.14
Government incl. Research Councils,2013,0.11
Government incl. Research Councils,2011,0.13
Government incl. Research Councils,2017,0.11
Government incl. Research Councils,2010,0.14
Government incl. Research Councils,2016,0.11
Government incl. Research Councils,2015,0.11
Government incl. Research Councils,2012,0.11
Government incl. Research Councils,2001,0.16
Government incl. Research Councils,2003,0.18
Government incl. Research Councils,2004,0.17
Government incl. Research Councils,2002,0.16
Government incl. Research Councils,2006,0.15
Government incl. Research Councils,2007,0.17
Government incl. Research Councils,2005,0.17
Gross Expenditure on Research and Development,2011,1.39
Gross Expenditure on Research and Development,2003,1.26
Gross Expenditure on Research and Development,2015,1.49
Gross Expenditure on Research and Development,2013,1.43
Gross Expenditure on Research and Development,2001,1.34
Gross Expenditure on Research and Development,2005,1.25
Gross Expenditure on Research and Development,2014,1.48
Gross Expenditure on Research and Development,2004,1.2
Gross Expenditure on Research and Development,2009,1.39
Gross Expenditure on Research and Development,2006,1.2
Gross Expenditure on Research and Development,2017,1.63
Gross Expenditure on Research and Development,2010,1.37
Gross Expenditure on Research and Development,2002,1.37
Gross Expenditure on Research and Development,2016,1.53
Gross Expenditure on Research and Development,2012,1.35
Gross Expenditure on Research and Development,2007,1.25
Gross Expenditure on Research and Development,2008,1.28
Higher Education,2001,0.58
Higher Education,2008,0.69
Higher Education,2005,0.61
Higher Education,2003,0.62
Higher Education,2009,0.73
Higher Education,2010,0.73
Higher Education,2002,0.65
Higher Education,2007,0.63
Higher Education,2004,0.61
Higher Education,2006,0.65
Higher Education,2017,0.69
Higher Education,2016,0.68
Higher Education,2012,0.7
Higher Education,2011,0.71
Higher Education,2014,0.69
Higher Education,2015,0.71
Higher Education,2013,0.72
Private Non-Profit,2017,0.03
Private Non-Profit,2016,0.02
Private Non-Profit,2012,0.01
Private Non-Profit,2011,0.01
Private Non-Profit,2015,0.02
Private Non-Profit,2013,0.02
Private Non-Profit,2014,0.03
