"Year","Performer","Value"
2001,"Business Enterprise (BERD)",0.6
2001,"Government incl. Research Councils (GovERD)",0.16
2001,"Gross Expenditure on Research and Development (GERD)",1.33
2001,"Higher Education (HERD)",0.58
2002,"Business Enterprise (BERD)",0.56
2002,"Government incl. Research Councils (GovERD)",0.16
2002,"Gross Expenditure on Research and Development (GERD)",1.36
2002,"Higher Education (HERD)",0.64
2003,"Business Enterprise (BERD)",0.46
2003,"Government incl. Research Councils (GovERD)",0.17
2003,"Gross Expenditure on Research and Development (GERD)",1.25
2003,"Higher Education (HERD)",0.62
2004,"Business Enterprise (BERD)",0.42
2004,"Government incl. Research Councils (GovERD)",0.17
2004,"Gross Expenditure on Research and Development (GERD)",1.2
2004,"Higher Education (HERD)",0.6
2005,"Business Enterprise (BERD)",0.47
2005,"Government incl. Research Councils (GovERD)",0.17
2005,"Gross Expenditure on Research and Development (GERD)",1.24
2005,"Higher Education (HERD)",0.61
2006,"Business Enterprise (BERD)",0.4
2006,"Government incl. Research Councils (GovERD)",0.15
2006,"Gross Expenditure on Research and Development (GERD)",1.2
2006,"Higher Education (HERD)",0.65
2007,"Business Enterprise (BERD)",0.45
2007,"Government incl. Research Councils (GovERD)",0.17
2007,"Gross Expenditure on Research and Development (GERD)",1.24
2007,"Higher Education (HERD)",0.63
2008,"Business Enterprise (BERD)",0.45
2008,"Government incl. Research Councils (GovERD)",0.14
2008,"Gross Expenditure on Research and Development (GERD)",1.28
2008,"Higher Education (HERD)",0.69
2009,"Business Enterprise (BERD)",0.51
2009,"Government incl. Research Councils (GovERD)",0.15
2009,"Gross Expenditure on Research and Development (GERD)",1.39
2009,"Higher Education (HERD)",0.73
2010,"Business Enterprise (BERD)",0.5
2010,"Government incl. Research Councils (GovERD)",0.14
2010,"Gross Expenditure on Research and Development (GERD)",1.37
2010,"Higher Education (HERD)",0.73
2011,"Business Enterprise (BERD)",0.54
2011,"Government incl. Research Councils (GovERD)",0.13
2011,"Gross Expenditure on Research and Development (GERD)",1.4
2011,"Higher Education (HERD)",0.71
2011,"Private Non-Profit (PNP)",0.01
2012,"Business Enterprise (BERD)",0.53
2012,"Government incl. Research Councils (GovERD)",0.11
2012,"Gross Expenditure on Research and Development (GERD)",1.35
2012,"Higher Education (HERD)",0.7
2012,"Private Non-Profit (PNP)",0.01
2013,"Business Enterprise (BERD)",0.58
2013,"Government incl. Research Councils (GovERD)",0.11
2013,"Gross Expenditure on Research and Development (GERD)",1.43
2013,"Higher Education (HERD)",0.72
2013,"Private Non-Profit (PNP)",0.02
2014,"Business Enterprise (BERD)",0.66
2014,"Government incl. Research Councils (GovERD)",0.11
2014,"Gross Expenditure on Research and Development (GERD)",1.48
2014,"Higher Education (HERD)",0.69
2014,"Private Non-Profit (PNP)",0.03
2015,"Business Enterprise (BERD)",0.65
2015,"Government incl. Research Councils (GovERD)",0.11
2015,"Gross Expenditure on Research and Development (GERD)",1.49
2015,"Higher Education (HERD)",0.72
2015,"Private Non-Profit (PNP)",0.02
2016,"Business Enterprise (BERD)",0.7
2016,"Government incl. Research Councils (GovERD)",0.11
2016,"Gross Expenditure on Research and Development (GERD)",1.5
2016,"Higher Education (HERD)",0.68
2016,"Private Non-Profit (PNP)",0.02
2017,"Business Enterprise (BERD)",0.8
2017,"Government incl. Research Councils (GovERD)",0.12
2017,"Gross Expenditure on Research and Development (GERD)",1.62
2017,"Higher Education (HERD)",0.68
2017,"Private Non-Profit (PNP)",0.02
2018,"Business Enterprise (BERD)",0.83
2018,"Government incl. Research Councils (GovERD)",0.12
2018,"Gross Expenditure on Research and Development (GERD)",1.66
2018,"Higher Education (HERD)",0.69
2018,"Private Non-Profit (PNP)",0.03
2019,"Business Enterprise (BERD)",0.84
2019,"Government incl. Research Councils (GovERD)",0.11
2019,"Gross Expenditure on Research and Development (GERD)",1.66
2019,"Higher Education (HERD)",0.69
2019,"Private Non-Profit (PNP)",0.03
